索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_PLAN_OUT,表全名,JHPDL:JH_PLAN_OUT,,,,,,
,表说明,门诊出诊排班主表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,DOP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,DOP0001,String字符串（变长）,,PLAN_OUT_SN,出诊排班编号,临床医生门诊出诊排班记录编号，系统生成三级编码，如“DP0.000.000.001”,20,是,是
,\x00\x02,DOP0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,DOP0003,String字符串（变长）,,JOB_DOCTOR_SN,医生就职编号,医生就职编号，来源JH_JOB_DOCTOR的JDR0001,20,是,是
,\x00\x04,DOP0004,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x05,DOP0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x06,DOP0006,String字符串（变长）,,PLAN_OUT_CODE,排班记录号,来源业务系统的排班记录唯一号,100,,
,\x00\x07,DOP0007,String字符串（变长）,,SC_OUT_DEPT,出诊科室编码,排班出诊的科室编码；内部源业务系统的编码,200,,
,\x00\x08,DOP0008,String字符串（变长）,,ST_OUT_DEPT,出诊科室名称,排班出诊的科室名称；内部源业务系统的名称描述,200,,
,\x00\x09,DOP0009,String字符串（变长）,,SC_OUT_DOCT,出诊医生工号,出诊医生的工号；内部源业务系统的编码,100,,
,\x00\x0A,DOP0010,String字符串（变长）,,ST_OUT_DOCT,出诊医生名称,出诊医生的名称,100,,
,\x00\x0B,DOP0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PO_START_TIME,排班开始时间,,19,,
,\x00\x0C,DOP0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PO_END_TIME,排班结束时间,,19,,
,\x00\x0D,DOP0013,String字符串（变长）,,PLAN_OUT_DESC,排班描述,如“某某某3月14日上午出诊安排”,500,,
,\x00\x0E,DOP0014,简化字典（Integer整型，4个字节）,459,SD_PLAN_OUT_TYPE,出诊类型,出诊类型；字典项：普通号，专家号，特需号，加急号,20,,
,\x00\x0F,DOP0015,简化字典（Integer整型，4个字节）,460,SD_PO_STATE,排班状态,排班状态；字典项：编辑中，正常执行，作废,20,,
,\x00\x10,DOP0016,String字符串（变长）,,SC_PO_MAKE,排班员工号,,100,,
,\x00\x11,DOP0017,String字符串（变长）,,ST_PO_MAKE,排班员工名称,,100,,
,\x00\x12,DOP0018,String字符串（变长）,,SC_PLAN_OUT_TYPE,出诊类型编码,源业务系统的出诊类型编码,200,,
,\x00\x13,DOP0019,String字符串（变长）,,ST_PLAN_OUT_TYPE,出诊类型描述,源业务系统的出诊类型描述,200,,
,\x00\x14,DOP0020,String字符串（变长）,,SC_DOC_LEVEL,医师职称编码,来源业务系统的医师职称编码，记录当前排班医生的职称信息,100,,
,\x00\x15,DOP0021,String字符串（变长）,,ST_DOC_LEVEL,医师职称描述,来源业务系统的医师职称描述，记录当前排班医生的职称信息,200,,
,\x00\x16,DOP0022,简化字典（Integer整型，4个字节）,379,SD_REPLACE,是否替诊,是否为替诊排班,6,,
,\x00\x17,DOP0023,String字符串（变长）,,ORG_HIS_KEY,原出诊排班的主键,当为替诊排班时，记录被替诊的原排班主键,200,,
,\x00\x18,DOP0024,String字符串（变长）,,SC_REPLACE_DOC,原出诊医师编码,当为替诊排班时，记录被替诊的原排班医师编码,200,,
,\x00\x19,DOP0025,String字符串（变长）,,ST_REPLACE_DOC,原出诊医师姓名,当为替诊排班时，记录被替诊的原排班医师编码,200,,
,\x00\x1A,DOP0026,String字符串（变长）,,SC_JOB_TYPE,专业职务类别代码,,200,,
,\x00\x1B,DOP0027,String字符串（变长）,,ST_JOB_TYPE,专业职务类别描述,,200,,
,\x00\x1C,DOP0028,String字符串（变长）,,ID_CARD_NO,出诊医师身份证号,,200,,
,\x00\x1D,DOP0029,Integer整型（4个字节）,,POD_RESOURCE,资源总数,,6,,
,\x00\x1E,DOP0030,Integer整型（4个字节）,,POD_REMAIN,剩余号数,,6,,
,\x00\x1F,DOP0031,String字符串（变长）,,SC_POD_STATE,排班状态编码,来源业务系统的排班状态编码,200,,
,\x00\x20,DOP0032,String字符串（变长）,,ST_POD_STATE,排班状态描述,来源业务系统的排班状态描述,200,,
,\x00\x21,DOP0033,Integer整型（4个字节）,,POD_APPLOAD,预约总量,,20,,
,\x00\x22,DOP0034,Integer整型（4个字节）,,POD_APPLOAD_REMAIN,预约剩余量,,20,,
,\x00\x23,DOP0035,Integer整型（4个字节）,,POD_ADDLOAD,加号数量,,20,,
,\x00\x24,DOP0036,String字符串（变长）,,SC_RESOURCE_LEVEL,资源级别,资源级别,200,,
,\x00\x25,DOP0037,String字符串（变长）,,ST_RESOURCE_LEVEL,资源级别描述,资源级别描述,200,,
,\x00\x26,DOP0038,简化字典（Integer整型，4个字节）,261,SD_JOB_TYPE,专业职务类别,专业职务类别代码，如：正高，副高,,,
,\x00\x27,DOP0039,String字符串（变长）,,SC_SUB_DEPT,亚专业科室编码,亚专业科室编码,200,,
,\x00\x28,DOP0040,String字符串（变长）,,ST_SUB_DEPT,亚专业科室名称,亚专业科室名称,200,,
,\x00\x29,DOP0041,简化字典（Integer整型，4个字节）,248,SD_SUB_DEPT,亚专业科室,标准亚专业科室,,,
,\x00\x2A,DOP0042,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
