索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_PRE_FP,表全名,JHPDL:JH_PRE_FP,,,,,,
,表说明,住院病案首页（编目前-可选）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IFF,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IFF0001,String字符串（变长）,,FIRST_PAGE_SN,住院病案首页编号,住院病案首页编号，系统生成三级编码，如“FF0.000.000.001”,20,是,是
,\x00\x02,IFF0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x43,IFF0067,String字符串（变长）,,INP_NO,住院号,院内住院号,200,,
,\x00\x45,IFF0069,String字符串（变长）,,OUTP_NO,门诊号,院内门诊号,200,,
,\x00\x47,IFF0071,Integer整型（4个字节）,,VISIT_NUM,住院次数,该患者第几次住院,6,,
,\x00\x42,IFF0066,String字符串（变长）,,CASE_NO,病案号,院内病案号,200,,
,\x00\x41,IFF0065,String字符串（变长）,,VISIT_CARD_NO,就诊卡号,院内就诊卡号码,200,,
,\x00\x04,IFF0004,String字符串（变长）,,PATIENT_NAME,患者姓名,患者姓名,200,,
,\x00\x05,IFF0005,String字符串（变长）,,ALIAS_NAME,别名,别名,200,,
,\x00\x38,IFF0056,String字符串（变长）,,ID_CARD_NO,身份证号,身份证件号码,200,,
,\x00\x39,IFF0057,String字符串（变长）,,SSN_NO,社保号,国家社保号码,200,,
,\x00\x3A,IFF0058,String字符串（变长）,,HEALTH_CARD_NO,健康卡号,国家健康卡号码,200,,
,\x00\x3B,IFF0059,String字符串（变长）,,SOLDIER_NO,军人证号,军人证件号码,200,,
,\x00\x3C,IFF0060,String字符串（变长）,,PASSPORT_NO,护照号,外国人护照号码,200,,
,\x00\x3D,IFF0061,String字符串（变长）,,HK_MO_NO,港澳通行号,港澳通行证号码,200,,
,\x00\x3E,IFF0062,String字符串（变长）,,TW_NO,台湾通行号,台湾通行证号码,200,,
,\x00\x48,IFF0072,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ADMISSION_TIME,入院时间,患者入院的日期与时间,19,是,是
,\x00\x3F,IFF0063,String字符串（变长）,,INSURANCE_NO,商业保险号,商业医疗保险号码,200,,
,\x00\x53,IFF0083,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DISCHARGE_TIME,出院时间,患者出院的日期与时间,19,是,是
,\x00\x03,IFF0003,String字符串（变长）,,IN_HOSP_SN,住院就诊编号,住院就诊编号，来源JH_IN_HOSP的IHR0001,20,是,是
,\x00\x07,IFF0007,Date日期型（yyyy-mm-dd）（10个字节）,,DATE_OF_BIRTH,出生日期,出生日期,19,,
,\x00\x09,IFF0009,String字符串（变长）,,BIRTH_PLACE,出生地点,出生地点,200,,
,\x00\x0B,IFF0011,Byte字节（1个字节）,,MULTI_BIRTH_ORDER,双胞胎顺序,双胞胎顺序,3,,
,\x00\x0E,IFF0014,Byte字节（1个字节）,,BABY_NUMBER,携带婴儿数,携带婴儿数量,3,,
,\x00\x16,IFF0022,String字符串（变长）,,NATIVE_PROVINCE,籍贯,籍贯,200,,
,\x00\x18,IFF0024,Date日期型（yyyy-mm-dd）（10个字节）,,WORK_TIME,参加工作时间,参加工作时间,19,,
,\x00\x19,IFF0025,String字符串（变长）,,BUSINESS_PHONE_PHONE,单位电话,单位电话,200,,
,\x00\x1A,IFF0026,String字符串（变长）,,HOME_PHONE,家庭电话,家庭电话,200,,
,\x00\x1B,IFF0027,String字符串（变长）,,OTHER_PHONE,其他电话,其他电话,200,,
,\x00\x1C,IFF0028,String字符串（变长）,,MOBILE,手机,手机,200,,
,\x00\x1D,IFF0029,String字符串（变长）,,POSTCODE,邮编,邮编,50,,
,\x00\x1E,IFF0030,String字符串（变长）,,MAILING_ADDR_PROVINCE,联系地址省份,联系地址省份,200,,
,\x00\x1F,IFF0031,String字符串（变长）,,MAILING_ADDR_CITY,联系地址地市,联系地址地市,200,,
,\x00\x20,IFF0032,String字符串（变长）,,MAILING_ADDR_COUNTY,联系地址区县,联系地址区县,200,,
,\x00\x21,IFF0033,String字符串（变长）,,MAILING_ADDR_STREET,联系地址街道,联系地址街道,200,,
,\x00\x22,IFF0034,String字符串（变长）,,MAILING_ADDRESS,联系详细地址,联系详细地址,500,,
,\x00\x23,IFF0035,String字符串（变长）,,FAMILY_ADDR_PROVINCE,户籍所在地省份,户籍所在地省份,200,,
,\x00\x24,IFF0036,String字符串（变长）,,FAMILY_ADDR_CITY,户籍所在地地市,户籍所在地地市,200,,
,\x00\x25,IFF0037,String字符串（变长）,,FAMILY_ADDR_COUNTY,户籍所在地区县,户籍所在地区县,200,,
,\x00\x26,IFF0038,String字符串（变长）,,FAMILY_ADDRESS,户籍详细地址,户籍详细地址,500,,
,\x00\x27,IFF0039,String字符串（变长）,,EMPLOYER_COMPANY,工作单位名称,工作单位名称,200,,
,\x00\x28,IFF0040,String字符串（变长）,,EMPLOYER_POSTCODE,工作单位邮编,工作单位邮编,200,,
,\x00\x29,IFF0041,String字符串（变长）,,EMPLOYER_ADDRESS,工作单位地址,工作单位地址,500,,
,\x00\x2A,IFF0042,String字符串（变长）,,NEXT_OF_KIN,联系人,联系人,200,,
,\x00\x2C,IFF0044,String字符串（变长）,,NEXT_OF_KIN_PHONE,联系人电话,联系人电话,500,,
,\x00\x2D,IFF0045,String字符串（变长）,,NEXT_OF_KIN_POST,联系人邮编,联系人邮编,50,,
,\x00\x2E,IFF0046,String字符串（变长）,,NEXT_OF_KIN_ADDR,联系人地址,联系人地址,500,,
,\x00\x2F,IFF0047,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REGISTRATION_TIME,首次登记时间,首次登记时间,19,,
,\x00\x30,IFF0048,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_UPDATE,最后更新时间,最后更新时间,31,,
,\x00\xB7,IFF0183,String字符串（变长）,,SC_ADM_DEPT,入院科室编码,源业务系统的科室编码,200,,
,\x00\xB8,IFF0184,String字符串（变长）,,ST_ADM_DEPT,入院科室名称,源业务系统的科室名称,200,,
,\x00\xB9,IFF0185,String字符串（变长）,,SC_ADM_WARD,入院病区编码,源业务系统的病区编码,200,,
,\x00\xBA,IFF0186,String字符串（变长）,,ST_ADM_WARD,入院病区名称,源业务系统的病区名称,200,,
,\x00\xBB,IFF0187,String字符串（变长）,,SC_ADM_ROOM,入院病房编码,,200,,
,\x00\xBC,IFF0188,String字符串（变长）,,ST_ADM_ROOM,入院病房名称,,200,,
,\x00\xBD,IFF0189,String字符串（变长）,,SC_ADM_BED,入院床位编码,,200,,
,\x00\xBE,IFF0190,String字符串（变长）,,ST_ADM_BED,入院床位名称,,200,,
,\x00\xBF,IFF0191,String字符串（变长）,,SC_CUR_DEPT,当前科室编码,,200,,
,\x00\xC0,IFF0192,String字符串（变长）,,ST_CUR_DEPT,当前科室名称,,200,,
,\x00\xC1,IFF0193,String字符串（变长）,,SC_CUR_WARD,当前病区编码,,200,,
,\x00\xC2,IFF0194,String字符串（变长）,,ST_CUR_WARD,当前病区名称,,200,,
,\x00\xC3,IFF0195,String字符串（变长）,,SC_CUR_ROOM,当前病房编码,,200,,
,\x00\xC4,IFF0196,String字符串（变长）,,ST_CUR_ROOM,当前病房名称,,200,,
,\x00\xC5,IFF0197,String字符串（变长）,,SC_CUR_BED,当前床位编码,,200,,
,\x00\xC6,IFF0198,String字符串（变长）,,ST_CUR_BED,当前床位名称,,200,,
,\x00\xC7,IFF0199,String字符串（变长）,,SC_DIS_MODE,出院方式编码,源业务系统的出院方式编码,200,,
,\x00\xC8,IFF0200,String字符串（变长）,,ST_DIS_MODE,出院方式描述,源业务系统的出院方式描述,500,,
,\x00\xC9,IFF0201,String字符串（变长）,,SC_DIS_DEPT,出院科室编码,,200,,
,\x00\xCA,IFF0202,String字符串（变长）,,ST_DIS_DEPT,出院科室名称,,200,,
,\x00\xCB,IFF0203,String字符串（变长）,,SC_DIS_WARD,出院病区编码,,200,,
,\x00\xCC,IFF0204,String字符串（变长）,,ST_DIS_WARD,出院病区名称,,200,,
,\x00\xCD,IFF0205,String字符串（变长）,,SC_DIS_ROOM,出院病房编码,,200,,
,\x00\xCE,IFF0206,String字符串（变长）,,ST_DIS_ROOM,出院病房名称,,200,,
,\x00\xCF,IFF0207,String字符串（变长）,,SC_DIS_BED,出院床位编码,,200,,
,\x00\xD0,IFF0208,String字符串（变长）,,ST_DIS_BED,出院床位名称,,200,,
,\x00\x66,IFF0102,Short短整型（2个字节）,,CURRENT_AGE,入院年龄,大于1岁的患者，入院时候的年龄,6,,
,\x00\x9B,IFF0155,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x67,IFF0103,Double双精度浮点型（8个字节）,,BODY_WEIGHT,入院体重,入院时患者体重（千克）,6,,
,\x00\x9C,IFF0156,String字符串（变长）,,CURRENT_AGE_UNIT,年龄单位,年龄单位,50,,
,\x00\x68,IFF0104,Double双精度浮点型（8个字节）,,BODY_HEIGHT,入院身高,入院时患者身高（厘米）,6,,
,\x00\x9D,IFF0157,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x69,IFF0105,Short短整型（2个字节）,,BABY_DAYS,新生儿年龄,小于1岁的新生儿患者，入院时候的出生天数,6,,
,\x00\x9E,IFF0158,简化字典（Integer整型，4个字节）,18,SD_SEX,性别,性别的中台标准编码，如“1”,20,,
,\x00\x6A,IFF0106,Double双精度浮点型（8个字节）,,BABY_WEIGHT,新生儿体重,小于1岁的新生儿患者，入院时候的体重（克）,6,,
,\x00\x9F,IFF0159,String字符串（变长）,,ST_SEX,性别说明,源业务系统的性别描述,200,,
,\x00\x6B,IFF0107,Double双精度浮点型（8个字节）,,BABY_HEIGHT,新生儿身高,小于1岁的新生儿患者，入院时候的身高（厘米）,6,,
,\x00\xA0,IFF0160,String字符串（变长）,,ST_INS_TYPE,医疗付费方式说明,源业务系统的医疗付费方式描述,500,,
,\x00\x6C,IFF0108,String字符串（变长）,,ALLERGY_NOTE,过敏描述,描述出过敏源，如药物、食物、植物、动物等过敏源,4000,,
,\x00\xA1,IFF0161,简化字典（Integer整型，4个字节）,379,SD_MULTI_BIRTH,是否双胞胎,双胞胎标记，中台标准“是否”编码,20,,
,\x00\x6D,IFF0109,Short短整型（2个字节）,,IN_HOSP_DAYS,实际住院天数,,6,,
,\x00\xA2,IFF0162,简化字典（Integer整型，4个字节）,379,SD_BABY,是否婴儿,是否婴儿，中台标准“是否”编码,20,,
,\x00\x6E,IFF0110,Short短整型（2个字节）,,EMER_TREAT_TIMES,抢救次数,,6,,
,\x00\xA3,IFF0163,简化字典（Integer整型，4个字节）,379,SD_BABY_MOTHER,是否携带婴儿,是否为携带婴儿的母亲，中台标准“是否”编码,20,,
,\x00\x6F,IFF0111,Short短整型（2个字节）,,EMER_TREAT_SUC,抢救成功次数,,6,,
,\x00\xA4,IFF0164,简化字典（Integer整型，4个字节）,379,SD_DEATH,是否死亡,死亡标记，中台标准“是否”编码,20,,
,\x00\x70,IFF0112,Short短整型（2个字节）,,NURS_SP_LV_DAYS,特级护理天数,,6,,
,\x00\xA5,IFF0165,简化字典（Integer整型，4个字节）,8,SD_MARI_STAT,婚姻状态,婚姻状态，中台标准“婚姻状态”编码,20,,
,\x00\x71,IFF0113,Short短整型（2个字节）,,NURS_FI_LV_DAYS,一级护理天数,,6,,
,\x00\xA6,IFF0166,简化字典（Integer整型，4个字节）,379,SD_ORGAN_DONOR,是否器官捐献者,器官捐献者标记，中台标准“是否”编码,20,,
,\x00\x72,IFF0114,Short短整型（2个字节）,,NURS_SE_LV_DAYS,二级护理天数,,6,,
,\x00\xA7,IFF0167,String字符串（变长）,,ST_NATION,国籍说明,源业务系统的国籍描述,200,,
,\x00\x73,IFF0115,Short短整型（2个字节）,,NURS_TH_LV_DAYS,三级护理天数,,6,,
,\x00\xA8,IFF0168,String字符串（变长）,,ST_NATIONALITY,民族说明,源业务系统的民族描述,200,,
,\x00\x74,IFF0116,Short短整型（2个字节）,,SERIOUS_COND_DAYS,病重天数,,6,,
,\x00\xA9,IFF0169,String字符串（变长）,,ST_FINAN_SITU,经济状况,源业务系统的经济状况描述,200,,
,\x00\x75,IFF0117,Short短整型（2个字节）,,CRITICAL_COND_DAYS,病危天数,,6,,
,\x00\xAA,IFF0170,简化字典（Integer整型，4个字节）,7,SD_RELATIONSHIP,联系人与患者关系简码,中台标准“联系人与患者关系”编码,20,,
