索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_PRE_FP_DI,表全名,JHPDL:JH_PRE_FP_DI,,,,,,
,表说明,首页诊断记录（编目前-可选，注意区分临床诊断）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IFZ,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IFZ0001,String字符串（变长）,,FP_DIAG_SN,编目诊断编号,编目诊断编号，系统生成三级编码，如“FZ0.000.000.001”,20,是,是
,\x00\x02,IFZ0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IFZ0003,String字符串（变长）,,FIRST_PAGE_SN,住院病案首页编号,住院病案首页编号，来源JH_PRE_FP的IFP0001,20,是,是
,\x00\x04,IFZ0004,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DIAGNOSIS_TIME,临床诊断时间,临床医生下达诊断的时间,19,,
,\x00\x06,IFZ0006,String字符串（变长）,,DIAGNOSIS_CODE,临床诊断编码,临床医生下达诊断的编码,200,,
,\x00\x07,IFZ0007,String字符串（变长）,,DIAGNOSIS_NAME,临床诊断名称,临床医生下达诊断的名称,500,,
,\x00\x08,IFZ0008,String字符串（变长）,,DIAGNOSIS_DESC,临床诊断描述,临床医生下达诊断的描述,16000,,
,\x00\x09,IFZ0009,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CATA_DIAG_TIME,编目时间,编目员重新编目诊断的时间,19,,
,\x00\x0B,IFZ0011,String字符串（变长）,,CATA_DIAG_CODE,编目诊断编码,编目员重新编目诊断的编码,200,,
,\x00\x0C,IFZ0012,String字符串（变长）,,CATA_DIAG_NAME,编目诊断名称,编目员重新编目诊断的名称,500,,
,\x00\x0D,IFZ0013,String字符串（变长）,,CATA_DIAG_DESC,编目诊断描述,编目员重新编目诊断的描述,4000,,
,\x00\x0E,IFZ0014,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x0F,IFZ0015,Integer整型（4个字节）,,CATA_DIAG_SORT,诊断序号,诊断序号,20,,
,\x00\x11,IFZ0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x12,IFZ0018,简化字典（Integer整型，4个字节）,420,SD_DIAG_TYPE,L临床诊断类型简码,临床医生下达诊断的类型，门诊诊断、入院诊断等,20,,
,\x00\x13,IFZ0019,String字符串（变长）,,ST_DIAG_TYPE,临床诊断类型描述,,200,,
,\x00\x14,IFZ0020,简化字典（Integer整型，4个字节）,420,SD_CATA_DIAG_TYPE,编目诊断类型简码,编目员重新编目诊断的类型,20,,
,\x00\x15,IFZ0021,String字符串（变长）,,ST_CATA_DIAG_TYPE,编目诊断类型描述,,200,,
,\x00\x16,IFZ0022,简化字典（Integer整型，4个字节）,441,SD_CATA_DIAG_EFF,治疗结果简码,治疗结果,20,,
,\x00\x17,IFZ0023,String字符串（变长）,,ST_CATA_DIAG_EFF,治疗结果描述,,4000,,
,\x00\x18,IFZ0024,String字符串（变长）,,SC_DIAG_TYPE,临床诊断类型编码,源业务系统的临床诊断类型编码,200,,
,\x00\x19,IFZ0025,String字符串（变长）,,SC_CATA_DIAG_TYPE,编目诊断类型编码,源业务系统的编目诊断类型编码,200,,
,\x00\x1A,IFZ0026,String字符串（变长）,,SC_CATA_DIAG_EFF,治疗结果编码,源业务系统的治疗结果编码,200,,
,\x00\x1B,IFZ0027,String字符串（变长）,,ST_ADM_CONDITION,入院病情业务描述,,50,,
,\x00\x1C,IFZ0028,String字符串（变长）,,SC_ADM_CONDITION,入院病情业务编码,,10,,
,\x00\x1D,IFZ0029,简化字典（Integer整型，4个字节）,464,SD_ADM_CONDITION,入院病情标准对照编码,,,,
,\x00\x1E,IFZ0030,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x1F,IFZ0031,String字符串（变长）,,CATA_DIAG_SORT_SUB,子诊断序号,子诊断项的序号,200,,
,\x00\x20,IFZ0032,简化字典（Integer整型，4个字节）,379,SD_DIAG_SUB,子诊断标识,子诊断标识,,,
,\x00\x21,IFZ0033,简化字典（Integer整型，4个字节）,379,SD_DIAG_MAIN,主诊断标识,主诊断标识,,,
,\x00\x22,IFZ0034,简化字典（Integer整型，4个字节）,379,SD_DIAG_WEST,是否西医诊断,是否西医诊断,,,
,\x00\x05,IFZ0005,自定义字典类型，字符串（变长）,420,DIAGNOSIS_TYPE,临床诊断类型,临床医生下达诊断的类型，门诊诊断、入院诊断等,200,,
,\x00\x0A,IFZ0010,自定义字典类型，字符串（变长）,420,CATA_DIAG_TYPE,编目诊断类型,编目员重新编目诊断的类型,200,,
,\x00\x10,IFZ0016,自定义字典类型，字符串（变长）,441,CATA_DIAG_EFFECT,治疗结果,治疗结果,200,,
