索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_PRE_FP_SUB,表全名,JHPDL:JH_PRE_FP_SUB,,,,,,
,表说明,病案首页附页（编目前-可选）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IFA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IFA0001,String字符串（变长）,,FP_SUB_SN,首页附页编号,首页附页编号，系统生成三级编码，如“FA0.000.000.001”,20,是,是
,\x00\x02,IFA0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IFA0003,String字符串（变长）,,FIRST_PAGE_SN,住院病案首页编号,住院病案首页编号，来源JH_PRE_FP的IFP0001,20,是,是
,\x00\x04,IFA0004,Short短整型（2个字节）,,FIRST_COMA_DAY,入院前昏迷天,,6,,
,\x00\x05,IFA0005,Short短整型（2个字节）,,BACK_COMA_DAY,入院后昏迷天,,6,,
,\x00\x06,IFA0006,String字符串（变长）,,TREAT_RESULT_HL,化疗治疗方式,,200,,
,\x00\x07,IFA0007,String字符串（变长）,,TREAT_RESULT_SS,手术治疗方式,,200,,
,\x00\x08,IFA0008,String字符串（变长）,,TREAT_RESULT_CZ,操作治疗方式,,200,,
,\x00\x09,IFA0009,String字符串（变长）,,TREAT_RESULT_FL,放疗治疗方式,,200,,
,\x00\x0B,IFA0011,String字符串（变长）,,RISKTYPE,手术风险分级,,200,,
,\x00\x0D,IFA0013,Short短整型（2个字节）,,SAME_SPACEIN_TIME,同病种再入院间隔,本次因同病种再入院与上次出院日间隔天数,6,,
,\x00\x0F,IFA0015,Short短整型（2个字节）,,UNSAME_SPACEIN_TIME,非同病种再入院间隔,本次因非同病种再入院与上次出院日间隔天数,6,,
,\x00\x11,IFA0017,String字符串（变长）,,RETURN_OPERA_REASON,重返原因,,4000,,
,\x00\x13,IFA0019,String字符串（变长）,,COML_OPERA_DIAG,并发症诊断名称,,200,,
,\x00\x15,IFA0021,String字符串（变长）,,RETURN_ICU_REASON,重返ICU原因,,4000,,
,\x00\x17,IFA0023,String字符串（变长）,,NOSOCOM_INFE_NAME,医源性感染名称,,200,,
,\x00\x18,IFA0024,String字符串（变长）,,NOSOCOM_INFE_PART,医源性感染部位,,200,,
,\x00\x23,IFA0035,String字符串（变长）,,ANAPHYLACTOGEN,过敏源,,500,,
,\x00\x25,IFA0037,Short短整型（2个字节）,,USE_ANT_DRUG_DAYS,使用抗菌药物天数,,6,,
,\x00\x3F,IFA0063,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x42,IFA0066,简化字典（Integer整型，4个字节）,379,SD_IS_CHOOSEDAY,是否择期手术,,20,,
,\x00\x43,IFA0067,简化字典（Integer整型，4个字节）,379,SD_IS_SAMEIN,同病种再入院标记,,20,,
,\x00\x44,IFA0068,简化字典（Integer整型，4个字节）,379,SD_IS_UNSAMEIN,非同病种再入院标记,非同病种再入院标记,20,,
,\x00\x45,IFA0069,简化字典（Integer整型，4个字节）,379,SD_IS_RETURN_OP,重返手术标记,手术患者重返手术室再次手术,20,,
,\x00\x46,IFA0070,简化字典（Integer整型，4个字节）,379,SD_IS_COML_OPER,手术并发症,是否发生手术并发症,20,,
,\x00\x47,IFA0071,简化字典（Integer整型，4个字节）,379,SD_IS_RETURN_ICU,重返ICU标记,,20,,
,\x00\x48,IFA0072,简化字典（Integer整型，4个字节）,379,SD_IS_NOSO_INFE,是否医源性感染,,20,,
,\x00\x49,IFA0073,简化字典（Integer整型，4个字节）,379,SD_IS_PNEUMOTH,是否医源性气胸,,20,,
,\x00\x4A,IFA0074,简化字典（Integer整型，4个字节）,379,SD_IS_PUNCTURE,是否意外穿刺,是否发生医源性意外穿刺或撕裂伤,20,,
,\x00\x4B,IFA0075,简化字典（Integer整型，4个字节）,379,SD_IS_FOREIGN,是否异物遗留,是否发生手术过程中异物遗留,20,,
,\x00\x4C,IFA0076,简化字典（Integer整型，4个字节）,379,SD_IS_BLD_TRAN,是否输血反应,,20,,
,\x00\x4D,IFA0077,简化字典（Integer整型，4个字节）,379,SD_IS_INFUSION,是否输液反应,,20,,
,\x00\x4E,IFA0078,简化字典（Integer整型，4个字节）,379,SD_IS_IN_CP,是否进入临床路径,,20,,
,\x00\x4F,IFA0079,简化字典（Integer整型，4个字节）,379,SD_IS_FINISH_CP,是否完成临床路径,,20,,
,\x00\x50,IFA0080,简化字典（Integer整型，4个字节）,379,SD_DIE_DURING,是否围手术期死亡,,20,,
,\x00\x51,IFA0081,简化字典（Integer整型，4个字节）,379,SD_DIE_AFTER_OP,是否术后猝死,,20,,
,\x00\x52,IFA0082,简化字典（Integer整型，4个字节）,379,SD_IS_CP_SAMP,临床路径病例,是否临床路径病例,20,,
,\x00\x53,IFA0083,简化字典（Integer整型，4个字节）,379,SD_USE_ANT_DRUG,是否使用抗菌药物,,20,,
,\x00\x26,IFA0038,Double双精度浮点型（8个字节）,,FEE_SELF,住院总费用其中自付金额,住院总费用其中自付金额,38,,
,\x00\x27,IFA0039,Double双精度浮点型（8个字节）,,FEE_SOC_INS,医保金额,,38,,
,\x00\x28,IFA0040,Double双精度浮点型（8个字节）,,FEE_BUS_INS,商业保险金额,,38,,
,\x00\x29,IFA0041,Double双精度浮点型（8个字节）,,FEE_OTHER_INS,其它付费金额,,38,,
,\x00\x2A,IFA0042,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT,一般医疗服务费,,38,,
,\x00\x2B,IFA0043,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_OP,一般治疗操作费,,38,,
,\x00\x2C,IFA0044,Double双精度浮点型（8个字节）,,FEE_TYPE_PHLY,病理诊断费,,38,,
,\x00\x2D,IFA0045,Double双精度浮点型（8个字节）,,FEE_TYPE_LAB,实验室诊断费,,38,,
,\x00\x2E,IFA0046,Double双精度浮点型（8个字节）,,FEE_TYPE_EXAM,影像学诊断费,,38,,
,\x00\x2F,IFA0047,Double双精度浮点型（8个字节）,,FEE_TYPE_DIAG,临床诊断项目费,,38,,
,\x00\x30,IFA0048,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_NOR,非手术治疗项目费,,38,,
,\x00\x31,IFA0049,Double双精度浮点型（8个字节）,,FEE_TYPE_TREAT_PHY,临床物理治疗费,,38,,
,\x00\x32,IFA0050,Double双精度浮点型（8个字节）,,FEE_TYPE_OPER,手术治疗费,,38,,
,\x00\x33,IFA0051,Double双精度浮点型（8个字节）,,FEE_TYPE_ANES,麻醉费,,38,,
,\x00\x34,IFA0052,Double双精度浮点型（8个字节）,,FEE_TYPE_REST,康复费,,38,,
,\x00\x35,IFA0053,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_TREAT,中医治疗费,,38,,
,\x00\x36,IFA0054,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_TREAT1,中医治疗费1,,38,,
,\x00\x37,IFA0055,Double双精度浮点型（8个字节）,,FEE_TYPE_ANT_DRUG,抗菌药物费用,,38,,
,\x00\x38,IFA0056,Double双精度浮点型（8个字节）,,FEE_TYPE_BLOOD,血费,,38,,
,\x00\x39,IFA0057,Double双精度浮点型（8个字节）,,FEE_TYPE_ALBU,白蛋白类制品费,,38,,
,\x00\x3A,IFA0058,Double双精度浮点型（8个字节）,,FEE_TYPE_GLOBU,球蛋白类制品费,,38,,
,\x00\x3B,IFA0059,Double双精度浮点型（8个字节）,,FEE_TYPE_CLOT,凝血因子类制品费,,38,,
,\x00\x3C,IFA0060,Double双精度浮点型（8个字节）,,FEE_TYPE_CELL,细胞因子类制品费,,38,,
,\x00\x3D,IFA0061,Double双精度浮点型（8个字节）,,FEE_TYPE_MAT_EXAM,检查材料费,,38,,
,\x00\x3E,IFA0062,Double双精度浮点型（8个字节）,,FEE_TYPE_MAT_TREAT,治疗材料费,,38,,
,\x00\x40,IFA0064,Double双精度浮点型（8个字节）,,FEE_TYPE_MAT_OPER,手术材料费,手术材料费,38,,
,\x00\x54,IFA0084,Double双精度浮点型（8个字节）,,FEE_TOTAL,总费用,,,,
,\x00\x41,IFA0065,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x55,IFA0085,String字符串（变长）,,TRANS_DEPT_DESC,转科科别,,200,,
,\x00\x56,IFA0086,简化字典（Integer整型，4个字节）,,SD_DAY_SURGERY,是否日间手术,,5,,
,\x00\x57,IFA0087,String字符串（变长）,,BABY_AGE,新生儿年龄-月天,,200,,
,\x00\x58,IFA0088,Double双精度浮点型（8个字节）,,NEWBORN_WEIGHT,新生儿出生体重（克）,新生儿出生体重（克）,,,
,\x00\x59,IFA0089,Double双精度浮点型（8个字节）,,NEWBORN_WEIGHT2,新生儿出生体重（克）2,新生儿出生体重（克）2,,,
,\x00\x5A,IFA0090,Double双精度浮点型（8个字节）,,NEWBORN_WEIGHT3,新生儿出生体重（克）3,新生儿出生体重（克）3,,,
,\x00\x5B,IFA0091,Double双精度浮点型（8个字节）,,NEWBORN_WEIGHT4,新生儿出生体重（克）4,新生儿出生体重（克）4,,,
,\x00\x5C,IFA0092,Double双精度浮点型（8个字节）,,NEWBORN_WEIGHT5,新生儿出生体重（克）5,新生儿出生体重（克）5,,,
,\x00\x5D,IFA0093,简化字典（Integer整型，4个字节）,243,SD_MEDICAL_COSTPAY,医疗付费方式,中台标准医疗付费方式编码,,,
,\x00\x5E,IFA0094,String字符串（变长）,,SC_MEDICAL_COSTPAY,医疗付费方式编码,源业务系统医疗付费方式编码,,,
,\x00\x5F,IFA0095,String字符串（变长）,,ST_MEDICAL_COSTPAY,医疗付费方式名称,源业务系统医疗付费方式名称,,,
,\x00\x60,IFA0096,String字符串（变长）,,ALLERGYDRUG,过敏药物,过敏药物,200,,
,\x00\x61,IFA0097,String字符串（变长）,,SC_HBSAG_CODE,HBSAG检查结果编码,源业务系统HBSAG检查结果编码,20,,
,\x00\x62,IFA0098,String字符串（变长）,,SC_HCVAB_CODE,HCVab检查结果编码,HCVab检查结果编码,20,,
,\x00\x63,IFA0099,String字符串（变长）,,SC_HIVAB_CODE,HIVab检查结果编码,HIVab检查结果编码,20,,
,\x00\x64,IFA0100,String字符串（变长）,,ST_HBSAG,HBSAG检查结果说明,HBSAG检查结果说明,50,,
,\x00\x65,IFA0101,String字符串（变长）,,ST_HCVAB,HCVab检查结果说明,HCVab检查结果说明,50,,
,\x00\x66,IFA0102,String字符串（变长）,,ST_HIVAB,HIVab检查结果说明,HIVab检查结果说明,50,,
,\x00\x67,IFA0103,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x68,IFA0104,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_DIA_TRE,中医辨证论治费,中医辨证论治费,,,
,\x00\x69,IFA0105,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_DIA_TRE_CON,中医辨证论治会诊费,中医辨证论治会诊费,,,
,\x00\x6A,IFA0106,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_DIAG,中医诊断费,中医诊断费,,,
,\x00\x6B,IFA0107,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_EXTERNAL,中医外治费,中医外治费,,,
,\x00\x6C,IFA0108,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_BONE,中医骨伤费,中医骨伤费,,,
,\x00\x6D,IFA0109,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_ACUP,针刺灸法费,针刺灸法费,,,
,\x00\x6E,IFA0110,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_TN,中医推拿治疗费,中医推拿治疗费,,,
,\x00\x6F,IFA0111,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_PROC,中医肛肠治疗费,中医肛肠治疗费,,,
,\x00\x70,IFA0112,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_SPEC,中医特殊治疗费,中医特殊治疗费,,,
,\x00\x71,IFA0113,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_OTHER,中医其他费用,中医其他费用,,,
,\x00\x72,IFA0114,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_SPEC_PRE,中药特殊调配加工费用,中药特殊调配加工费用,,,
,\x00\x73,IFA0115,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_DME,辨证施膳费用,辨证施膳费用,,,
,\x00\x74,IFA0116,Double双精度浮点型（8个字节）,,FEE_TYPE_CN_MI,医疗机构中药制剂费,医疗机构中药制剂费,,,
,\x00\x75,IFA0117,Double双精度浮点型（8个字节）,,FEE_TYPE_SER_OTHER,其他费用,其他费用,,,
