索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_ARCHIVES_TRANS_RECORD,表全名,JHPDL:JH_RHHV_ARCHIVES_TRANS_RECORD,,,,,,
,表说明,档案迁移记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBY,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBY0001,String字符串（变长）,,ARCHIVES_TRANS_RECORD_SN,主键,,64,,
,\x00\x02,VBY0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBY0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBY0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VBY0005,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x06,VBY0006,String字符串（变长）,,SC_ARCHIVE_TYPE,档案类别编码,,1,,
,\x00\x07,VBY0007,String字符串（变长）,,ST_ARCHIVE_TYPE,档案类别名称,,32,,
,\x00\x08,VBY0008,String字符串（变长）,,SC_MOVE_TYPE,迁移类别编码,,1,,
,\x00\x09,VBY0009,String字符串（变长）,,ST_MOVE_TYPE,迁移类别名称,,32,,
,\x00\x0A,VBY0010,String字符串（变长）,,SOURCE_AREA,原网格地址,,25,,
,\x00\x0B,VBY0011,String字符串（变长）,,SC_SOURCE_ORG,原管理单位编码,,16,,
,\x00\x0C,VBY0012,String字符串（变长）,,ST_SOURCE_ORG,原管理单位名称,,128,,
,\x00\x0D,VBY0013,String字符串（变长）,,SC_SOURCE_DOCTOR,原责任医生编码,,32,,
,\x00\x0E,VBY0014,String字符串（变长）,,ST_SOURCE_DOCTOR,原责任医生名称,,32,,
,\x00\x0F,VBY0015,String字符串（变长）,,TARGET_AREA,现网格地址,,128,,
,\x00\x10,VBY0016,String字符串（变长）,,SC_TARGET_ORG,现管理单位编码,,16,,
,\x00\x11,VBY0017,String字符串（变长）,,ST_TARGET_ORG,现管理单位名称,,128,,
,\x00\x12,VBY0018,String字符串（变长）,,SC_TARGET_DOCTOR,现责任医生编码,,32,,
,\x00\x13,VBY0019,String字符串（变长）,,ST_TARGET_DOCTOR,现责任医生名称,,32,,
,\x00\x14,VBY0020,String字符串（变长）,,SC_APPLY_USER,申请人编码,,32,,
,\x00\x15,VBY0021,String字符串（变长）,,ST_APPLY_USER,申请人名称,,32,,
,\x00\x16,VBY0022,String字符串（变长）,,SC_APPLY_ORG,申请机构编码,,16,,
,\x00\x17,VBY0023,String字符串（变长）,,ST_APPLY_ORG,申请机构名称,,128,,
,\x00\x18,VBY0024,Date日期型（yyyy-mm-dd）（10个字节）,,APPLY_DATE,申请日期,,,,
,\x00\x19,VBY0025,String字符串（变长）,,APPLY_REASON,申请原因,,512,,
,\x00\x1A,VBY0026,String字符串（变长）,,SC_AFFIRM_USER,确认人编码,,32,,
,\x00\x1B,VBY0027,String字符串（变长）,,ST_AFFIRM_USER,确认人名称,,32,,
,\x00\x1C,VBY0028,String字符串（变长）,,SC_AFFIRM_TYPE,确认类别编码,,1,,
,\x00\x1D,VBY0029,String字符串（变长）,,ST_AFFIRM_TYPE,确认类别名称,,16,,
,\x00\x1E,VBY0030,String字符串（变长）,,SC_AFFIRM_ORG,确认机构编码,,16,,
,\x00\x1F,VBY0031,String字符串（变长）,,ST_AFFIRM_ORG,确认机构名称,,128,,
,\x00\x20,VBY0032,Date日期型（yyyy-mm-dd）（10个字节）,,AFFIRM_DATE,确认日期,,,,
,\x00\x21,VBY0033,String字符串（变长）,,AFFIRM_VIEW,确认人意见,,512,,
,\x00\x22,VBY0034,String字符串（变长）,,NAME_INFO,姓名,,32,,
,\x00\x23,VBY0035,String字符串（变长）,,SC_STATUS,迁移状态编码,,1,,
,\x00\x24,VBY0036,String字符串（变长）,,ST_STATUS,迁移状态名称,,32,,
,\x00\x25,VBY0037,String字符串（变长）,,DOCTOR_VIEW,责任医生确认,,512,,
,\x00\x26,VBY0038,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x27,VBY0039,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x28,VBY0040,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x29,VBY0041,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x2A,VBY0042,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x2B,VBY0043,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x2C,VBY0044,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x2D,VBY0045,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x2E,VBY0046,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x2F,VBY0047,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x30,VBY0048,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
