索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CHILD_ARCHIVES,表全名,JHPDL:JH_RHHV_CHILD_ARCHIVES,,,,,,
,表说明,体弱儿童档案,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAR0001,String字符串（变长）,,CHILD_ARCHIVES_SN,主键,,64,,
,\x00\x02,VAR0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAR0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAR0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAR0005,String字符串（变长）,,PHONE_NO,联系电话,,16,,
,\x00\x06,VAR0006,String字符串（变长）,,SC_FEED_WAY,喂养方式编码,,1,,
,\x00\x07,VAR0007,String字符串（变长）,,ST_FEED_WAY,喂养方式名称,,64,,
,\x00\x08,VAR0008,String字符串（变长）,,SC_DEBILITY_REASON,体弱儿分类编码,,64,,
,\x00\x09,VAR0009,String字符串（变长）,,ST_DEBILITY_REASON,体弱儿分类名称,,64,,
,\x00\x0A,VAR0010,String字符串（变长）,,SC_VESTING,转归编码,,1,,
,\x00\x0B,VAR0011,String字符串（变长）,,ST_VESTING,转归名称,,64,,
,\x00\x0C,VAR0012,Date日期型（yyyy-mm-dd）（10个字节）,,CLOSED_DATE,结案日期,,,,
,\x00\x0D,VAR0013,String字符串（变长）,,SC_CLOSED_DOCTOR,结案医师编码,,32,,
,\x00\x0E,VAR0014,String字符串（变长）,,ST_CLOSED_DOCTOR,结案医师名称,,64,,
,\x00\x0F,VAR0015,String字符串（变长）,,SC_CLOSED_ORG,结案单位编码,,16,,
,\x00\x10,VAR0016,String字符串（变长）,,ST_CLOSED_ORG,结案单位名称,,128,,
,\x00\x11,VAR0017,Date日期型（yyyy-mm-dd）（10个字节）,,REGIST_CREATE_DATE,建档日期,,,,
,\x00\x12,VAR0018,String字符串（变长）,,SC_REGIST_CREATE_DOCTOR,建档医生编码,,32,,
,\x00\x13,VAR0019,String字符串（变长）,,ST_REGIST_CREATE_DOCTOR,建档医生名称,,64,,
,\x00\x14,VAR0020,String字符串（变长）,,SC_CREATE_ORG,建档单位编码,,16,,
,\x00\x15,VAR0021,String字符串（变长）,,ST_CREATE_ORG,建档单位名称,,128,,
,\x00\x16,VAR0022,String字符串（变长）,,SC_PLAN_TYPE,随访计划类型编码,,2,,
,\x00\x17,VAR0023,String字符串（变长）,,ST_PLAN_TYPE,随访计划类型名称,,64,,
,\x00\x18,VAR0024,String字符串（变长）,,SC_STATUS_INFO,档案状态编码,,1,,
,\x00\x19,VAR0025,String字符串（变长）,,ST_STATUS_INFO,档案状态名称,,64,,
,\x00\x1A,VAR0026,String字符串（变长）,,SC_OTHER_TYPE,其他分类编码,,64,,
,\x00\x1B,VAR0027,String字符串（变长）,,ST_OTHER_TYPE,其他分类名称,,64,,
,\x00\x1C,VAR0028,String字符串（变长）,,DESEASE_REASON,病因,,64,,
,\x00\x1D,VAR0029,String字符串（变长）,,DESEASE_OTHER_REASON,其他病因,,64,,
,\x00\x1E,VAR0030,String字符串（变长）,,OTHER_VESTING,其他转归,,64,,
,\x00\x1F,VAR0031,String字符串（变长）,,SC_CLOSE_FLAG,结案标识编码,,1,,
,\x00\x20,VAR0032,String字符串（变长）,,ST_CLOSE_FLAG,结案标识名称,,64,,
,\x00\x21,VAR0033,String字符串（变长）,,SC_CANCELLATION_USER,注销人编码,,32,,
,\x00\x22,VAR0034,String字符串（变长）,,ST_CANCELLATION_USER,注销人名称,,64,,
,\x00\x23,VAR0035,Date日期型（yyyy-mm-dd）（10个字节）,,CANCELLATION_DATE,注销日期,,,,
,\x00\x24,VAR0036,String字符串（变长）,,SC_CANCELLATION_ORG,注销机构编码,,16,,
,\x00\x25,VAR0037,String字符串（变长）,,ST_CANCELLATION_ORG,注销机构名称,,128,,
,\x00\x26,VAR0038,String字符串（变长）,,SC_CANCELLATION_REASON,注销原因编码,,1,,
,\x00\x27,VAR0039,String字符串（变长）,,ST_CANCELLATION_REASON,注销原因名称,,64,,
,\x00\x28,VAR0040,String字符串（变长）,,DEAD_REASON,死亡原因,,128,,
,\x00\x29,VAR0041,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x2A,VAR0042,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x2B,VAR0043,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x2C,VAR0044,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x2D,VAR0045,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x2E,VAR0046,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x2F,VAR0047,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x30,VAR0048,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x31,VAR0049,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x32,VAR0050,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x33,VAR0051,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
