索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CHILD_EXAM,表全名,JHPDL:JH_RHHV_CHILD_EXAM,,,,,,
,表说明,体弱儿童检查,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAS,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAS0001,String字符串（变长）,,CHILD_EXAM_SN,主键,,64,,
,\x00\x02,VAS0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAS0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAS0004,String字符串（变长）,,ARCHIVE_ID,儿童档案号,,32,,
,\x00\x05,VAS0005,String字符串（变长）,,CHECK_ID,体弱儿童检查编号,,16,,
,\x00\x06,VAS0006,String字符串（变长）,,CHECK_NAME,检查项目名称,,128,,
,\x00\x07,VAS0007,String字符串（变长）,,CHECK_RESULT,检查结果,,128,,
,\x00\x08,VAS0008,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x09,VAS0009,String字符串（变长）,,SC_CHECK_RESULT_ORG,单位编码,,16,,
,\x00\x0A,VAS0010,String字符串（变长）,,ST_CHECK_RESULT_ORG,单位名称,,128,,
,\x00\x0B,VAS0011,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x0C,VAS0012,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x0D,VAS0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x0E,VAS0014,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x0F,VAS0015,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x10,VAS0016,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x11,VAS0017,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x12,VAS0018,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x13,VAS0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x14,VAS0020,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x15,VAS0021,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
