索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CHILD_FOLLOW,表全名,JHPDL:JH_RHHV_CHILD_FOLLOW,,,,,,
,表说明,体弱儿童随访表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAT,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAT0001,String字符串（变长）,,CHILD_FOLLOW_SN,主键,,64,,
,\x00\x02,VAT0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAT0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAT0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAT0005,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x06,VAT0006,Date日期型（yyyy-mm-dd）（10个字节）,,VISIT_DATE,随诊日期,,,,
,\x00\x07,VAT0007,String字符串（变长）,,VISIT_MONTH,随诊月龄,,32,,
,\x00\x08,VAT0008,String字符串（变长）,,SYMPTOMS_INFO,主要症状,,128,,
,\x00\x09,VAT0009,String字符串（变长）,,SIGNS_INFO,阳性体征,,128,,
,\x00\x0A,VAT0010,String字符串（变长）,,CHECK_NAME,检查项目,,128,,
,\x00\x0B,VAT0011,String字符串（变长）,,CHECK_RESULT,检查结果,,128,,
,\x00\x0C,VAT0012,Date日期型（yyyy-mm-dd）（10个字节）,,NEXT_VISIT_DATE,复诊日期,,,,
,\x00\x0D,VAT0013,Date日期型（yyyy-mm-dd）（10个字节）,,EXAMINE_DATE,检查(测)日期,,,,
,\x00\x0E,VAT0014,String字符串（变长）,,SC_EXAMINE_DOCTOR,检查(测)人员编码,,32,,
,\x00\x0F,VAT0015,String字符串（变长）,,ST_EXAMINE_DOCTOR,检查(测)人员名称,,64,,
,\x00\x10,VAT0016,String字符串（变长）,,SC_EXAMINE_ORG,检查(测)机构编码,,16,,
,\x00\x11,VAT0017,String字符串（变长）,,ST_EXAMINE_ORG,检查(测)机构名称,,128,,
,\x00\x12,VAT0018,String字符串（变长）,,MEDICINE_INFO,服药情况,,512,,
,\x00\x13,VAT0019,String字符串（变长）,,GUIDANCE_INFO,处理及指导,,4000,,
,\x00\x14,VAT0020,String字符串（变长）,,HEIGHT_INFO,身长（CM）,,32,,
,\x00\x15,VAT0021,String字符串（变长）,,WEIGHT_INFO,体重（KG）,,32,,
,\x00\x16,VAT0022,String字符串（变长）,,FEEDSITU_INFO,喂养情况,,40,,
,\x00\x17,VAT0023,String字符串（变长）,,WEIGHT_HEIGHT,体重/身高,,32,,
,\x00\x18,VAT0024,String字符串（变长）,,HEIGHT_AGE,身高/年龄,,32,,
,\x00\x19,VAT0025,String字符串（变长）,,WEIGHT_AGE,体重/年龄,,32,,
,\x00\x1A,VAT0026,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x1B,VAT0027,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x1C,VAT0028,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x1D,VAT0029,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x1E,VAT0030,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x1F,VAT0031,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x20,VAT0032,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x21,VAT0033,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x22,VAT0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x23,VAT0035,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x24,VAT0036,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
