索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CHRONIC_ARCHIVES_TRANS,表全名,JHPDL:JH_RHHV_CHRONIC_ARCHIVES_TRANS,,,,,,
,表说明,慢病档案迁移,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBR0001,String字符串（变长）,,CHRONIC_ARCHIVES_TRANS_SN,主键,,64,,
,\x00\x02,VBR0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBR0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBR0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VBR0005,String字符串（变长）,,NAME_INFO,姓名,,64,,
,\x00\x06,VBR0006,String字符串（变长）,,SC_DOCTOR,责任医生编码,,32,,
,\x00\x07,VBR0007,String字符串（变长）,,ST_DOCTOR,责任医生名称,,32,,
,\x00\x08,VBR0008,String字符串（变长）,,SC_ORG,管辖机构编码,,16,,
,\x00\x09,VBR0009,String字符串（变长）,,ST_ORG,管辖机构名称,,16,,
,\x00\x0A,VBR0010,String字符串（变长）,,SC_ARCHIVE_TYPE,档案类别编码,,1,,
,\x00\x0B,VBR0011,String字符串（变长）,,ST_ARCHIVE_TYPE,档案类别名称,,32,,
,\x00\x0C,VBR0012,String字符串（变长）,,SC_APPLY_USER,申请人编码,,32,,
,\x00\x0D,VBR0013,String字符串（变长）,,ST_APPLY_USER,申请人名称,,32,,
,\x00\x0E,VBR0014,String字符串（变长）,,SC_APPLY_ORG,申请机构编码,,16,,
,\x00\x0F,VBR0015,String字符串（变长）,,ST_APPLY_ORG,申请机构名称,,16,,
,\x00\x10,VBR0016,Date日期型（yyyy-mm-dd）（10个字节）,,APPLY_DATE,申请日期,,,,
,\x00\x11,VBR0017,String字符串（变长）,,APPLY_REASON,申请原因,,512,,
,\x00\x12,VBR0018,String字符串（变长）,,SC_AFFIRM_USER,确认人编码,,32,,
,\x00\x13,VBR0019,String字符串（变长）,,ST_AFFIRM_USER,确认人名称,,32,,
,\x00\x14,VBR0020,String字符串（变长）,,AFFIRM_TYPE,确认类别,,1,,
,\x00\x15,VBR0021,String字符串（变长）,,SC_AFFIRM_ORG,确认机构编码,,16,,
,\x00\x16,VBR0022,String字符串（变长）,,ST_AFFIRM_ORG,确认机构名称,,16,,
,\x00\x17,VBR0023,Date日期型（yyyy-mm-dd）（10个字节）,,AFFIRM_DATE,确认日期,,,,
,\x00\x18,VBR0024,String字符串（变长）,,REJECTION_REASON,驳回原因,,512,,
,\x00\x19,VBR0025,String字符串（变长）,,SC_TARGET_DOCTOR,转入医生编码,,32,,
,\x00\x1A,VBR0026,String字符串（变长）,,ST_TARGET_DOCTOR,转入医生名称,,32,,
,\x00\x1B,VBR0027,String字符串（变长）,,ROLE_INFO,角色,,32,,
,\x00\x1C,VBR0028,String字符串（变长）,,SC_TARGET_ORG,转入机构编码,,32,,
,\x00\x1D,VBR0029,String字符串（变长）,,ST_TARGET_ORG,转入机构名称,,32,,
,\x00\x1E,VBR0030,String字符串（变长）,,STATUS_INFO,迁移状态,,1,,
,\x00\x1F,VBR0031,String字符串（变长）,,SC_HYPERTENSION_DOCTOR,高血压责任医生编码,,32,,
,\x00\x20,VBR0032,String字符串（变长）,,ST_HYPERTENSION_DOCTOR,高血压责任医生名称,,32,,
,\x00\x21,VBR0033,String字符串（变长）,,SC_DIABETES_DOCTOR,糖尿病责任医生编码,,32,,
,\x00\x22,VBR0034,String字符串（变长）,,ST_DIABETES_DOCTOR,糖尿病责任医生名称,,32,,
,\x00\x23,VBR0035,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x24,VBR0036,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x25,VBR0037,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x26,VBR0038,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x27,VBR0039,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x28,VBR0040,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x29,VBR0041,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x2A,VBR0042,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x2B,VBR0043,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x2C,VBR0044,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x2D,VBR0045,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
