索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CHRONIC_DRUG,表全名,JHPDL:JH_RHHV_CHRONIC_DRUG,,,,,,
,表说明,高血压/糖尿病患者随访信息_用药,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCV,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCV0001,String字符串（变长）,,RHHV_CHRONIC_DRUG_SN,用药编号,,64,,
,\x00\x02,VCV0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCV0003,String字符串（变长）,,FOLLOW_RECORD_SN,高血压/糖尿病患者随访服务记录表编号,,64,,
,\x00\x04,VCV0004,String字符串（变长）,,SC_SC_CN_MEDICINE_TYPE,中药类别代码,,1,,
,\x00\x05,VCV0005,String字符串（变长）,,DRUG_NAME,药物名称,,200,,
,\x00\x06,VCV0006,String字符串（变长）,,DRUG_USING_FREQ,药物使用频率,,20,,
,\x00\x07,VCV0007,String字符串（变长）,,DRUG_DOSE_UNIT,药物使用剂量单位,,50,,
,\x00\x08,VCV0008,String字符串（变长）,,DRUG_PER_DOSE,药物使用次剂量,,20,,
,\x00\x09,VCV0009,String字符串（变长）,,DRUG_TOTAL_DOSE,药物使用总剂量,,20,,
,\x00\x0A,VCV0010,String字符串（变长）,,SC_DRUG_ROUTE,药物使用途径代码,,3,,
,\x00\x0B,VCV0011,String字符串（变长）,,ST_DRUG_ROUTE,药物使用途径,,20,,
,\x00\x0C,VCV0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DISPENSING_DTIME,发药时间,,,,
,\x00\x0D,VCV0013,String字符串（变长）,,PRESCRIPTION_FLAG,处方药物标记,,1,,
,\x00\x0E,VCV0014,String字符串（变长）,,DRUG_TYPE,用药类型,1高血压2糖尿病,1,,
,\x00\x0F,VCV0015,String字符串（变长）,,INSULIN_TYPE,胰岛素种类,,50,,
,\x00\x10,VCV0016,String字符串（变长）,,INSULIN_USE_WAY,胰岛素用法,,50,,
,\x00\x11,VCV0017,String字符串（变长）,,INSULIN_DOSE,胰岛素用量,,50,,
,\x00\x12,VCV0018,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x13,VCV0019,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x14,VCV0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x15,VCV0021,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x16,VCV0022,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x17,VCV0023,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x18,VCV0024,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x19,VCV0025,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,255,,
,\x00\x1A,VCV0026,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x1B,VCV0027,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x1C,VCV0028,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
