索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CHRONIC_YEAR_ASSESS,表全名,JHPDL:JH_RHHV_CHRONIC_YEAR_ASSESS,,,,,,
,表说明,慢病年度评估,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBP0001,String字符串（变长）,,CHRONIC_YEAR_ASSESS_SN,主键,,64,,
,\x00\x02,VBP0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBP0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBP0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VBP0005,String字符串（变长）,,CGCHRONIC_TYPE,慢病类型,,1,,
,\x00\x06,VBP0006,Date日期型（yyyy-mm-dd）（10个字节）,,ASSESS_TIME,评估时间,,,,
,\x00\x07,VBP0007,String字符串（变长）,,PATIENT_COMPLIANCE,患者依从性,,1,,
,\x00\x08,VBP0008,String字符串（变长）,,DRUG_COMPLIANCE,服药依从性,,1,,
,\x00\x09,VBP0009,String字符串（变长）,,CGNON_DRUG,非药物干预,,1,,
,\x00\x0A,VBP0010,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x0B,VBP0011,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x0C,VBP0012,String字符串（变长）,,FASTING_BLOOD_GLUCOSE,空腹血糖值(MMOL/L),,32,,
,\x00\x0D,VBP0013,String字符串（变长）,,HEMOGLOBIN_CONVERSION,化血红蛋白%,,32,,
,\x00\x0E,VBP0014,String字符串（变长）,,TARGET_WEIGHT,目标体重(KG),,32,,
,\x00\x0F,VBP0015,String字符串（变长）,,BEFORE_INTERVENTION_WEIGHT,干预前体重(KG),,32,,
,\x00\x10,VBP0016,String字符串（变长）,,AFTER_INTERVENTION_WEIGHT,干预后体重(KG),,32,,
,\x00\x11,VBP0017,String字符串（变长）,,TARGET_WAISTLINE,目标腰围(CM),,32,,
,\x00\x12,VBP0018,String字符串（变长）,,BEFORE_INTERVENTION_WAISTLINE,干预前腰围,,32,,
,\x00\x13,VBP0019,String字符串（变长）,,AFTER_INTERVENTION_WAISTLINE,干预后腰围,,32,,
,\x00\x14,VBP0020,String字符串（变长）,,BMI_INFO,BMI,,32,,
,\x00\x15,VBP0021,String字符串（变长）,,BEFORE_INTERVENTION_BMI,干预前BMI,,32,,
,\x00\x16,VBP0022,String字符串（变长）,,AFTER_INTERVENTION_BMI,干预后BMI,,32,,
,\x00\x17,VBP0023,String字符串（变长）,,BEFORE_INTERVENTION_EATE_HABIT,干预前饮食偏好,,32,,
,\x00\x18,VBP0024,String字符串（变长）,,AFTER_INTERVENTION_EATE_HABIT,干预R后饮食偏好,,32,,
,\x00\x19,VBP0025,String字符串（变长）,,BEFORE_INTERVENTION_TRAIN_TIMES_WEEK,周运动次数干预前,,32,,
,\x00\x1A,VBP0026,String字符串（变长）,,AFTER_INTERVENTION_TRAIN_TIMES_WEEK,周运动次数干预后,,32,,
,\x00\x1B,VBP0027,String字符串（变长）,,BEFORE_INTERVENTION_TRAIN_MINUTE,每次时长(分)干预前,,32,,
,\x00\x1C,VBP0028,String字符串（变长）,,AFTER_INTERVENTION_TRAIN_MINUTE,每次时长(分)干预后,,32,,
,\x00\x1D,VBP0029,String字符串（变长）,,BEFORE_INTERVENTION_SMOKE_COUNT,干预前日吸烟量(支),,32,,
,\x00\x1E,VBP0030,String字符串（变长）,,AFTER_INTERVENTION_SMOKE_COUNT,干预后日吸烟量(支),,32,,
,\x00\x1F,VBP0031,String字符串（变长）,,BEFORE_INTERVENTION_DRINK_COUNT,干预前日饮酒量(两),,32,,
,\x00\x20,VBP0032,String字符串（变长）,,AFTER_INTERVENTION_DRINK_COUNT,干预后日饮酒量(两),,32,,
,\x00\x21,VBP0033,String字符串（变长）,,TARGET_HURT,年度靶器官损害,,32,,
,\x00\x22,VBP0034,Date日期型（yyyy-mm-dd）（10个字节）,,HAPPEN_TIME,靶器官发生时间,,,,
,\x00\x23,VBP0035,String字符串（变长）,,HEART_DISEASE,心脏疾病,,32,,
,\x00\x24,VBP0036,String字符串（变长）,,BLOOD_DISEASE,血管疾病,,32,,
,\x00\x25,VBP0037,String字符串（变长）,,KIDNEY_DISEASE,肾病疾病,,32,,
,\x00\x26,VBP0038,String字符串（变长）,,EYE_DISEASE,眼部疾病,,32,,
,\x00\x27,VBP0039,String字符串（变长）,,BRAIN_DISEASE,脑血管病,,32,,
,\x00\x28,VBP0040,String字符串（变长）,,NERVOUS_SYSTEM,神经系统,,32,,
,\x00\x29,VBP0041,String字符串（变长）,,OTHER_SYSTEM,其它系统,,32,,
,\x00\x2A,VBP0042,String字符串（变长）,,RISKINESS_INFO,危险因素,,32,,
,\x00\x2B,VBP0043,String字符串（变长）,,MANAGEMENT_EFFECT,管理效果,,1,,
,\x00\x2C,VBP0044,String字符串（变长）,,OTHER_DISEASE,其它疾病,,32,,
,\x00\x2D,VBP0045,String字符串（变长）,,DEFORMITY_LEVEL,肢残程序,,32,,
,\x00\x2E,VBP0046,String字符串（变长）,,COGNIZE_INFO,认知功能 障碍评分,,32,,
,\x00\x2F,VBP0047,String字符串（变长）,,CHECK_WEEK,辅助检查计划周,,32,,
,\x00\x30,VBP0048,String字符串（变长）,,CHECK_TWO_WEEK,辅助检查计划2周,,32,,
,\x00\x31,VBP0049,String字符串（变长）,,CHECK_MONTH,辅助检查计划月,,32,,
,\x00\x32,VBP0050,String字符串（变长）,,CHECK_TWO_MONTH,辅助检查计划2月,,32,,
,\x00\x33,VBP0051,String字符串（变长）,,CHECK_THREE_MONTH,辅助检查计划3月,,32,,
,\x00\x34,VBP0052,String字符串（变长）,,CHECK_SIX_MONTH,辅助检查计划6月,,32,,
,\x00\x35,VBP0053,String字符串（变长）,,NON_DRUG_PLAN,非药物干预方案,,32,,
,\x00\x36,VBP0054,String字符串（变长）,,FACE_FOLLOW_CYCLE,面对面随诊周期,,1,,
,\x00\x37,VBP0055,String字符串（变长）,,DIRECTION_ONE,其它健康指导1,,128,,
,\x00\x38,VBP0056,String字符串（变长）,,DIRECTION_TWO,其它健康指导2,,64,,
,\x00\x39,VBP0057,String字符串（变长）,,DIRECTION_THREE,其它健康指导3,,64,,
,\x00\x3A,VBP0058,String字符串（变长）,,DIRECTION_FOUR,其它健康指导4,,64,,
,\x00\x3B,VBP0059,String字符串（变长）,,CGTREATMENT_INFO,康复治疗方案,,128,,
,\x00\x3C,VBP0060,String字符串（变长）,,CGTREATMENT_THREE,康复治疗方案3,,64,,
,\x00\x3D,VBP0061,String字符串（变长）,,CGTREATMENT_TWO,康复治疗方案2,,64,,
,\x00\x3E,VBP0062,String字符串（变长）,,HYPERTENSION_LEVEL,高血压级别,,1,,
,\x00\x3F,VBP0063,String字符串（变长）,,HYPERTENSION_GROUP,高血压分层,,1,,
,\x00\x40,VBP0064,String字符串（变长）,,DIABETES_TYPE,糖尿病类型,,1,,
,\x00\x41,VBP0065,String字符串（变长）,,PBS_INFO,餐后血糖,,32,,
,\x00\x42,VBP0066,Date日期型（yyyy-mm-dd）（10个字节）,,HEART_HAPPEN_TIME,心脏发生时间,,,,
,\x00\x43,VBP0067,Date日期型（yyyy-mm-dd）（10个字节）,,BLOOD_HAPPEN_TIME,血管发生时间,,,,
,\x00\x44,VBP0068,Date日期型（yyyy-mm-dd）（10个字节）,,KIDNEY_HAPPEN_TIME,肾脏发生时间,,,,
,\x00\x45,VBP0069,Date日期型（yyyy-mm-dd）（10个字节）,,EYE_HAPPEN_TIME,眼底发生时间,,,,
,\x00\x46,VBP0070,Date日期型（yyyy-mm-dd）（10个字节）,,BRAIN_HAPPEN_TIME,脑发生时间,,,,
,\x00\x47,VBP0071,String字符串（变长）,,CORONARY_INFO,冠心病,,10,,
,\x00\x48,VBP0072,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x49,VBP0073,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x4A,VBP0074,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x4B,VBP0075,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x4C,VBP0076,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x4D,VBP0077,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x4E,VBP0078,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x4F,VBP0079,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x50,VBP0080,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x51,VBP0081,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x52,VBP0082,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
