索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CHRONIC_YEAR_TAKMED,表全名,JHPDL:JH_RHHV_CHRONIC_YEAR_TAKMED,,,,,,
,表说明,慢病年度评做服药情况,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBQ,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBQ0001,String字符串（变长）,,CHRONIC_YEAR_TAKMED_SN,主键,,64,,
,\x00\x02,VBQ0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBQ0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBQ0004,String字符串（变长）,,ARCHIVE_ID,高血压档案号,,32,,
,\x00\x05,VBQ0005,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x06,VBQ0006,String字符串（变长）,,DRUG_ID,药物ID,,32,,
,\x00\x07,VBQ0007,String字符串（变长）,,MEDICINE_NAME,药物名称,,64,,
,\x00\x08,VBQ0008,String字符串（变长）,,MEDICINE_FREQUENCY,次数,,32,,
,\x00\x09,VBQ0009,String字符串（变长）,,MEDICINE_UNIT,剂量单位,,6,,
,\x00\x0A,VBQ0010,String字符串（变长）,,MEDICIN_EDOSAGE,每次剂量,,32,,
,\x00\x0B,VBQ0011,String字符串（变长）,,MEDICINE_TOTAL_DOSAGE,总剂量,,32,,
,\x00\x0C,VBQ0012,String字符串（变长）,,MEDICINE_WAY,使用途径,,3,,
,\x00\x0D,VBQ0013,String字符串（变长）,,SIDEEFFECTS_FLAG,副作用,,1,,
,\x00\x0E,VBQ0014,String字符串（变长）,,SIDE_EFFECTS,副作用描述,,128,,
,\x00\x0F,VBQ0015,Date日期型（yyyy-mm-dd）（10个字节）,,MEDICINE_DATE,开药时间,,,,
,\x00\x10,VBQ0016,String字符串（变长）,,USE_UNITS,用药剂量单位,,10,,
,\x00\x11,VBQ0017,String字符串（变长）,,MORNING_INFO,早,,32,,
,\x00\x12,VBQ0018,String字符串（变长）,,MIDDAY_INFO,中,,32,,
,\x00\x13,VBQ0019,String字符串（变长）,,NIGHT_INFO,晚,,32,,
,\x00\x14,VBQ0020,String字符串（变长）,,OTHER_MEDICINE_DESC,其他用药描述,,128,,
,\x00\x15,VBQ0021,String字符串（变长）,,OTHER_TOTAL_COUNT,其他用药总剂量,,32,,
,\x00\x16,VBQ0022,String字符串（变长）,,DAYS_INFO,/天数,,32,,
,\x00\x17,VBQ0023,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x18,VBQ0024,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x19,VBQ0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x1A,VBQ0026,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x1B,VBQ0027,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x1C,VBQ0028,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x1D,VBQ0029,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x1E,VBQ0030,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x1F,VBQ0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x20,VBQ0032,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x21,VBQ0033,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
