索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CITIZEN_CARD,表全名,JHPDL:JH_RHHV_CITIZEN_CARD,,,,,,
,表说明,市民卡信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBL,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBL0001,String字符串（变长）,,CITIZEN_CARD_SN,主键,,64,,
,\x00\x02,VBL0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBL0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBL0004,String字符串（变长）,,SC_CENTER,中心机内码编码,,32,,
,\x00\x05,VBL0005,String字符串（变长）,,ST_CENTER,中心机内码名称,,32,,
,\x00\x06,VBL0006,String字符串（变长）,,CARD_NO,市民卡号,,9,,
,\x00\x07,VBL0007,String字符串（变长）,,PERSON_ID,持有人ID,,18,,
,\x00\x08,VBL0008,String字符串（变长）,,NAME_INFO,姓名,,32,,
,\x00\x09,VBL0009,Date日期型（yyyy-mm-dd）（10个字节）,,SEND_DATE,发卡日期,,,,
,\x00\x0A,VBL0010,Date日期型（yyyy-mm-dd）（10个字节）,,VALID_DATE,有效日期,,,,
,\x00\x0B,VBL0011,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x0C,VBL0012,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x0D,VBL0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x0E,VBL0014,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x0F,VBL0015,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x10,VBL0016,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x11,VBL0017,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x12,VBL0018,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x13,VBL0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x14,VBL0020,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x15,VBL0021,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
