索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CITIZEN_CARD_OWN,表全名,JHPDL:JH_RHHV_CITIZEN_CARD_OWN,,,,,,
,表说明,市民卡持有者信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBM,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBM0001,String字符串（变长）,,CITIZEN_CARD_OWN_SN,主键,,64,,
,\x00\x02,VBM0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBM0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBM0004,String字符串（变长）,,SC_CENTER,中心机内码编码,,32,,
,\x00\x05,VBM0005,String字符串（变长）,,ST_CENTER,中心机内码名称,,32,,
,\x00\x06,VBM0006,String字符串（变长）,,CARD_ID,市民卡ID,,32,,
,\x00\x07,VBM0007,String字符串（变长）,,NAME_INFO,姓名,,40,,
,\x00\x08,VBM0008,String字符串（变长）,,ID_CARD,身份证号,,18,,
,\x00\x09,VBM0009,String字符串（变长）,,PERSON_IN_ID,人员内部ID,,32,,
,\x00\x0A,VBM0010,String字符串（变长）,,PERSON_ID,人员ID,,32,,
,\x00\x0B,VBM0011,String字符串（变长）,,SC_SEX,性别编码,,1,,
,\x00\x0C,VBM0012,String字符串（变长）,,ST_SEX,性别名称,,32,,
,\x00\x0D,VBM0013,String字符串（变长）,,FORMER_NAME,曾用名,,40,,
,\x00\x0E,VBM0014,String字符串（变长）,,HOUSEHOLD_TYPE,户别,,1,,
,\x00\x0F,VBM0015,String字符串（变长）,,HOUSEHOLD_ID,户号,,32,,
,\x00\x10,VBM0016,String字符串（变长）,,HOUSEHOLD_RELATIONSHIP,与户主关系,,6,,
,\x00\x11,VBM0017,String字符串（变长）,,SC_NATION,民族编码,,2,,
,\x00\x12,VBM0018,String字符串（变长）,,ST_NATION,民族名称,,32,,
,\x00\x13,VBM0019,String字符串（变长）,,BIRTH_ADDRESS,出生地省市县（区）,,6,,
,\x00\x14,VBM0020,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTHDAY_INFO,出生日期,,,,
,\x00\x15,VBM0021,String字符串（变长）,,POLICE_STATION,派出所,,9,,
,\x00\x16,VBM0022,String字符串（变长）,,STREET_LANE,街路巷,,12,,
,\x00\x17,VBM0023,String字符串（变长）,,BUILDING_NO,门楼牌号,,32,,
,\x00\x18,VBM0024,String字符串（变长）,,BIRTH_PLACE_PROVINCE,籍贯省市县区,,32,,
,\x00\x19,VBM0025,String字符串（变长）,,BIRTH_PLACE_COUNTRY,籍贯国家（地区）,,32,,
,\x00\x1A,VBM0026,String字符串（变长）,,DEAD_TIME,死亡时间,,32,,
,\x00\x1B,VBM0027,String字符串（变长）,,MIGRATION_TIME,迁出时间,,32,,
,\x00\x1C,VBM0028,String字符串（变长）,,REGISTERED_COUNTY,户口所在区，县,,6,,
,\x00\x1D,VBM0029,String字符串（变长）,,TOWNSHIP_INFO,乡镇（街道）,,32,,
,\x00\x1E,VBM0030,String字符串（变长）,,NEIGH_COMM,居（村）委会,,32,,
,\x00\x1F,VBM0031,String字符串（变长）,,DETAIL_ADDRESS,详细地址,,512,,
,\x00\x20,VBM0032,String字符串（变长）,,SC_EDUCATION,文化程度编码,,2,,
,\x00\x21,VBM0033,String字符串（变长）,,ST_EDUCATION,文化程度名称,,32,,
,\x00\x22,VBM0034,String字符串（变长）,,SC_MARITAL_STATUS,婚姻状况编码,,2,,
,\x00\x23,VBM0035,String字符串（变长）,,ST_MARITAL_STATUS,婚姻状况名称,,32,,
,\x00\x24,VBM0036,String字符串（变长）,,SC_PERSON_STATUS,人员状态编码,,2,,
,\x00\x25,VBM0037,String字符串（变长）,,ST_PERSON_STATUS,人员状态名称,,32,,
,\x00\x26,VBM0038,Date日期型（yyyy-mm-dd）（10个字节）,,RECENTMODIFYTIME,最近更新时间,,,,
,\x00\x27,VBM0039,String字符串（变长）,,FAMILY_PHONE_NO,家庭电话,,32,,
,\x00\x28,VBM0040,String字符串（变长）,,SC_REVIEW_FLAG,审核标志,,1,,
,\x00\x29,VBM0041,String字符串（变长）,,NEIGH_COMM_NUM,居委编号,,64,,
,\x00\x2A,VBM0042,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x2B,VBM0043,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x2C,VBM0044,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x2D,VBM0045,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x2E,VBM0046,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x2F,VBM0047,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x30,VBM0048,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x31,VBM0049,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x32,VBM0050,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x33,VBM0051,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x34,VBM0052,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
