索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_DIABETES_COMPLICATIONS,表全名,JHPDL:JH_RHHV_DIABETES_COMPLICATIONS,,,,,,
,表说明,糖尿病并发症,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCD0001,String字符串（变长）,,DIABETES_COMPLICATIONS_SN,主键,,64,,
,\x00\x02,VCD0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCD0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCD0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCD0005,String字符串（变长）,,COMPLICATION_ID,并发症识别,,16,,
,\x00\x06,VCD0006,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x07,VCD0007,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x08,VCD0008,String字符串（变长）,,SC_COMPLICATION,并发症编码,,8,,
,\x00\x09,VCD0009,String字符串（变长）,,ST_COMPLICATION,并发症名称,,32,,
,\x00\x0A,VCD0010,Date日期型（yyyy-mm-dd）（10个字节）,,DIAGNOSE_DATE,诊断日期,,,,
,\x00\x0B,VCD0011,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x0C,VCD0012,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x0D,VCD0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x0E,VCD0014,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x0F,VCD0015,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x10,VCD0016,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x11,VCD0017,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x12,VCD0018,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x13,VCD0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x14,VCD0020,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x15,VCD0021,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
