索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_DIABETES_CONTROL_OBJ,表全名,JHPDL:JH_RHHV_DIABETES_CONTROL_OBJ,,,,,,
,表说明,糖尿病控制目标（标准）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCE,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCE0001,String字符串（变长）,,DIABETES_CONTROL_OBJ_SN,主键,,64,,
,\x00\x02,VCE0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCE0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCE0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCE0005,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x06,VCE0006,String字符串（变长）,,SC_BLOOD,采血类型编码,,1,,
,\x00\x07,VCE0007,String字符串（变长）,,ST_BLOOD,采血类型名称,,16,,
,\x00\x08,VCE0008,String字符串（变长）,,PBS_LOW,餐前血糖低值,,32,,
,\x00\x09,VCE0009,String字符串（变长）,,PBS_HIGH,餐前血糖高值,,32,,
,\x00\x0A,VCE0010,String字符串（变长）,,DIABETES_CONTROL,控制目标,,2,,
,\x00\x0B,VCE0011,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x0C,VCE0012,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x0D,VCE0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x0E,VCE0014,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x0F,VCE0015,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x10,VCE0016,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x11,VCE0017,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x12,VCE0018,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x13,VCE0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x14,VCE0020,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x15,VCE0021,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
