索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_DIABETES_FOLLOW_RECORD,表全名,JHPDL:JH_RHHV_DIABETES_FOLLOW_RECORD,,,,,,
,表说明,糖尿病随访记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCW,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCW0001,String字符串（变长）,,DIABETES_FOLLOW_RECORD_SN,主键,,64,,
,\x00\x02,VCW0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCW0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCW0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCW0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FOLLOW_DATE,随访日期,,,,
,\x00\x06,VCW0006,String字符串（变长）,,SC_FOLLOW_METHOD,随访方式编码,cv06_00_207,64,,
,\x00\x07,VCW0007,String字符串（变长）,,ST_FOLLOW_METHOD,随访方式名称,,128,,
,\x00\x08,VCW0008,String字符串（变长）,,SC_RETURN,转归编码,,64,,
,\x00\x09,VCW0009,String字符串（变长）,,ST_RETURN,转归名称,,128,,
,\x00\x0A,VCW0010,String字符串（变长）,,SC_MEDICAL_RECORD_TYPE,病历种类编码,,64,,
,\x00\x0B,VCW0011,String字符串（变长）,,ST_MEDICAL_RECORD_TYPE,病历种类名称,,128,,
,\x00\x0C,VCW0012,String字符串（变长）,,SC_TRANSFORMATION,发生转型编码,,64,,
,\x00\x0D,VCW0013,String字符串（变长）,,ST_TRANSFORMATION,发生转型名称,,128,,
,\x00\x0E,VCW0014,String字符串（变长）,,SC_SYMPTOM,症状编码,jhcv_diabete_symptom,64,,
,\x00\x0F,VCW0015,String字符串（变长）,,ST_SYMPTOM,症状名称,,128,,
,\x00\x10,VCW0016,String字符串（变长）,,SYMPTOM_CONTENT,症状内容,,64,,
,\x00\x11,VCW0017,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压,,8,,
,\x00\x12,VCW0018,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压,,8,,
,\x00\x13,VCW0019,String字符串（变长）,,HEIGHT_INFO,身高,,8,,
,\x00\x14,VCW0020,String字符串（变长）,,CURRENT_WEIGHT,当前体重,,8,,
,\x00\x15,VCW0021,String字符串（变长）,,TARGET_WEIGHT,目标体重,,8,,
,\x00\x16,VCW0022,String字符串（变长）,,CURRENT_BMI,当前体质指数,,8,,
,\x00\x17,VCW0023,String字符串（变长）,,TARGET_BMI,目标体质指数,,8,,
,\x00\x18,VCW0024,String字符串（变长）,,SC_FOOT_PULSES,足背动脉搏动编码,cvo4_10_015,1,,
,\x00\x19,VCW0025,String字符串（变长）,,ST_FOOT_PULSES,足背动脉搏动名称,,64,,
,\x00\x1A,VCW0026,String字符串（变长）,,OTHER_INFO,其他,,255,,
,\x00\x1B,VCW0027,String字符串（变长）,,DAY_CURRENT_SMOKE,日吸烟数量,,8,,
,\x00\x1C,VCW0028,String字符串（变长）,,DAY_TARGET_SMOKE,目标日吸烟数量,,8,,
,\x00\x1D,VCW0029,String字符串（变长）,,DAY_CURRENT_DRINK,日饮酒数量,,8,,
,\x00\x1E,VCW0030,String字符串（变长）,,DAY_TARGET_DRINK,日目标饮酒数量,,8,,
,\x00\x1F,VCW0031,String字符串（变长）,,CURRENT_ACT_TIME,当前运动次/周,,8,,
,\x00\x20,VCW0032,String字符串（变长）,,CURRENT_ACT_LONG,当前运动时长分钟/次,,8,,
,\x00\x21,VCW0033,String字符串（变长）,,TARGET_ACT_TIME,目标运动次/周,,8,,
,\x00\x22,VCW0034,String字符串（变长）,,TARGET_ACT_LONG,目标运动时长分钟/次,,8,,
,\x00\x23,VCW0035,String字符串（变长）,,CURRENT_STAPLE_FOOD,当前主食 克/天,,8,,
,\x00\x24,VCW0036,String字符串（变长）,,TARGET_STAPLE_FOOD,目标主食 克/天,,8,,
,\x00\x25,VCW0037,String字符串（变长）,,SC_PSYCHOLOGICAL_ADJUSTMENT,心理调整编码,jhcv_psy_adjust,64,,
,\x00\x26,VCW0038,String字符串（变长）,,ST_PSYCHOLOGICAL_ADJUSTMENT,心理调整名称,,128,,
,\x00\x27,VCW0039,String字符串（变长）,,SC_COMPLY_DOCTOR,遵医行为编码,jhcv_compliance_medical,64,,
,\x00\x28,VCW0040,String字符串（变长）,,ST_COMPLY_DOCTOR,遵医行为名称,,128,,
,\x00\x29,VCW0041,String字符串（变长）,,FASTING_GLYCEMIA,空腹血糖值,,8,,
,\x00\x2A,VCW0042,String字符串（变长）,,SC_FASTING_METHOD,空腹测量方式编码,,64,,
,\x00\x2B,VCW0043,String字符串（变长）,,ST_FASTING_METHOD,空腹测量方式名称,,128,,
,\x00\x2C,VCW0044,String字符串（变长）,,MEALS_GLTCEMIA,餐后血糖值,,8,,
,\x00\x2D,VCW0045,String字符串（变长）,,SC_MEALS_METHOD,餐后测量方式编码,,64,,
,\x00\x2E,VCW0046,String字符串（变长）,,ST_MEALS_METHOD,餐后测量方式名称,,128,,
,\x00\x2F,VCW0047,String字符串（变长）,,GLYCOSHEMOGLOBIN,糖血红蛋白,,8,,
,\x00\x30,VCW0048,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,GLYCOSHEMOGLOBIN_DATE,糖血红蛋白检查日期,,,,
,\x00\x31,VCW0049,String字符串（变长）,,SC_MEDICATION_ADHERENCE,服药依从性编码,jhcv_medication_adherence,64,,
,\x00\x32,VCW0050,String字符串（变长）,,ST_MEDICATION_ADHERENCE,服药依从性名称,f,128,,
,\x00\x33,VCW0051,String字符串（变长）,,SC_UNLAW_MEDICATION_REASON,不规律服药原因编码,,64,,
,\x00\x34,VCW0052,String字符串（变长）,,ST_UNLAW_MEDICATION_REASON,不规律服药原因名称,,128,,
,\x00\x35,VCW0053,String字符串（变长）,,UNLAW_MEDICATION_REASON_CONTENT,不规律服药其他内容,,255,,
,\x00\x36,VCW0054,String字符串（变长）,,SC_DRUG_ADVERSE,药物不良反应编码,jhcv_yes_no,64,,
,\x00\x37,VCW0055,String字符串（变长）,,ST_DRUG_ADVERSE,药物不良反应名称,,128,,
,\x00\x38,VCW0056,String字符串（变长）,,SC_HYPOGLYCEMIA,低血糖反应编码,jhcv_hypoglycemic_reactions,64,,
,\x00\x39,VCW0057,String字符串（变长）,,ST_HYPOGLYCEMIA,低血糖反应名称,,128,,
,\x00\x3A,VCW0058,String字符串（变长）,,HEALTH_PRESCRIPTION,健康处方建议json,,512,,
,\x00\x3B,VCW0059,String字符串（变长）,,REFERRAL_REASON,转诊原因,,255,,
,\x00\x3C,VCW0060,String字符串（变长）,,REFERRAL_ORG_DEPT,转诊机构以及科别,,255,,
,\x00\x3D,VCW0061,String字符串（变长）,,CONTACT_PHONE,联系人及电话,,64,,
,\x00\x3E,VCW0062,String字符串（变长）,,SC_RESULT,结果,jhcv_return_result,1,,
,\x00\x3F,VCW0063,String字符串（变长）,,FOLLOW_TYPE,随访分类,cv05_10_012,64,,
,\x00\x40,VCW0064,String字符串（变长）,,REMARK_INFO,备注,,512,,
,\x00\x41,VCW0065,String字符串（变长）,,NEXT_MANAGE_WAY,下一步管理措施,jhcv_next_manage_measure,1,,
,\x00\x42,VCW0066,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,NEXT_FOLLOW_DATE,下次随访日期,,,,
,\x00\x43,VCW0067,String字符串（变长）,,SC_FOLLOW_DOCTOR,随访医生编码,,64,,
,\x00\x44,VCW0068,String字符串（变长）,,ST_FOLLOW_DOCTOR,随访医生名称,,128,,
,\x00\x45,VCW0069,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x46,VCW0070,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x47,VCW0071,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x48,VCW0072,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x49,VCW0073,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x4A,VCW0074,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,255,,
,\x00\x4B,VCW0075,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x4C,VCW0076,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,255,,
,\x00\x4D,VCW0077,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x4E,VCW0078,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x4F,VCW0079,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
,\x00\x50,VCW0080,String字符串（变长）,,ST_SYMPTOM_CONTENT,症状描述,症状描述,500,,
,\x00\x51,VCW0081,String字符串（变长）,,ST_FOLLOW_TYPE,随访分类描述,随访分类描述,200,,
