索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_DIABETES_HEALTH_MANAGE,表全名,JHPDL:JH_RHHV_DIABETES_HEALTH_MANAGE,,,,,,
,表说明,糖尿病健康管理,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCB,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCB0001,String字符串（变长）,,DIABETES_HEALTH_MANAGE_SN,主键,,64,,
,\x00\x02,VCB0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCB0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCB0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCB0005,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x06,VCB0006,String字符串（变长）,,CARD_NO,卡号,,64,,
,\x00\x07,VCB0007,String字符串（变长）,,PERSON_NAME,患者姓名,,64,,
,\x00\x08,VCB0008,String字符串（变长）,,SC_SEX,性别编码,,1,,
,\x00\x09,VCB0009,String字符串（变长）,,ST_SEX,性别名称,,8,,
,\x00\x0A,VCB0010,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTHDAY_INFO,出生日期,,,,
,\x00\x0B,VCB0011,String字符串（变长）,,ID_CARD,身份证号,,32,,
,\x00\x0C,VCB0012,String字符串（变长）,,PHONE_NO,联系电话,,32,,
,\x00\x0D,VCB0013,String字符串（变长）,,SC_REGION,所属区域编码,,25,,
,\x00\x0E,VCB0014,String字符串（变长）,,ST_REGION,所属区域名称,,128,,
,\x00\x0F,VCB0015,String字符串（变长）,,SC_DOCTOR,医生编码,,32,,
,\x00\x10,VCB0016,String字符串（变长）,,ST_DOCTOR,医生名称,,32,,
,\x00\x11,VCB0017,String字符串（变长）,,SC_ORG,机构编码,,16,,
,\x00\x12,VCB0018,String字符串（变长）,,ST_ORG,机构名称,,128,,
,\x00\x13,VCB0019,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x14,VCB0020,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x15,VCB0021,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x16,VCB0022,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x17,VCB0023,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x18,VCB0024,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x19,VCB0025,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x1A,VCB0026,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x1B,VCB0027,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x1C,VCB0028,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x1D,VCB0029,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
