索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_DIABETES_HEALTH_TRANS,表全名,JHPDL:JH_RHHV_DIABETES_HEALTH_TRANS,,,,,,
,表说明,糖尿病定转级信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCC,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCC0001,String字符串（变长）,,DIABETES_HEALTH_TRANS_SN,主键,,64,,
,\x00\x02,VCC0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCC0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCC0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCC0005,Date日期型（yyyy-mm-dd）（10个字节）,,ASSESST_IME,评估时间,,,,
,\x00\x06,VCC0006,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x07,VCC0007,String字符串（变长）,,HEALTH_GUIDE_ONE,其他健康指导1,,128,,
,\x00\x08,VCC0008,String字符串（变长）,,HEALTH_GUIDE_TWO,其他健康指导2,,128,,
,\x00\x09,VCC0009,String字符串（变长）,,HEALTH_GUIDE_THREE,其他健康指导3,,128,,
,\x00\x0A,VCC0010,String字符串（变长）,,SC_FIX_TYPE,定转级类型编码,,1,,
,\x00\x0B,VCC0011,String字符串（变长）,,ST_FIX_TYPE,定转级类型名称,,16,,
,\x00\x0C,VCC0012,Date日期型（yyyy-mm-dd）（10个字节）,,FIX_DATE,定转级日期,,,,
,\x00\x0D,VCC0013,String字符串（变长）,,FBS_INFO,建卡空腹血糖,,32,,
,\x00\x0E,VCC0014,String字符串（变长）,,PBS_INFO,建卡餐后血糖,,32,,
,\x00\x0F,VCC0015,String字符串（变长）,,SC_CONTROL_RESULT,控制情况编码,,2,,
,\x00\x10,VCC0016,String字符串（变长）,,ST_CONTROL_RESULT,控制情况名称,,32,,
,\x00\x11,VCC0017,String字符串（变长）,,SC_DIABETES_GROUP,管理分级编码,,2,,
,\x00\x12,VCC0018,String字符串（变长）,,ST_DIABETES_GROUP,管理分级名称,,32,,
,\x00\x13,VCC0019,String字符串（变长）,,SC_BLOOD,采血类型编码,,1,,
,\x00\x14,VCC0020,String字符串（变长）,,ST_BLOOD,采血类型名称,,16,,
,\x00\x15,VCC0021,String字符串（变长）,,OLD_GROUP,原定分级,,32,,
,\x00\x16,VCC0022,String字符串（变长）,,INITIAL_ASSESS,初始评估,,5,,
,\x00\x17,VCC0023,String字符串（变长）,,BLOOD_SUGAR,血糖,,32,,
,\x00\x18,VCC0024,String字符串（变长）,,URINARY_ALBUMIN,尿微量白蛋白,,10,,
,\x00\x19,VCC0025,String字符串（变长）,,BLOOD_FAT,血脂,,10,,
,\x00\x1A,VCC0026,String字符串（变长）,,RENAL_INFO,肾功能,,10,,
,\x00\x1B,VCC0027,String字符串（变长）,,ROUTINE_URINE,尿常规,,10,,
,\x00\x1C,VCC0028,String字符串（变长）,,ECG_INFO,心电图,,10,,
,\x00\x1D,VCC0029,String字符串（变长）,,EYE_GROUND,眼底,,10,,
,\x00\x1E,VCC0030,String字符串（变长）,,OTHER_INFO,辅助检查计划-其他,,64,,
,\x00\x1F,VCC0031,String字符串（变长）,,NPI_INFO,非药物干涉计划,,32,,
,\x00\x20,VCC0032,String字符串（变长）,,DOCTOR_SIGN,医生签名,,128,,
,\x00\x21,VCC0033,String字符串（变长）,,OTHER_NPI,其他非药物干预计划,,128,,
,\x00\x22,VCC0034,String字符串（变长）,,OTHER_INFO_ONE,辅助检查计划-其他1,,10,,
,\x00\x23,VCC0035,String字符串（变长）,,GLYCOSYLATED_HEMOGLOBIN,糖化血红蛋白,,10,,
,\x00\x24,VCC0036,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x25,VCC0037,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x26,VCC0038,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x27,VCC0039,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x28,VCC0040,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x29,VCC0041,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x2A,VCC0042,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x2B,VCC0043,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x2C,VCC0044,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x2D,VCC0045,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x2E,VCC0046,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
