索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_DIABETES_INQUIRT_RECORD,表全名,JHPDL:JH_RHHV_DIABETES_INQUIRT_RECORD,,,,,,
,表说明,糖尿病询问记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCF,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCF0001,String字符串（变长）,,DIABETES_INQUIRT_RECORD_SN,主键,,64,,
,\x00\x02,VCF0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCF0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCF0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCF0005,String字符串（变长）,,SIMILARITY_ID,标识列,,16,,
,\x00\x06,VCF0006,Date日期型（yyyy-mm-dd）（10个字节）,,INQUIRE_DATE,询问日期,,,,
,\x00\x07,VCF0007,String字符串（变长）,,SC_INQUIRE_USER,询问人员编码,,32,,
,\x00\x08,VCF0008,String字符串（变长）,,ST_INQUIRE_USER,询问人员名称,,128,,
,\x00\x09,VCF0009,String字符串（变长）,,SC_INQUIRE_ORG,询问机构编码,,16,,
,\x00\x0A,VCF0010,String字符串（变长）,,ST_INQUIRE_ORG,询问机构名称,,16,,
,\x00\x0B,VCF0011,String字符串（变长）,,REFERRAL_REASON,转诊原因,,64,,
,\x00\x0C,VCF0012,String字符串（变长）,,SC_AGENCY_AND_DEPT,机构及科别编码,,64,,
,\x00\x0D,VCF0013,String字符串（变长）,,ST_AGENCY_AND_DEPT,机构及科别名称,,128,,
,\x00\x0E,VCF0014,String字符串（变长）,,APPRAISE_INFO,评估,,64,,
,\x00\x0F,VCF0015,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x10,VCF0016,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x11,VCF0017,String字符串（变长）,,SC_INQUIRE_WAY,询问方式编码,,1,,
,\x00\x12,VCF0018,String字符串（变长）,,ST_INQUIRE_WAY,询问方式名称,,32,,
,\x00\x13,VCF0019,String字符串（变长）,,FBS_INFO,空腹血糖,,32,,
,\x00\x14,VCF0020,String字符串（变长）,,PBS_INFO,餐后血糖,,32,,
,\x00\x15,VCF0021,String字符串（变长）,,DESCRIPTION_INFO,措施描述,,512,,
,\x00\x16,VCF0022,String字符串（变长）,,SC_IS_REFERRAL,是否已转诊,,1,,
,\x00\x17,VCF0023,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x18,VCF0024,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x19,VCF0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x1A,VCF0026,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x1B,VCF0027,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x1C,VCF0028,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x1D,VCF0029,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x1E,VCF0030,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x1F,VCF0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x20,VCF0032,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x21,VCF0033,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
