索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_FOLLOW_UP,表全名,JHPDL:JH_RHHV_FOLLOW_UP,,,,,,
,表说明,随访计划,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCL,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCL0001,String字符串（变长）,,FOLLOW_UP_SN,主键,,64,,
,\x00\x02,VCL0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCL0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCL0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCL0005,String字符串（变长）,,PLAN_ID,计划识别,,16,,
,\x00\x06,VCL0006,String字符串（变长）,,SC_PLAN_TYPE,计划类型编码,,2,,
,\x00\x07,VCL0007,String字符串（变长）,,ST_PLAN_TYPE,计划类型名称,,32,,
,\x00\x08,VCL0008,String字符串（变长）,,SC_GROUP,分组组别,,2,,
,\x00\x09,VCL0009,Date日期型（yyyy-mm-dd）（10个字节）,,FIXGROUP_DATE,转组日期,,,,
,\x00\x0A,VCL0010,Date日期型（yyyy-mm-dd）（10个字节）,,BEGIN_DATE,开始日期,,,,
,\x00\x0B,VCL0011,Date日期型（yyyy-mm-dd）（10个字节）,,END_DATE,结束日期,,,,
,\x00\x0C,VCL0012,Date日期型（yyyy-mm-dd）（10个字节）,,BEGIN_VISIT_DATE,提醒日期,,,,
,\x00\x0D,VCL0013,Date日期型（yyyy-mm-dd）（10个字节）,,PLAN_DATE,计划日期,,,,
,\x00\x0E,VCL0014,String字符串（变长）,,SC_PLAN_STATUS,计划状态编码,,1,,
,\x00\x0F,VCL0015,String字符串（变长）,,ST_PLAN_STATUS,计划状态名称,,32,,
,\x00\x10,VCL0016,Date日期型（yyyy-mm-dd）（10个字节）,,TRANSACT_DATE,处理日期,,,,
,\x00\x11,VCL0017,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x12,VCL0018,String字符串（变长）,,REMARK_INFO,备注,,512,,
,\x00\x13,VCL0019,String字符串（变长）,,ORDER_NO,序号,,32,,
,\x00\x14,VCL0020,String字符串（变长）,,EXTEND_ONE,扩展字段1,,32,,
,\x00\x15,VCL0021,String字符串（变长）,,EXTEND_TWO,扩展字段2,,64,,
,\x00\x16,VCL0022,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x17,VCL0023,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x18,VCL0024,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x19,VCL0025,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x1A,VCL0026,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x1B,VCL0027,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x1C,VCL0028,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x1D,VCL0029,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x1E,VCL0030,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x1F,VCL0031,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x20,VCL0032,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
