索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_HEALTH_MAIN,表全名,JHPDL:JH_RHHV_HEALTH_MAIN,,,,,,
,表说明,健康体检表-主表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAW,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAW0001,String字符串（变长）,,HEALTH_MAIN_SN,主键,,64,,
,\x00\x02,VAW0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAW0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAW0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAW0005,String字符串（变长）,,SERIAL_NUMBER,体检流水号,,32,,
,\x00\x06,VAW0006,Date日期型（yyyy-mm-dd）（10个字节）,,CHECKUP_DATE,体检日期,,,,
,\x00\x07,VAW0007,String字符串（变长）,,SC_DOCTOR,责任医生编码,,32,,
,\x00\x08,VAW0008,String字符串（变长）,,ST_DOCTOR,责任医生名称                  ,,64,,
,\x00\x09,VAW0009,String字符串（变长）,,SYMPTOM_DESC,症状,jhcv_symptom,128,,
,\x00\x0A,VAW0010,String字符串（变长）,,SYMPTOM_OTHER,症状其它,,32,,
,\x00\x0B,VAW0011,String字符串（变长）,,TEMPERATURE_INFO,体温(℃),,32,,
,\x00\x0C,VAW0012,String字符串（变长）,,PULSE_INFO,脉搏(次/分),,32,,
,\x00\x0D,VAW0013,String字符串（变长）,,RESPIRATORY_FREQUENCY,呼吸频率,,32,,
,\x00\x0E,VAW0014,String字符串（变长）,,BLOOD_PRESSURE_LEFT_ONE,血压（左侧）1,,32,,
,\x00\x0F,VAW0015,String字符串（变长）,,BLOOD_PRESSURE_LEFT_TWO,血压（左侧）2,,32,,
,\x00\x10,VAW0016,String字符串（变长）,,BLOOD_PRESSURE_RIGHT_ONE,血压（右侧）1,,32,,
,\x00\x11,VAW0017,String字符串（变长）,,BLOOD_PRESSURE_RIGHT_TWO,血压（右侧）2,,32,,
,\x00\x12,VAW0018,String字符串（变长）,,HEIGHT_INFO,身高(CM),,32,,
,\x00\x13,VAW0019,String字符串（变长）,,WEIGHT_INFO,体重(KG),,32,,
,\x00\x14,VAW0020,String字符串（变长）,,WAISTLINE_INFO,腰围,,32,,
,\x00\x15,VAW0021,String字符串（变长）,,BMI_INFO,BMI,,32,,
,\x00\x16,VAW0022,String字符串（变长）,,SC_HEALTH_STATUS,老年人健康状态自我评估编码,cv04_01_013,1,,
,\x00\x17,VAW0023,String字符串（变长）,,ST_HEALTH_STATUS,老年人健康状态自我评估名称,,64,,
,\x00\x18,VAW0024,String字符串（变长）,,SC_SELFCARE,老年人生活自理能力自我评估编码,cvo4_01_014,1,,
,\x00\x19,VAW0025,String字符串（变长）,,ST_SELFCARE,老年人生活自理能力自我评估名称,,64,,
,\x00\x1A,VAW0026,String字符串（变长）,,SC_ACKNOWLEDGE,老年人认知功能编码,jhcv_negative_positive,1,,
,\x00\x1B,VAW0027,String字符串（变长）,,ST_ACKNOWLEDGE,老年人认知功能名称,,64,,
,\x00\x1C,VAW0028,String字符串（变长）,,ACKNOWLEDGE_SCORE,老年人认知功能分数,,32,,
,\x00\x1D,VAW0029,String字符串（变长）,,SC_EMOTION,老年人情感状态编码,jhcv_negative_positive,1,,
,\x00\x1E,VAW0030,String字符串（变长）,,ST_EMOTION,老年人情感状态名称,,64,,
,\x00\x1F,VAW0031,String字符串（变长）,,EMOTION_SCORE,老年人情感状态分数,,32,,
,\x00\x20,VAW0032,String字符串（变长）,,SC_EXERCISE_FREQ,锻炼频率编码,jhcv_exercise_frequency,1,,
,\x00\x21,VAW0033,String字符串（变长）,,ST_EXERCISE_FREQ,锻炼频率名称,,64,,
,\x00\x22,VAW0034,String字符串（变长）,,EXERCISE_TIME,每次锻炼时间,,32,,
,\x00\x23,VAW0035,String字符串（变长）,,EXERCISE_PERSIST_TIME,坚持锻炼时间,,32,,
,\x00\x24,VAW0036,String字符串（变长）,,SC_TRAIN_MODE,锻炼方式编码,,32,,
,\x00\x25,VAW0037,String字符串（变长）,,ST_TRAIN_MODE,锻炼方式名称,,64,,
,\x00\x26,VAW0038,String字符串（变长）,,SC_EATE_HABIT,饮食习惯编码,cv03_00_107,32,,
,\x00\x27,VAW0039,String字符串（变长）,,ST_EATE_HABIT,饮食习惯名称,,64,,
,\x00\x28,VAW0040,String字符串（变长）,,SC_SMOKE,吸烟状况编码,jhcv_smoke_status,1,,
,\x00\x29,VAW0041,String字符串（变长）,,ST_SMOKE,吸烟状况名称,,64,,
,\x00\x2A,VAW0042,String字符串（变长）,,SMOKE_COUNT,日吸烟量,,32,,
,\x00\x2B,VAW0043,String字符串（变长）,,SMOKE_START_AGE,开始吸烟年龄,,32,,
,\x00\x2C,VAW0044,String字符串（变长）,,SMOKE_END_AGE,戒烟年龄,,32,,
,\x00\x2D,VAW0045,String字符串（变长）,,SC_DRINK_FREQ,饮酒频率编码,jhcv_drink_frequency,1,,
,\x00\x2E,VAW0046,String字符串（变长）,,ST_DRINK_FREQ,饮酒频率名称,,64,,
,\x00\x2F,VAW0047,String字符串（变长）,,DRINK_COUNT,日饮酒量,,32,,
,\x00\x30,VAW0048,String字符串（变长）,,SC_IS_DRINK_END,是否戒酒,jhcv_whether_drink,1,,
,\x00\x31,VAW0049,String字符串（变长）,,DRINK_START_AGE,开始饮酒年龄,,32,,
,\x00\x32,VAW0050,String字符串（变长）,,DRINK_END_AGE,戒酒年龄,,32,,
,\x00\x33,VAW0051,String字符串（变长）,,SC_IS_DRINK_DRUNK,近一年内是否曾醉酒,jhcv_whether,1,,
,\x00\x34,VAW0052,String字符串（变长）,,SC_DRINK_TYPE,饮酒种类编码,jhcv_drink_type,10,,
,\x00\x35,VAW0053,String字符串（变长）,,ST_DRINK_TYPE,饮酒种类名称,,64,,
,\x00\x36,VAW0054,String字符串（变长）,,SC_IS_DANGER_HISTORY,职业病危害因素接触史(是否),jhcv_yes_no,1,,
,\x00\x37,VAW0055,String字符串（变长）,,SC_DANGER_WORK_TYPE,工种编码,,10,,
,\x00\x38,VAW0056,String字符串（变长）,,ST_DANGER_WORK_TYPE,工种名称,,64,,
,\x00\x39,VAW0057,String字符串（变长）,,WORK_YEAR,从业时间,,32,,
,\x00\x3A,VAW0058,String字符串（变长）,,DUST_INFO,粉尘,,32,,
,\x00\x3B,VAW0059,String字符串（变长）,,SC_DUST_PROTECT,粉尘防护编码,jhcv_yes_no,1,,
,\x00\x3C,VAW0060,String字符串（变长）,,ST_DUST_PROTECT,粉尘防护名称,,64,,
,\x00\x3D,VAW0061,String字符串（变长）,,SC_DUST_PROTECT_OBJ,粉尘防护措施编码,,32,,
,\x00\x3E,VAW0062,String字符串（变长）,,ST_DUST_PROTECT_OBJ,粉尘防护措施名称,,64,,
,\x00\x3F,VAW0063,String字符串（变长）,,RADIATION_INFO,放射物质,,32,,
,\x00\x40,VAW0064,String字符串（变长）,,SC_RADIATION_PROTECT,放射物质防护编码,jhcv_yes_no,1,,
,\x00\x41,VAW0065,String字符串（变长）,,ST_RADIATION_PROTECT,放射物质防护名称,,64,,
,\x00\x42,VAW0066,String字符串（变长）,,SC_RADIATION_PROTECT_OBJ,放射物质防护措施编码,,32,,
,\x00\x43,VAW0067,String字符串（变长）,,ST_RADIATION_PROTECT_OBJ,放射物质防护措施名称,,64,,
,\x00\x44,VAW0068,String字符串（变长）,,PHYSICS_INFO,物理因素,,32,,
,\x00\x45,VAW0069,String字符串（变长）,,SC_PHYSICS_PROTECT,物理因素防护编码,jhcv_yes_no,1,,
,\x00\x46,VAW0070,String字符串（变长）,,ST_PHYSICS_PROTECT,物理因素防护名称,,64,,
,\x00\x47,VAW0071,String字符串（变长）,,SC_PHYSICS_PROTECT_OBJ,物理因素防护措施编码,,32,,
,\x00\x48,VAW0072,String字符串（变长）,,ST_PHYSICS_PROTECT_OBJ,物理因素防护措施名称,,64,,
,\x00\x49,VAW0073,String字符串（变长）,,CHEMISTRY_INFO,化学物质,,32,,
,\x00\x4A,VAW0074,String字符串（变长）,,SC_CHEMISTRY_PROTECT,化学物质防护编码,jhcv_yes_no,1,,
,\x00\x4B,VAW0075,String字符串（变长）,,ST_CHEMISTRY_PROTECT,化学物质防护名称,,64,,
,\x00\x4C,VAW0076,String字符串（变长）,,SC_CHEMISTRY_PROTECT_OBJ,化学物质防护措施编码,,32,,
,\x00\x4D,VAW0077,String字符串（变长）,,ST_CHEMISTRY_PROTECT_OBJ,化学物质防护措施名称,,64,,
,\x00\x4E,VAW0078,String字符串（变长）,,OTHER_DANGER,其他毒物,,32,,
,\x00\x4F,VAW0079,String字符串（变长）,,SC_OTHER_DANGER_PROTECT,其他毒物防护编码,jhcv_yes_no,1,,
,\x00\x50,VAW0080,String字符串（变长）,,ST_OTHER_DANGER_PROTECT,其他毒物防护名称,,64,,
,\x00\x51,VAW0081,String字符串（变长）,,SC_OTHER_DANGER_PROTECT_OBJ,其他毒物防护措施编码,,32,,
,\x00\x52,VAW0082,String字符串（变长）,,ST_OTHER_DANGER_PROTECT_OBJ,其他毒物防护措施名称,,64,,
,\x00\x53,VAW0083,String字符串（变长）,,SC_MOUTH,口腔-口唇编码,cv04_10_007,1,,
,\x00\x54,VAW0084,String字符串（变长）,,ST_MOUTH,口腔-口唇名称,,64,,
,\x00\x55,VAW0085,String字符串（变长）,,SC_TOOTH,口腔-齿列编码,cv04_10_010,1,,
,\x00\x56,VAW0086,String字符串（变长）,,ST_TOOTH,口腔-齿列名称,,64,,
,\x00\x57,VAW0087,String字符串（变长）,,SC_THROAT,口腔-咽部编码,jhcv_pharynx,1,,
,\x00\x58,VAW0088,String字符串（变长）,,ST_THROAT,口腔-咽部名称,,64,,
,\x00\x59,VAW0089,String字符串（变长）,,VISION_LEFT,视   力-左眼,,32,,
,\x00\x5A,VAW0090,String字符串（变长）,,VISION_RIGHT,视   力-右眼,,32,,
,\x00\x5B,VAW0091,String字符串（变长）,,VISION_CORRECT_LEFT,矫正视力：左眼,,32,,
,\x00\x5C,VAW0092,String字符串（变长）,,VISION_CORRECT_RIGHT,矫正视力：右眼,,32,,
,\x00\x5D,VAW0093,String字符串（变长）,,SC_HEARING,听   力编码,jhcv_ear,1,,
,\x00\x5E,VAW0094,String字符串（变长）,,ST_HEARING,听   力名称,,64,,
,\x00\x5F,VAW0095,String字符串（变长）,,SC_SPORTS,运动功能编码,jhcv_sport,1,,
,\x00\x60,VAW0096,String字符串（变长）,,ST_SPORTS,运动功能名称,,64,,
,\x00\x61,VAW0097,String字符串（变长）,,SC_EYE_GROUND,眼底编码,jhcv_is_error,1,,
,\x00\x62,VAW0098,String字符串（变长）,,ST_EYE_GROUND,眼底名称,,64,,
,\x00\x63,VAW0099,String字符串（变长）,,EYE_GROUND_REMARK,眼底备注,,32,,
,\x00\x64,VAW0100,String字符串（变长）,,SC_SKIN,皮     肤编码,jhcv_skin,1,,
,\x00\x65,VAW0101,String字符串（变长）,,ST_SKIN,皮     肤名称,,64,,
,\x00\x66,VAW0102,String字符串（变长）,,SKIN_OTHER,皮     肤其它,,128,,
,\x00\x67,VAW0103,String字符串（变长）,,SC_SCLERA,巩膜编码,cv04_10_006,1,,
,\x00\x68,VAW0104,String字符串（变长）,,ST_SCLERA,巩膜名称,,64,,
,\x00\x69,VAW0105,String字符串（变长）,,SCLERA_OTHER,巩膜其它,,128,,
,\x00\x6A,VAW0106,String字符串（变长）,,SC_LYMPH,淋巴结编码,cv04_10_011,1,,
,\x00\x6B,VAW0107,String字符串（变长）,,ST_LYMPH,淋巴结名称,,64,,
,\x00\x6C,VAW0108,String字符串（变长）,,LYMPH_OTHER,淋巴结其它,,128,,
,\x00\x6D,VAW0109,String字符串（变长）,,SC_LUNG_TUBBINESS,肺桶状胸编码,jhcv_whether,1,,
,\x00\x6E,VAW0110,String字符串（变长）,,ST_LUNG_TUBBINESS,肺桶状胸名称,,64,,
,\x00\x6F,VAW0111,String字符串（变长）,,SC_LUNG_BREATHE,肺呼吸音编码,jhcv_is_error,1,,
,\x00\x70,VAW0112,String字符串（变长）,,SD_LUNG_BREATHE,肺呼吸音名称,,64,,
,\x00\x71,VAW0113,String字符串（变长）,,LUNG_BREATHE_ABNORMAL,肺呼吸音异常,,128,,
,\x00\x72,VAW0114,String字符串（变长）,,SC_LUNG_RALE,肺罗音编码,jhcv_rale,1,,
,\x00\x73,VAW0115,String字符串（变长）,,ST_LUNG_RALE,肺罗音名称,,64,,
,\x00\x74,VAW0116,String字符串（变长）,,LUNGRALEOTHER,肺罗音其它,,128,,
,\x00\x75,VAW0117,String字符串（变长）,,HEARTRATE_INFO,心   脏心率,,32,,
