索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_HEALTH_MAIN_MEDI,表全名,JHPDL:JH_RHHV_HEALTH_MAIN_MEDI,,,,,,
,表说明,健康体检表-主要用药情况,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAX,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAX0001,String字符串（变长）,,HEALTH_MAIN_MEDI_SN,主键,,64,,
,\x00\x02,VAX0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAX0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAX0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAX0005,String字符串（变长）,,ORDER_NO,顺序号,,32,,
,\x00\x06,VAX0006,String字符串（变长）,,SERIAL_NUMBER,体检流水号,,32,,
,\x00\x07,VAX0007,String字符串（变长）,,MEDICINE_NAME,药物名称,,64,,
,\x00\x08,VAX0008,String字符串（变长）,,DRUG_USE,用法,,128,,
,\x00\x09,VAX0009,String字符串（变长）,,DRUG_DOSAGE,用量,,64,,
,\x00\x0A,VAX0010,String字符串（变长）,,DRUG_DATE,用药时间,,128,,
,\x00\x0B,VAX0011,String字符串（变长）,,DRUG_COMPLIANCE,服药依从性,,128,,
,\x00\x0C,VAX0012,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x0D,VAX0013,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x0E,VAX0014,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x0F,VAX0015,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x10,VAX0016,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x11,VAX0017,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x12,VAX0018,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x13,VAX0019,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x14,VAX0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x15,VAX0021,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x16,VAX0022,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
