索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_HEALTH_MAIN_TREAT,表全名,JHPDL:JH_RHHV_HEALTH_MAIN_TREAT,,,,,,
,表说明,健康体检表-住院治疗情况,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAY,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAY0001,String字符串（变长）,,HEALTH_MAIN_TREAT_SN,主键,,64,,
,\x00\x02,VAY0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAY0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAY0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAY0005,String字符串（变长）,,ORDER_NO,顺序号,,32,,
,\x00\x06,VAY0006,String字符串（变长）,,SERIAL_NUMBER,体检流水号,,32,,
,\x00\x07,VAY0007,String字符串（变长）,,SC_TYPE,类型编码,0住院治疗1家庭病床,1,,
,\x00\x08,VAY0008,String字符串（变长）,,ST_TYPE,类型名称,,64,,
,\x00\x09,VAY0009,Date日期型（yyyy-mm-dd）（10个字节）,,START_DATE,入院日期/建床日期,,,,
,\x00\x0A,VAY0010,Date日期型（yyyy-mm-dd）（10个字节）,,DISCHARGED_DATE,出院日期/撤床日期,,,,
,\x00\x0B,VAY0011,String字符串（变长）,,REASON_INFO,原 因,,256,,
,\x00\x0C,VAY0012,String字符串（变长）,,SC_ORG,医疗机构编码,,16,,
,\x00\x0D,VAY0013,String字符串（变长）,,ST_ORG,医疗机构名称,,128,,
,\x00\x0E,VAY0014,String字符串（变长）,,MEDICAL_RECORD_ID,病案号,,32,,
,\x00\x0F,VAY0015,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x10,VAY0016,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x11,VAY0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x12,VAY0018,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x13,VAY0019,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x14,VAY0020,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x15,VAY0021,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x16,VAY0022,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x17,VAY0023,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x18,VAY0024,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x19,VAY0025,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
