索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_HEALTH_VACC_HISTORY,表全名,JHPDL:JH_RHHV_HEALTH_VACC_HISTORY,,,,,,
,表说明,健康体检表-非免疫规划预防接种史,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBA0001,String字符串（变长）,,HEALTH_VACC_HISTORY_SN,主键,,64,,
,\x00\x02,VBA0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBA0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBA0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VBA0005,String字符串（变长）,,ORDER_NO,顺序号,,32,,
,\x00\x06,VBA0006,String字符串（变长）,,SERIAL_NUMBER,体检流水号,,32,,
,\x00\x07,VBA0007,String字符串（变长）,,NAME_INFO,名称,,64,,
,\x00\x08,VBA0008,Date日期型（yyyy-mm-dd）（10个字节）,,VACCINATE_DATE,接种日期,,,,
,\x00\x09,VBA0009,String字符串（变长）,,SC_INOCULATION_ORG,接种机构编码,,64,,
,\x00\x0A,VBA0010,String字符串（变长）,,ST_INOCULATION_ORG,接种机构名称,,64,,
,\x00\x0B,VBA0011,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x0C,VBA0012,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x0D,VBA0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x0E,VBA0014,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x0F,VBA0015,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x10,VBA0016,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x11,VBA0017,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x12,VBA0018,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x13,VBA0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x14,VBA0020,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x15,VBA0021,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
