索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_HYPERTENSION_BLOOD,表全名,JHPDL:JH_RHHV_HYPERTENSION_BLOOD,,,,,,
,表说明,高血压血糖记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCQ,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCQ0001,String字符串（变长）,,HYPERTENSION_BLOOD_SN,主键,,64,,
,\x00\x02,VCQ0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCQ0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCQ0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCQ0005,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x06,VCQ0006,Date日期型（yyyy-mm-dd）（10个字节）,,METER_DATE,测量日期,,,,
,\x00\x07,VCQ0007,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x08,VCQ0008,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x09,VCQ0009,String字符串（变长）,,FBS_INFO,空腹血糖,,32,,
,\x00\x0A,VCQ0010,String字符串（变长）,,PBS_INFO,餐后血糖,,32,,
,\x00\x0B,VCQ0011,String字符串（变长）,,HEART_RATE,心率(次/分）,,32,,
,\x00\x0C,VCQ0012,String字符串（变长）,,WEIGHT_INFO,体重(KG),,32,,
,\x00\x0D,VCQ0013,String字符串（变长）,,SYMPTOM_DESC,症状描述,,4000,,
,\x00\x0E,VCQ0014,String字符串（变长）,,HEALTH_GUIDANCE,健康指导,,4000,,
,\x00\x0F,VCQ0015,String字符串（变长）,,SC_IS_REFERRAL,是否已转诊,,2,,
,\x00\x10,VCQ0016,String字符串（变长）,,SC_AGENCY_AND_DEPT,机构及科别编码,,64,,
,\x00\x11,VCQ0017,String字符串（变长）,,ST_AGENCY_AND_DEPT,机构及科别名称,,128,,
,\x00\x12,VCQ0018,String字符串（变长）,,REFERRAL_REASON,转诊原因,,4000,,
,\x00\x13,VCQ0019,String字符串（变长）,,SC_MECHANISM_ORG,测量机构编码,,32,,
,\x00\x14,VCQ0020,String字符串（变长）,,ST_MECHANISM_ORG,测量机构名称,,128,,
,\x00\x15,VCQ0021,String字符串（变长）,,SC_MEASUREMENT,测量人员编码,,32,,
,\x00\x16,VCQ0022,String字符串（变长）,,ST_MEASUREMENT,测量人员名称,,64,,
,\x00\x17,VCQ0023,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x18,VCQ0024,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x19,VCQ0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x1A,VCQ0026,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x1B,VCQ0027,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x1C,VCQ0028,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x1D,VCQ0029,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x1E,VCQ0030,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x1F,VCQ0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x20,VCQ0032,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x21,VCQ0033,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
