索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_HYPERTENSION_FOLLOW_RECORD,表全名,JHPDL:JH_RHHV_HYPERTENSION_FOLLOW_RECORD,,,,,,
,表说明,高血压随访记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCU,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCU0001,String字符串（变长）,,HYPERTENSION_FOLLOW_RECORD_SN,主键,,64,,
,\x00\x02,VCU0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCU0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCU0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCU0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FOLLOW_DATE,随访日期,,,,
,\x00\x06,VCU0006,String字符串（变长）,,SC_FOLLOW_METHOD,随访方式编码,cv06_00_207,64,,
,\x00\x07,VCU0007,String字符串（变长）,,ST_FOLLOW_METHOD,随访方式名称,,64,,
,\x00\x08,VCU0008,String字符串（变长）,,SC_RETURN,转归编码,,64,,
,\x00\x09,VCU0009,String字符串（变长）,,ST_RETURN,转归名称,,64,,
,\x00\x0A,VCU0010,String字符串（变长）,,SC_RETURN_REASON,转归原因编码,,64,,
,\x00\x0B,VCU0011,String字符串（变长）,,ST_RETURN_REASON,转归原因名称,,64,,
,\x00\x0C,VCU0012,String字符串（变长）,,SYMPTOM_INFO,症状json,,512,,
,\x00\x0D,VCU0013,String字符串（变长）,,SYMPTOM_CONTENT,症状内容,jhcv_hypertension_symptom,64,,
,\x00\x0E,VCU0014,String字符串（变长）,,SYMPTOM_OTHER,症状其他,,512,,
,\x00\x0F,VCU0015,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压,,8,,
,\x00\x10,VCU0016,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压,,8,,
,\x00\x11,VCU0017,String字符串（变长）,,HEIGHT_INFO,身高,,8,,
,\x00\x12,VCU0018,String字符串（变长）,,CURRENT_WEIGHT,当前体重,,8,,
,\x00\x13,VCU0019,String字符串（变长）,,TARGET_WEIGHT,目标体重,,8,,
,\x00\x14,VCU0020,String字符串（变长）,,CURRENT_BMI,当前体质指数,,8,,
,\x00\x15,VCU0021,String字符串（变长）,,TARGET_BMI,目标体质指数,,8,,
,\x00\x16,VCU0022,String字符串（变长）,,WAISTLINE_INFO,腰围,,32,,
,\x00\x17,VCU0023,String字符串（变长）,,HEART_RATE,心率,,8,,
,\x00\x18,VCU0024,String字符串（变长）,,OTHER_INFO,其他,,255,,
,\x00\x19,VCU0025,String字符串（变长）,,DAY_CURRENT_SMOKE,日吸烟数量,,8,,
,\x00\x1A,VCU0026,String字符串（变长）,,DAY_TARGET_SMOKE,目标日吸烟数量,,8,,
,\x00\x1B,VCU0027,String字符串（变长）,,DAY_CURRENT_DRINK,日饮酒数量,,8,,
,\x00\x1C,VCU0028,String字符串（变长）,,DAY_TARGET_DRINK,日目标饮酒数量,,8,,
,\x00\x1D,VCU0029,String字符串（变长）,,CURRENT_ACT_TIME,当前运动次/周,,8,,
,\x00\x1E,VCU0030,String字符串（变长）,,CURRENT_ACT_LONG,当前时长分支/次,,8,,
,\x00\x1F,VCU0031,String字符串（变长）,,TARGET_ACT_TIME,目标运动次/周,,8,,
,\x00\x20,VCU0032,String字符串（变长）,,TARGET_ACT_LONG,目标运动时长分钟/次,,8,,
,\x00\x21,VCU0033,String字符串（变长）,,SC_SALT_INGESTION,摄盐情况编码,jhcv_salt_ingestion,64,,
,\x00\x22,VCU0034,String字符串（变长）,,ST_SALT_INGESTION,摄盐情况名称,,64,,
,\x00\x23,VCU0035,String字符串（变长）,,SC_TARGET_SALT_INGESTION,摄盐目标值编码,,64,,
,\x00\x24,VCU0036,String字符串（变长）,,ST_TARGET_SALT_INGESTION,摄盐目标值名称,,64,,
,\x00\x25,VCU0037,String字符串（变长）,,SC_PSYCHOLOGICAL_ADJUSTMENT,心理调整编码,jhcv_psy_adjust,64,,
,\x00\x26,VCU0038,String字符串（变长）,,ST_PSYCHOLOGICAL_ADJUSTMENT,心理调整名称,,64,,
,\x00\x27,VCU0039,String字符串（变长）,,SC_COMPLY_DOCTOR,遵医行为编码,jhcv_compliance_medical,64,,
,\x00\x28,VCU0040,String字符串（变长）,,ST_COMPLY_DOCTOR,遵医行为名称,,64,,
,\x00\x29,VCU0041,String字符串（变长）,,INVESTIGATIONS_INFO,辅助检查,,255,,
,\x00\x2A,VCU0042,String字符串（变长）,,SC_MEDICATION_ADHERENCE,服药依从性编码,jhcv_medication_adherence,64,,
,\x00\x2B,VCU0043,String字符串（变长）,,ST_MEDICATION_ADHERENCE,服药依从性名称,,64,,
,\x00\x2C,VCU0044,String字符串（变长）,,SC_UNLAW_MEDICATION_REASON,不规律服药原因编码,,64,,
,\x00\x2D,VCU0045,String字符串（变长）,,ST_UNLAW_MEDICATION_REASON,不规律服药原因名称,,64,,
,\x00\x2E,VCU0046,String字符串（变长）,,UNLAW_MEDICATION_REASON_CONTENT,不规律服药其他内容,,255,,
,\x00\x2F,VCU0047,String字符串（变长）,,SC_DRUG_ADVERSE,药物不良反应编码,jhcv_yes_no,64,,
,\x00\x30,VCU0048,String字符串（变长）,,ST_DRUG_ADVERSE,药物不良反应名称,,64,,
,\x00\x31,VCU0049,String字符串（变长）,,DRUG_ADVERSE_CONTENT,不良反应内容,,255,,
,\x00\x32,VCU0050,String字符串（变长）,,FOLLOW_TYPE,随访分类,cv05_10_012,64,,
,\x00\x33,VCU0051,String字符串（变长）,,HEALTH_PRESCRIPTION,健康处方建议json,,512,,
,\x00\x34,VCU0052,String字符串（变长）,,REFERRAL_REASON,转诊原因,,255,,
,\x00\x35,VCU0053,String字符串（变长）,,REFERRAL_ORG_DEPT,转诊机构以及科别,,255,,
,\x00\x36,VCU0054,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REFERRAL_DATE,转诊回访日期,,,,
,\x00\x37,VCU0055,String字符串（变长）,,TARGET_ORGAN_COMPLICATIONS,转诊回访靶器官损害合并症,,255,,
,\x00\x38,VCU0056,String字符串（变长）,,REFERRAL_OTHER_DISEASE,转诊回访其他疾病,,64,,
,\x00\x39,VCU0057,String字符串（变长）,,NOT_REFERRAL_REASON,转诊回访未转诊原因,,255,,
,\x00\x3A,VCU0058,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,NEXT_FOLLOW_DATE,下次随访日期,,,,
,\x00\x3B,VCU0059,String字符串（变长）,,SC_FOLLOW_DOCTOR,随访医生编码,,64,,
,\x00\x3C,VCU0060,String字符串（变长）,,ST_FOLLOW_DOCTOR,随访医生名称,,128,,
,\x00\x3D,VCU0061,String字符串（变长）,,PLAN_STATUS,计划状态,,64,,
,\x00\x3E,VCU0062,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x3F,VCU0063,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x40,VCU0064,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x41,VCU0065,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x42,VCU0066,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x43,VCU0067,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x44,VCU0068,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x45,VCU0069,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,255,,
,\x00\x46,VCU0070,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x47,VCU0071,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x48,VCU0072,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
