索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_HYPERTENSION_HEALTH_MANAGE,表全名,JHPDL:JH_RHHV_HYPERTENSION_HEALTH_MANAGE,,,,,,
,表说明,高血压健康管理,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCO,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCO0001,String字符串（变长）,,HYPERTENSION_HEALTH_MANAGE_SN,主键,,64,,
,\x00\x02,VCO0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCO0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCO0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCO0005,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x06,VCO0006,String字符串（变长）,,CARD_NO,卡号,,64,,
,\x00\x07,VCO0007,String字符串（变长）,,NAME_INFO,姓名,,64,,
,\x00\x08,VCO0008,String字符串（变长）,,SC_SEX,性别编码,,1,,
,\x00\x09,VCO0009,String字符串（变长）,,ST_SEX,性别名称,,32,,
,\x00\x0A,VCO0010,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTHDAY_INFO,出生日期,,,,
,\x00\x0B,VCO0011,String字符串（变长）,,ID_CARD,身份证号,,32,,
,\x00\x0C,VCO0012,String字符串（变长）,,MOBILE_NUMBER,手机号码,,32,,
,\x00\x0D,VCO0013,String字符串（变长）,,PHONE_NO,联系电话,,32,,
,\x00\x0E,VCO0014,String字符串（变长）,,SC_REGION,所属区域编码,,25,,
,\x00\x0F,VCO0015,String字符串（变长）,,ST_REGION,所属区域名称,,128,,
,\x00\x10,VCO0016,String字符串（变长）,,SC_DOCTOR,医生编码,,32,,
,\x00\x11,VCO0017,String字符串（变长）,,ST_DOCTOR,医生名称,,32,,
,\x00\x12,VCO0018,String字符串（变长）,,SC_ORG,机构编码,,16,,
,\x00\x13,VCO0019,String字符串（变长）,,ST_ORG,机构名称,,128,,
,\x00\x14,VCO0020,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x15,VCO0021,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x16,VCO0022,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x17,VCO0023,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x18,VCO0024,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x19,VCO0025,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x1A,VCO0026,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x1B,VCO0027,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x1C,VCO0028,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x1D,VCO0029,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x1E,VCO0030,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
