索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_HYPERTENSION_TRANS,表全名,JHPDL:JH_RHHV_HYPERTENSION_TRANS,,,,,,
,表说明,高血压定转级信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCP0001,String字符串（变长）,,HYPERTENSION_TRANS_SN,主键,,64,,
,\x00\x02,VCP0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCP0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCP0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCP0005,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x06,VCP0006,String字符串（变长）,,SC_FIX_TYPE,定转级类型编码,,1,,
,\x00\x07,VCP0007,String字符串（变长）,,ST_FIX_TYPE,定转级类型名称,,32,,
,\x00\x08,VCP0008,Date日期型（yyyy-mm-dd）（10个字节）,,FIX_DATE,定转级日期,,,,
,\x00\x09,VCP0009,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x0A,VCP0010,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x0B,VCP0011,String字符串（变长）,,RISKINESS_INFO,危险因素,,64,,
,\x00\x0C,VCP0012,String字符串（变长）,,TARGET_HURT,靶器官损害,,64,,
,\x00\x0D,VCP0013,String字符串（变长）,,COMPLICATION_INFO,并存临床疾患,,64,,
,\x00\x0E,VCP0014,String字符串（变长）,,PRIMARY_HYPERTEN,原发性高血压,,16,,
,\x00\x0F,VCP0015,String字符串（变长）,,INITIAL_ASSESS,初始评估,,16,,
,\x00\x10,VCP0016,String字符串（变长）,,BLOOD_SUGAR,血糖,,16,,
,\x00\x11,VCP0017,String字符串（变长）,,URINARY_ALBUMIN,尿微量白蛋白,,16,,
,\x00\x12,VCP0018,String字符串（变长）,,BLOOD_FAT,血脂,,16,,
,\x00\x13,VCP0019,String字符串（变长）,,RENAL_INFO,肾功能,,16,,
,\x00\x14,VCP0020,String字符串（变长）,,ROUTINE_URINE,尿常规,,16,,
,\x00\x15,VCP0021,String字符串（变长）,,EEG_INFO,心电图,,16,,
,\x00\x16,VCP0022,String字符串（变长）,,EYE_GROUND,眼底,,16,,
,\x00\x17,VCP0023,String字符串（变长）,,OTHER_INFO,其它,,64,,
,\x00\x18,VCP0024,String字符串（变长）,,MEDICINE_FREQUENCY,次数,,32,,
,\x00\x19,VCP0025,String字符串（变长）,,NON_DRUG,非药物干预计划,,32,,
,\x00\x1A,VCP0026,String字符串（变长）,,OTHERNON_DRUG,其他非药物干预,,64,,
,\x00\x1B,VCP0027,String字符串（变长）,,OTHER_HEALTH_ONE,其他健康指导1,,64,,
,\x00\x1C,VCP0028,String字符串（变长）,,OTHER_HEALTH_TWO,其他健康指导2,,64,,
,\x00\x1D,VCP0029,String字符串（变长）,,OTHER_HEALTH_THREE,其他健康指导3,,64,,
,\x00\x1E,VCP0030,Date日期型（yyyy-mm-dd）（10个字节）,,ASSESS_TIME,评估时间,,,,
,\x00\x1F,VCP0031,String字符串（变长）,,RISK_LEVEL,危险分层,,32,,
,\x00\x20,VCP0032,String字符串（变长）,,CONTROL_RESULT,控制情况,,32,,
,\x00\x21,VCP0033,String字符串（变长）,,DIABETES_GROUP,管理分级,,32,,
,\x00\x22,VCP0034,String字符串（变长）,,OLD_GROUP,原定分级,,32,,
,\x00\x23,VCP0035,String字符串（变长）,,DOCTOR_SIGN,医生签名,,32,,
,\x00\x24,VCP0036,String字符串（变长）,,SC_FIX_ORG,转组机构编码,,16,,
,\x00\x25,VCP0037,String字符串（变长）,,ST_FIX_ORG,转组机构名称,,128,,
,\x00\x26,VCP0038,String字符串（变长）,,SC_ORG,管辖机构编码,,16,,
,\x00\x27,VCP0039,String字符串（变长）,,ST_ORG,管辖机构名称,,128,,
,\x00\x28,VCP0040,String字符串（变长）,,TC_INFO,TC(MMOL/L),,32,,
,\x00\x29,VCP0041,String字符串（变长）,,LDL_INFO,LDL(MMOL/L),,32,,
,\x00\x2A,VCP0042,String字符串（变长）,,HDL_INFO,HDL(MMOL/L),,32,,
,\x00\x2B,VCP0043,String字符串（变长）,,WAISTLINE_INFO,腰围(CM),,32,,
,\x00\x2C,VCP0044,String字符串（变长）,,HSCRP_INFO,高敏C反应蛋白(MG/L),,32,,
,\x00\x2D,VCP0045,String字符串（变长）,,CRP_INFO,C反应蛋白(MG/L),,32,,
,\x00\x2E,VCP0046,String字符串（变长）,,PHYSICAL_ACTIVITY,体力活动,,16,,
,\x00\x2F,VCP0047,String字符串（变长）,,FAMILY_HISTORY_CARDIOVASCULAR,心血管家族史,,16,,
,\x00\x30,VCP0048,String字符串（变长）,,LEFT_VENTRICULARHYPERTROPHY,左心室肥厚,,16,,
,\x00\x31,VCP0049,String字符串（变长）,,DETECTION_SOURCE_ONE,检出途径1,,128,,
,\x00\x32,VCP0050,String字符串（变长）,,ARTERYWALLTHICKENING_INFO,动脉壁增厚,,16,,
,\x00\x33,VCP0051,String字符串（变长）,,DETECTION_SOURCE_TWO,检出途径2,,128,,
,\x00\x34,VCP0052,String字符串（变长）,,SERUMCREATININE_INFO,血清肌酐(ΜMOL/L),,32,,
,\x00\x35,VCP0053,String字符串（变长）,,MICROAL_BUMINURIA,微量尿白蛋白(MG/DL),,32,,
,\x00\x36,VCP0054,String字符串（变长）,,DIABETES_INFO,糖尿病,,16,,
,\x00\x37,VCP0055,String字符串（变长）,,FBS_INFO,空腹血糖值(MMOL/L),,32,,
,\x00\x38,VCP0056,String字符串（变长）,,BMI_INFO,BMI,,32,,
,\x00\x39,VCP0057,String字符串（变长）,,BUMINURIA_SERUM,白蛋白/肌酐比(MG/G),,32,,
,\x00\x3A,VCP0058,String字符串（变长）,,HEIGHT_INFO,身高(CM),,32,,
,\x00\x3B,VCP0059,String字符串（变长）,,WEIGHT_INFO,体重(KG),,32,,
,\x00\x3C,VCP0060,String字符串（变长）,,SC_HYPERTENSION_LEVEL,血压级别编码,,1,,
,\x00\x3D,VCP0061,String字符串（变长）,,ST_HYPERTENSION_LEVEL,血压级别名称,,32,,
,\x00\x3E,VCP0062,String字符串（变长）,,SERUM_INFO,尿肌酐（MG/DL）,,32,,
,\x00\x3F,VCP0063,String字符串（变长）,,ISPRECARDIS_INFO,早发心血管病家族史,,16,,
,\x00\x40,VCP0064,String字符串（变长）,,TOLERANCE_INFO,糖耐量减低,,16,,
,\x00\x41,VCP0065,String字符串（变长）,,FBS_FLAG,空腹血糖异常,,1,,
,\x00\x42,VCP0066,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x43,VCP0067,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x44,VCP0068,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x45,VCP0069,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x46,VCP0070,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x47,VCP0071,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x48,VCP0072,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x49,VCP0073,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x4A,VCP0074,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x4B,VCP0075,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x4C,VCP0076,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
