索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_INFECTION_CARD,表全名,JHPDL:JH_RHHV_INFECTION_CARD,,,,,,
,表说明,传染病报告,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAO,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAO0001,String字符串（变长）,,INFECTION_CARD_SN,主键,,64,,
,\x00\x02,VAO0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAO0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAO0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAO0005,String字符串（变长）,,RPT_ID,报告卡编号,,32,,
,\x00\x06,VAO0006,String字符串（变长）,,PATIENT_NAME,患者姓名,,128,,
,\x00\x07,VAO0007,String字符串（变长）,,PARENT_PARENT_NAME,患者家长姓名,,128,,
,\x00\x08,VAO0008,String字符串（变长）,,SC_SEX,性别编码,,1,,
,\x00\x09,VAO0009,String字符串（变长）,,ST_SEX,性别名称,,64,,
,\x00\x0A,VAO0010,String字符串（变长）,,PHONE_NO,联系电话,,70,,
,\x00\x0B,VAO0011,String字符串（变长）,,ID_CARD,身份证号,,64,,
,\x00\x0C,VAO0012,String字符串（变长）,,WORK_ORG_NAME,患者工作单位,,512,,
,\x00\x0D,VAO0013,String字符串（变长）,,DETAIL_ADDRESS,现住址详细地址,,512,,
,\x00\x0E,VAO0014,String字符串（变长）,,SC_OCCUPATION,职业编码,,4,,
,\x00\x0F,VAO0015,String字符串（变长）,,ST_OCCUPATION,职业名称,,64,,
,\x00\x10,VAO0016,Date日期型（yyyy-mm-dd）（10个字节）,,START_DATE,发病日期,,,,
,\x00\x11,VAO0017,Date日期型（yyyy-mm-dd）（10个字节）,,DIAGNOSE_DATE,诊断日期,,,,
,\x00\x12,VAO0018,Date日期型（yyyy-mm-dd）（10个字节）,,DEAD_DATE,死亡日期,,,,
,\x00\x13,VAO0019,String字符串（变长）,,SC_DISEASE_TYPE,病例分类编码,,1,,
,\x00\x14,VAO0020,String字符串（变长）,,ST_DISEASE_TYPE,病例分类名称,,64,,
,\x00\x15,VAO0021,String字符串（变长）,,SC_DISEASE,疾病编码,,4,,
,\x00\x16,VAO0022,String字符串（变长）,,ST_DISEASE,疾病名称,,64,,
,\x00\x17,VAO0023,String字符串（变长）,,REMARK_INFO,备注,,512,,
,\x00\x18,VAO0024,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTHDAY_INFO,出生日期,,,,
,\x00\x19,VAO0025,String字符串（变长）,,SC_RPT_ORG,报告单位编码,,32,,
,\x00\x1A,VAO0026,String字符串（变长）,,ST_RPT_ORG,报告单位名称,,128,,
,\x00\x1B,VAO0027,String字符串（变长）,,OTHER_DISEASE,具体的其他疾病信息,,32,,
,\x00\x1C,VAO0028,Date日期型（yyyy-mm-dd）（10个字节）,,SEND_DATE,推送入库时间,,,,
,\x00\x1D,VAO0029,Date日期型（yyyy-mm-dd）（10个字节）,,USE_DATE,抽取时间,,,,
,\x00\x1E,VAO0030,String字符串（变长）,,SC_OPT_TYPE,数据操作类型编码,,40,,
,\x00\x1F,VAO0031,String字符串（变长）,,ST_OPT_TYPE,数据操作类型名称,,64,,
,\x00\x20,VAO0032,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x21,VAO0033,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x22,VAO0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x23,VAO0035,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x24,VAO0036,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x25,VAO0037,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x26,VAO0038,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x27,VAO0039,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x28,VAO0040,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x29,VAO0041,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x2A,VAO0042,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
