索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_INFECTION_SCREEN,表全名,JHPDL:JH_RHHV_INFECTION_SCREEN,,,,,,
,表说明,传染病筛选,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAP0001,String字符串（变长）,,INFECTION_SCREEN_SN,主键,,32,,
,\x00\x02,VAP0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAP0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAP0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAP0005,String字符串（变长）,,PER_ADDERSS,常住地址,,512,,
,\x00\x06,VAP0006,String字符串（变长）,,NAME_INFO,姓名,,32,,
,\x00\x07,VAP0007,String字符串（变长）,,ID_CARD,身份证号,,18,,
,\x00\x08,VAP0008,String字符串（变长）,,PHONE_NO,本人电话,,32,,
,\x00\x09,VAP0009,String字符串（变长）,,HEPATITIS_B_PAST_HISTORY,乙肝既往史,,10,,
,\x00\x0A,VAP0010,String字符串（变长）,,AIDSPAST_HISTORY,艾滋病既往史,,10,,
,\x00\x0B,VAP0011,Date日期型（yyyy-mm-dd）（10个字节）,,DIAGNOSIS_DATE,确诊时间,,,,
,\x00\x0C,VAP0012,String字符串（变长）,,SURGICAL_HISTORY,手术史,,128,,
,\x00\x0D,VAP0013,String字符串（变长）,,BLOOD_HISTORY,血制品使用史,,10,,
,\x00\x0E,VAP0014,String字符串（变长）,,SURGICAL_NAME,手术名称,,128,,
,\x00\x0F,VAP0015,Date日期型（yyyy-mm-dd）（10个字节）,,SURGICAL_DATE,手术时间,,,,
,\x00\x10,VAP0016,String字符串（变长）,,BLOOD_NAME,血制品名称,,128,,
,\x00\x11,VAP0017,Date日期型（yyyy-mm-dd）（10个字节）,,USE_DATE,使用时间,,,,
,\x00\x12,VAP0018,String字符串（变长）,,SURGICAL_NAME_ONE,手术名称1,,128,,
,\x00\x13,VAP0019,Date日期型（yyyy-mm-dd）（10个字节）,,SURGICAL_DATE_ONE,手术时间1,,,,
,\x00\x14,VAP0020,String字符串（变长）,,BLOOD_NAME_ONE,血制品名称1,,128,,
,\x00\x15,VAP0021,Date日期型（yyyy-mm-dd）（10个字节）,,USE_DATE_ONE,使用时间1,,,,
,\x00\x16,VAP0022,String字符串（变长）,,HEPATITIS_B_FAMILY,乙肝家族史,,10,,
,\x00\x17,VAP0023,String字符串（变长）,,HEPATITIS_B_FAMILY_PERSON,乙肝家族史是何人,,10,,
,\x00\x18,VAP0024,String字符串（变长）,,HEPATITIS_B_VAC_HISTORY,乙肝疫苗接种史,,10,,
,\x00\x19,VAP0025,String字符串（变长）,,MANY_VAC,接种几针,,10,,
,\x00\x1A,VAP0026,String字符串（变长）,,HEPATITIS_B_ANTIGEN,乙肝表面抗原,,10,,
,\x00\x1B,VAP0027,String字符串（变长）,,HEPATITIS_B_ANTIBODY,乙肝表面抗体,,10,,
,\x00\x1C,VAP0028,String字符串（变长）,,HIV_FAMILY,艾滋病家族史,,10,,
,\x00\x1D,VAP0029,String字符串（变长）,,HIV_FAMILY_PERSON,艾滋病家族史是何人,,10,,
,\x00\x1E,VAP0030,String字符串（变长）,,SC_ISSYMPTOMS_INFO,您是否有以下症状,,70,,
,\x00\x1F,VAP0031,String字符串（变长）,,HIV_ANTIBODY,HIV抗体,,10,,
,\x00\x20,VAP0032,String字符串（变长）,,HIV_ANTIBODY_DIAG,HIV抗体确诊,,10,,
,\x00\x21,VAP0033,Date日期型（yyyy-mm-dd）（10个字节）,,CHECKUP_DATE,体检日期,,,,
,\x00\x22,VAP0034,String字符串（变长）,,BAR_CODE_NO,条形码编号,,32,,
,\x00\x23,VAP0035,String字符串（变长）,,SURGICAL_NAME_TWO,手术名称2,,128,,
,\x00\x24,VAP0036,Date日期型（yyyy-mm-dd）（10个字节）,,SURGICAL_DATE_TWO,手术时间2,,,,
,\x00\x25,VAP0037,String字符串（变长）,,BLOOD_NAME_TWO,血制品名称2,,128,,
,\x00\x26,VAP0038,Date日期型（yyyy-mm-dd）（10个字节）,,USE_DATE_TWO,使用时间2,,,,
,\x00\x27,VAP0039,String字符串（变长）,,SC_CHECK_PERSON,检查人编码,,32,,
,\x00\x28,VAP0040,String字符串（变长）,,ST_CHECK_PERSON,检查人名称,,32,,
,\x00\x29,VAP0041,String字符串（变长）,,SC_REGIST_ORG,建档机构编码,,16,,
,\x00\x2A,VAP0042,String字符串（变长）,,ST_REGIST_ORG,建档机构名称,,128,,
,\x00\x2B,VAP0043,String字符串（变长）,,SC_REGIST_DOCTOR,建档人员编码,,32,,
,\x00\x2C,VAP0044,String字符串（变长）,,ST_REGIST_DOCTOR,建档人员名称,,64,,
,\x00\x2D,VAP0045,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x2E,VAP0046,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x2F,VAP0047,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x30,VAP0048,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x31,VAP0049,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x32,VAP0050,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x33,VAP0051,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x34,VAP0052,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x35,VAP0053,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x36,VAP0054,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x37,VAP0055,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
