索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_INSP_OLD_HEALTH,表全名,JHPDL:JH_RHHV_INSP_OLD_HEALTH,,,,,,
,表说明,迎检老年人健康管理,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCK,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCK0001,String字符串（变长）,,INSP_OLD_HEALTH_SN,主键,,64,,
,\x00\x02,VCK0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCK0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCK0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCK0005,String字符串（变长）,,CARD_NO,卡号,,64,,
,\x00\x06,VCK0006,String字符串（变长）,,NAME_INFO,姓名,,64,,
,\x00\x07,VCK0007,String字符串（变长）,,SC_SEX,性别编码,,1,,
,\x00\x08,VCK0008,String字符串（变长）,,ST_SEX,性别名称,,32,,
,\x00\x09,VCK0009,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTHDAY_INFO,出生日期,,,,
,\x00\x0A,VCK0010,String字符串（变长）,,ID_CARD,身份证号,,32,,
,\x00\x0B,VCK0011,String字符串（变长）,,PHONE_NO,联系电话,,32,,
,\x00\x0C,VCK0012,String字符串（变长）,,CONTACT_PHONE,联系人电话,,32,,
,\x00\x0D,VCK0013,String字符串（变长）,,SC_SIGN_FLAG,标志编码,,1,,
,\x00\x0E,VCK0014,String字符串（变长）,,ST_SIGN_FLAG,标志名称,,32,,
,\x00\x0F,VCK0015,String字符串（变长）,,SC_REGION,所属区域编码,,25,,
,\x00\x10,VCK0016,String字符串（变长）,,ST_REGION,所属区域名称,,128,,
,\x00\x11,VCK0017,String字符串（变长）,,SC_MASTER,主标识编码,,1,,
,\x00\x12,VCK0018,String字符串（变长）,,ST_MASTER,主标识名称,,32,,
,\x00\x13,VCK0019,String字符串（变长）,,SC_DOCTOR,医生编码,,32,,
,\x00\x14,VCK0020,String字符串（变长）,,ST_DOCTOR,医生名称,,32,,
,\x00\x15,VCK0021,String字符串（变长）,,SC_ORG,机构编码,,16,,
,\x00\x16,VCK0022,String字符串（变长）,,ST_ORG,机构名称,,128,,
,\x00\x17,VCK0023,String字符串（变长）,,ADDRESS_INFO,地址,,128,,
,\x00\x18,VCK0024,String字符串（变长）,,SC_IS_DIABETES,是否糖尿病,,1,,
,\x00\x19,VCK0025,String字符串（变长）,,SC_IS_HYPERTENSION,是否高血压,,1,,
,\x00\x1A,VCK0026,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x1B,VCK0027,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x1C,VCK0028,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x1D,VCK0029,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x1E,VCK0030,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x1F,VCK0031,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x20,VCK0032,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x21,VCK0033,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x22,VCK0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x23,VCK0035,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x24,VCK0036,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
