索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_LIFESTYLE,表全名,JHPDL:JH_RHHV_LIFESTYLE,,,,,,
,表说明,个人习惯,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAK,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAK0001,String字符串（变长）,,LIFESTYLE_SN,主键,,64,,
,\x00\x02,VAK0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAK0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAK0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAK0005,String字符串（变长）,,SC_IS_SMOKE,是否吸烟,,1,,
,\x00\x06,VAK0006,String字符串（变长）,,SC_SMOKE_FREQ,吸烟频率编码,,1,,
,\x00\x07,VAK0007,String字符串（变长）,,ST_SMOKE_FREQ,吸烟频率名称,,64,,
,\x00\x08,VAK0008,String字符串（变长）,,SC_SMOKE_TYPE,吸烟种类编码,,1,,
,\x00\x09,VAK0009,String字符串（变长）,,ST_SMOKE_TYPE,吸烟种类名称,,64,,
,\x00\x0A,VAK0010,String字符串（变长）,,SMOKE_COUNT,每天支数,,32,,
,\x00\x0B,VAK0011,String字符串（变长）,,SMOKE_START_AGE,开始吸烟年龄,,32,,
,\x00\x0C,VAK0012,String字符串（变长）,,SMOKE_ADDI_AGE,每天吸烟年龄,,32,,
,\x00\x0D,VAK0013,String字符串（变长）,,SMOKE_YEARS,吸烟年数,,32,,
,\x00\x0E,VAK0014,String字符串（变长）,,SMOKE_END_AGE,戒烟开始年龄,,32,,
,\x00\x0F,VAK0015,String字符串（变长）,,SC_DRYOUT_METHOD,戒烟方法编码,,2,,
,\x00\x10,VAK0016,String字符串（变长）,,ST_DRYOUT_METHOD,戒烟方法名称,,64,,
,\x00\x11,VAK0017,String字符串（变长）,,SC_SECOND_SMOKE,接触二手烟编码,,1,,
,\x00\x12,VAK0018,String字符串（变长）,,ST_SECOND_SMOKE,接触二手烟名称,,64,,
,\x00\x13,VAK0019,String字符串（变长）,,SECOND_SMOKE_DAYS,每周接触天数,,32,,
,\x00\x14,VAK0020,String字符串（变长）,,SC_SECOND_SMOKE_SITE,被动吸烟场所编码,,1,,
,\x00\x15,VAK0021,String字符串（变长）,,ST_SECOND_SMOKE_SITE,被动吸烟场所名称,,128,,
,\x00\x16,VAK0022,String字符串（变长）,,SC_IS_DRINK_FLAG,是否饮酒,,1,,
,\x00\x17,VAK0023,String字符串（变长）,,SC_DRINK_FREQ,饮酒频率编码,,1,,
,\x00\x18,VAK0024,String字符串（变长）,,ST_DRINK_FREQ,饮酒频率名称,,64,,
,\x00\x19,VAK0025,String字符串（变长）,,SC_DRINK_TYPE,饮酒种类编码,,64,,
,\x00\x1A,VAK0026,String字符串（变长）,,ST_DRINK_TYPE,饮酒种类名称,,64,,
,\x00\x1B,VAK0027,String字符串（变长）,,DRINK_COUNT,日饮酒量(两),,32,,
,\x00\x1C,VAK0028,String字符串（变长）,,DRINK_START_AGE,开始饮酒年龄,,32,,
,\x00\x1D,VAK0029,String字符串（变长）,,DRINK_END_AGE,戒酒开始年龄,,32,,
,\x00\x1E,VAK0030,String字符串（变长）,,EATE_HABIT,饮食习惯,,64,,
,\x00\x1F,VAK0031,String字符串（变长）,,SC_FOOD_TYPE_ONE,饮食种类1编码,,1,,
,\x00\x20,VAK0032,String字符串（变长）,,ST_FOOD_TYPE_ONE,饮食种类1名称,,64,,
,\x00\x21,VAK0033,String字符串（变长）,,FOOD_FREQ_ONE,频率1(次/天),,32,,
,\x00\x22,VAK0034,String字符串（变长）,,SC_FOOD_TYPE_TWO,饮食种类2编码,,1,,
,\x00\x23,VAK0035,String字符串（变长）,,ST_FOOD_TYPE_TWO,饮食种类2名称,,64,,
,\x00\x24,VAK0036,String字符串（变长）,,FOOD_FREQ_TWO,频率2(次/天),,32,,
,\x00\x25,VAK0037,String字符串（变长）,,SC_FOOD_TYPE_THREE,饮食种类3编码,,1,,
,\x00\x26,VAK0038,String字符串（变长）,,ST_FOOD_TYPE_THREE,饮食种类3名称,,64,,
,\x00\x27,VAK0039,String字符串（变长）,,FOOD_FREQ_THREE,频率3(次/天),,32,,
,\x00\x28,VAK0040,String字符串（变长）,,SC_FOOD_TYPE_FOUR,饮食种类4编码,,1,,
,\x00\x29,VAK0041,String字符串（变长）,,ST_FOOD_TYPE_FOUR,饮食种类4名称,,64,,
,\x00\x2A,VAK0042,String字符串（变长）,,FOOD_FREQ_FOUR,频率4(次/天),,32,,
,\x00\x2B,VAK0043,String字符串（变长）,,SALT_COUNT,一斤盐吃几天,,32,,
,\x00\x2C,VAK0044,String字符串（变长）,,OIL_COUNT,每月用油(斤),,32,,
,\x00\x2D,VAK0045,String字符串（变长）,,EATE_COUNT,每日吃饭顿数,,32,,
,\x00\x2E,VAK0046,String字符串（变长）,,SC_TRAIN_FREQ,锻炼情况编码,,1,,
,\x00\x2F,VAK0047,String字符串（变长）,,ST_TRAIN_FREQ,锻炼情况名称,,64,,
,\x00\x30,VAK0048,String字符串（变长）,,EATE_NUM,饮食量,,10,,
,\x00\x31,VAK0049,String字符串（变长）,,TRAIN_MINUTE,每次时长(分),,32,,
,\x00\x32,VAK0050,String字符串（变长）,,TRAIN_YEAR,坚持时间(年),,32,,
,\x00\x33,VAK0051,String字符串（变长）,,SC_TRAIN_MODE,锻炼方式编码,,2,,
,\x00\x34,VAK0052,String字符串（变长）,,ST_TRAIN_MODE,锻炼方式名称,,64,,
,\x00\x35,VAK0053,String字符串（变长）,,SC_TRAIN_SITE,锻炼场所编码,,1,,
,\x00\x36,VAK0054,String字符串（变长）,,ST_TRAIN_SITE,锻炼场所名称,,64,,
,\x00\x37,VAK0055,String字符串（变长）,,SC_WORK_TYPE,身体活动类别编码,,1,,
,\x00\x38,VAK0056,String字符串（变长）,,ST_WORK_TYPE,身体活动类别名称,,64,,
,\x00\x39,VAK0057,String字符串（变长）,,SC_WORK_INTEN,身体活动强度编码,,1,,
,\x00\x3A,VAK0058,String字符串（变长）,,ST_WORK_INTEN,身体活动强度名称,,64,,
,\x00\x3B,VAK0059,String字符串（变长）,,SC_WORK_FREQ,身体活动频率编码,,1,,
,\x00\x3C,VAK0060,String字符串（变长）,,ST_WORK_FREQ,身体活动频率名称,,64,,
,\x00\x3D,VAK0061,String字符串（变长）,,SIT_HOUR,静态时长(时),,32,,
,\x00\x3E,VAK0062,String字符串（变长）,,SIESTA_HOUR,午睡时长(时),,32,,
,\x00\x3F,VAK0063,String字符串（变长）,,SACK_TIME,睡眠时长(时),,32,,
,\x00\x40,VAK0064,String字符串（变长）,,SC_PSY_CHOSIS,精神情况编码,,2,,
,\x00\x41,VAK0065,String字符串（变长）,,ST_PSY_CHOSIS,精神情况名称,,64,,
,\x00\x42,VAK0066,String字符串（变长）,,SC_CONFIDE,亲友倾述编码,,2,,
,\x00\x43,VAK0067,String字符串（变长）,,ST_CONFIDE,亲友倾述名称,,64,,
,\x00\x44,VAK0068,String字符串（变长）,,SC_PRESSURE,工作生活压力编码,,2,,
,\x00\x45,VAK0069,String字符串（变长）,,ST_PRESSURE,工作生活压力名称,,64,,
,\x00\x46,VAK0070,String字符串（变长）,,SC_TEMPERAMENT,气质类型编码,,1,,
,\x00\x47,VAK0071,String字符串（变长）,,ST_TEMPERAMENT,气质类型名称,,64,,
,\x00\x48,VAK0072,String字符串（变长）,,SC_DOINGS,社交活动编码,,1,,
,\x00\x49,VAK0073,String字符串（变长）,,ST_DOINGS,社交活动名称,,64,,
,\x00\x4A,VAK0074,String字符串（变长）,,REMARK_INFO,备注,,512,,
,\x00\x4B,VAK0075,String字符串（变长）,,PSYCHOLOGY_INFO,心理因素,,5,,
,\x00\x4C,VAK0076,Date日期型（yyyy-mm-dd）（10个字节）,,SMOKE_START_DATE,开始吸烟时间,,,,
,\x00\x4D,VAK0077,Date日期型（yyyy-mm-dd）（10个字节）,,SMOKE_STOP_DATE,戒断时间,,,,
,\x00\x4E,VAK0078,String字符串（变长）,,SMOK_ENUM,吸烟量,,10,,
,\x00\x4F,VAK0079,String字符串（变长）,,DRINK_NUM,饮酒量,,10,,
,\x00\x50,VAK0080,Date日期型（yyyy-mm-dd）（10个字节）,,DRINK_STOP_DATE,戒酒日期,,,,
,\x00\x51,VAK0081,String字符串（变长）,,PRACTICE_INFO,体育锻炼情况,,2,,
,\x00\x52,VAK0082,String字符串（变长）,,PRACTICE_TIME,每次锻炼时间,,1,,
,\x00\x53,VAK0083,String字符串（变长）,,SC_PRACTICE_TYPE,锻炼类型编码,,2,,
,\x00\x54,VAK0084,String字符串（变长）,,ST_PRACTICE_TYPE,锻炼类型名称,,64,,
,\x00\x55,VAK0085,String字符串（变长）,,SC_SLEEP,睡眠情况编码,,5,,
,\x00\x56,VAK0086,String字符串（变长）,,ST_SLEEP,睡眠情况名称,,64,,
,\x00\x57,VAK0087,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x58,VAK0088,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x59,VAK0089,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x5A,VAK0090,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x5B,VAK0091,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x5C,VAK0092,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x5D,VAK0093,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x5E,VAK0094,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x5F,VAK0095,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x60,VAK0096,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x61,VAK0097,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
