索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_NEW_BORN_VISIT_BASE,表全名,JHPDL:JH_RHHV_NEW_BORN_VISIT_BASE,,,,,,
,表说明,新生儿访视基本信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBW,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBW0001,String字符串（变长）,,NEW_BORN_VISIT_BASE_SN,主键,,64,,
,\x00\x02,VBW0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBW0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBW0004,String字符串（变长）,,ARCHIVE_ID,孕妇档案号,,32,,
,\x00\x05,VBW0005,String字符串（变长）,,BABY_ID,新生儿编号,,16,,
,\x00\x06,VBW0006,String字符串（变长）,,BABY_NAME,婴儿姓名,,32,,
,\x00\x07,VBW0007,String字符串（变长）,,BABY_NO,婴儿编号,,32,,
,\x00\x08,VBW0008,String字符串（变长）,,SC_BABY_SEX,婴儿性别编码,生理性别代码【GB/T2261.1】,1,,
,\x00\x09,VBW0009,String字符串（变长）,,ST_BABY_SEX,婴儿性别名称,,1,,
,\x00\x0A,VBW0010,Date日期型（yyyy-mm-dd）（10个字节）,,BABY_BIRTH,婴儿出生日期,,,,
,\x00\x0B,VBW0011,String字符串（变长）,,CERD_NO,婴儿出生证号,,10,,
,\x00\x0C,VBW0012,String字符串（变长）,,BABY_ADDRESS,婴儿家庭住址,,128,,
,\x00\x0D,VBW0013,String字符串（变长）,,FATHER_NAME,父亲姓名,,32,,
,\x00\x0E,VBW0014,String字符串（变长）,,FATHER_JOB,父亲职业,,32,,
,\x00\x0F,VBW0015,String字符串（变长）,,FATHER_PHONE,父亲联系电话,,32,,
,\x00\x10,VBW0016,Date日期型（yyyy-mm-dd）（10个字节）,,FATHER_BIRTH,父亲出生日期,,,,
,\x00\x11,VBW0017,String字符串（变长）,,FOTHER_CARD_NO,父亲身份证号,,18,,
,\x00\x12,VBW0018,String字符串（变长）,,MOTHER_NAME,母亲姓名,,32,,
,\x00\x13,VBW0019,String字符串（变长）,,MOTHER_JOB,母亲职业,,32,,
,\x00\x14,VBW0020,String字符串（变长）,,MOTHER_PHONE,母亲联系电话,,32,,
,\x00\x15,VBW0021,Date日期型（yyyy-mm-dd）（10个字节）,,MOTHER_BIRTH,母亲出生日期,,,,
,\x00\x16,VBW0022,String字符串（变长）,,MOTHER_CARD_NO,母亲身份证号,,18,,
,\x00\x17,VBW0023,String字符串（变长）,,GESTATION_INFO,出生孕周,,32,,
,\x00\x18,VBW0024,String字符串（变长）,,SC_PREGNANCY_DISEASE,妊娠期疾病编码,母亲妊娠期患病情况 【jhcv_pregnancy_ill】,2,,
,\x00\x19,VBW0025,String字符串（变长）,,ST_ST_PREGNANCY_DISEASE,妊娠期疾病名称,,32,,
,\x00\x1A,VBW0026,String字符串（变长）,,PREGNANCY_DISEASE_DESC,妊娠期疾病描述,,32,,
,\x00\x1B,VBW0027,String字符串（变长）,,OTHER_DISEASE,其它疾病,,32,,
,\x00\x1C,VBW0028,String字符串（变长）,,SC_DELIVERY_ORG,助产机构编码,,10,,
,\x00\x1D,VBW0029,String字符串（变长）,,ST_DELIVERY_ORG,助产机构名称,,128,,
,\x00\x1E,VBW0030,String字符串（变长）,,SC_BIRTH_DISTRICT,出生情况编码,分娩方式代码 【CV02.10.003】,32,,
,\x00\x1F,VBW0031,String字符串（变长）,,ST_BIRTH_DISTRICT,出生情况名称,分娩方式代码 【CV02.10.003】,32,,
,\x00\x20,VBW0032,String字符串（变长）,,OTHER_STATUS,其它出生情况,,32,,
,\x00\x21,VBW0033,String字符串（变长）,,ASPHYXIA_INFO,新生儿窒息,有无 【jhcv_yes_no】,2,,
,\x00\x22,VBW0034,String字符串（变长）,,SC_IS_MALFORMATION,是否有畸型,有无 【jhcv_yes_no】,2,,
,\x00\x23,VBW0035,String字符串（变长）,,MALFORMATION_DESCRIPTION,畸形描述,,32,,
,\x00\x24,VBW0036,String字符串（变长）,,HEARING_TEST,新生儿听力筛查,新生儿听力筛査 【jhcv_hear_screen】,2,,
,\x00\x25,VBW0037,String字符串（变长）,,SC_DISEASE,新生儿疾病筛查编码,新生儿疾病筛查项目代码 【cv04.50.008】,2,,
,\x00\x26,VBW0038,String字符串（变长）,,ST_DISEASE,新生儿疾病筛查名称,,64,,
,\x00\x27,VBW0039,String字符串（变长）,,DISEASE_DESC,新生儿疾病筛查描述,,64,,
,\x00\x28,VBW0040,String字符串（变长）,,WEIGHT_INFO,新生儿体重(KG),,32,,
,\x00\x29,VBW0041,String字符串（变长）,,LENGTH_INFO,新生儿身长(CM),,32,,
,\x00\x2A,VBW0042,String字符串（变长）,,SC_FEED_WAY,喂养方式编码,喂养方式【jhcv_feed_way】,2,,
,\x00\x2B,VBW0043,String字符串（变长）,,ST_FEED_WAY,喂养方式名称,,32,,
,\x00\x2C,VBW0044,String字符串（变长）,,FATHER_PERSON_BASE_ID,父亲个人基本档案号,,32,,
,\x00\x2D,VBW0045,String字符串（变长）,,MOTHER_PERSON_BASE_ID,母亲个人基本档案号,,32,,
,\x00\x2E,VBW0046,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x2F,VBW0047,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x30,VBW0048,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x31,VBW0049,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x32,VBW0050,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x33,VBW0051,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x34,VBW0052,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x35,VBW0053,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x36,VBW0054,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x37,VBW0055,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x38,VBW0056,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
