索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_NEW_BORN_VISIT_RECORD,表全名,JHPDL:JH_RHHV_NEW_BORN_VISIT_RECORD,,,,,,
,表说明,新生儿访视记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBX,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBX0001,String字符串（变长）,,NEW_BORN_VISIT_RECORD_SN,主键,,64,,
,\x00\x02,VBX0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBX0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBX0004,String字符串（变长）,,ARCHIVE_ID,孕妇档案号,,32,,
,\x00\x05,VBX0005,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x06,VBX0006,String字符串（变长）,,BABY_ID,新生儿编号,,16,,
,\x00\x07,VBX0007,Date日期型（yyyy-mm-dd）（10个字节）,,VISIT_DATE,访视日期,,,,
,\x00\x08,VBX0008,String字符串（变长）,,SC_VISIT_TYPE,访视类型编码,访视类型【jhcv_visit_type】,1,,
,\x00\x09,VBX0009,String字符串（变长）,,ST_VISIT_TYPE,访视类型名称,,32,,
,\x00\x0A,VBX0010,String字符串（变长）,,SC_VISIT_DOCTOR,随访医生编码,,32,,
,\x00\x0B,VBX0011,String字符串（变长）,,ST_VISIT_DOCTOR,随访医生名称,,32,,
,\x00\x0C,VBX0012,String字符串（变长）,,SC_VISIT_ORG,随访单位编码,,16,,
,\x00\x0D,VBX0013,String字符串（变长）,,ST_VISIT_ORG,随访单位名称,,128,,
,\x00\x0E,VBX0014,String字符串（变长）,,MONTH_AGE,月龄,,32,,
,\x00\x0F,VBX0015,String字符串（变长）,,SUCK_INFO,吃奶量,,16,,
,\x00\x10,VBX0016,String字符串（变长）,,SUCK_NUM,吃奶次数,,16,,
,\x00\x11,VBX0017,String字符串（变长）,,SC_IS_VOMIT,有无呕吐,有无 【jhcv_yes_no】,1,,
,\x00\x12,VBX0018,String字符串（变长）,,TEMPERATURE_INFO,体温(℃),,32,,
,\x00\x13,VBX0019,String字符串（变长）,,WEIGHT_INFO,体重(KG),,32,,
,\x00\x14,VBX0020,String字符串（变长）,,WEIGHT_STANDARD,体重标准,取值范围为（上、中、下）,16,,
,\x00\x15,VBX0021,String字符串（变长）,,LENGTH_INFO,身长(CM),,32,,
,\x00\x16,VBX0022,String字符串（变长）,,LENGTH_STANDARD,身长标准,取值范围为（上、中、下）,16,,
,\x00\x17,VBX0023,String字符串（变长）,,HEAD_LENGTH,头围(CM),,32,,
,\x00\x18,VBX0024,String字符串（变长）,,OUTDOOR_ACTIVE,户外活动(小时/日),,16,,
,\x00\x19,VBX0025,String字符串（变长）,,VITAMIND,服用维生素D(IU/日),,16,,
,\x00\x1A,VBX0026,String字符串（变长）,,SC_DISEASE,患病情况编码,两次随访间患病情况【jhcv_followup_disease】,1,,
,\x00\x1B,VBX0027,String字符串（变长）,,ST_DISEASE,患病情况名称,,32,,
,\x00\x1C,VBX0028,String字符串（变长）,,DISEASE_DESC,患病情况描述,,32,,
,\x00\x1D,VBX0029,String字符串（变长）,,SC_MEDICINE,中医药健康管理编码,中医药健康管理服务【jhcv_medicine_manage】,1,,
,\x00\x1E,VBX0030,String字符串（变长）,,ST_MEDICINE,中医药健康管理名称,,32,,
,\x00\x1F,VBX0031,String字符串（变长）,,MEDICINE_DESC,中医药健康管理描述,,32,,
,\x00\x20,VBX0032,String字符串（变长）,,RESPIRATORY_FREQUENCY,呼吸频率(次/分),,32,,
,\x00\x21,VBX0033,String字符串（变长）,,PULSE_INFO,脉搏(次/分),,32,,
,\x00\x22,VBX0034,String字符串（变长）,,SC_FACE,面色编码,儿童面色代码【cv04.10.008】,1,,
,\x00\x23,VBX0035,String字符串（变长）,,ST_FACE,面色名称,,32,,
,\x00\x24,VBX0036,String字符串（变长）,,FACE_OTHER,其它面色,,32,,
,\x00\x25,VBX0037,String字符串（变长）,,BREGMA_TRANSVERSE,前囟长度1(CM),,32,,
,\x00\x26,VBX0038,String字符串（变长）,,BREGMA_LONGITUDINAL,前囟长度2(CM),,32,,
,\x00\x27,VBX0039,String字符串（变长）,,SC_BREGMA_STATUS,前囟状态编码,前囟张力代码【cv04.10.018】,1,,
,\x00\x28,VBX0040,String字符串（变长）,,ST_BREGMA_STATUS,前囟状态名称,,32,,
,\x00\x29,VBX0041,String字符串（变长）,,SC_BREGMA_CLOSE_STATUS,前囟闭合状态编码,前囟闭合标志【jhcv_fontanel】,1,,
,\x00\x2A,VBX0042,String字符串（变长）,,ST_BREGMA_CLOSE_STATUS,前囟闭合状态名称,,32,,
,\x00\x2B,VBX0043,String字符串（变长）,,OTHER_STATUS,其它前囟状态,,32,,
,\x00\x2C,VBX0044,String字符串（变长）,,SC_EYE,眼编码,是否异常【jhcv_abnormal】,2,,
,\x00\x2D,VBX0045,String字符串（变长）,,ST_EYE,眼名称,,32,,
,\x00\x2E,VBX0046,String字符串（变长）,,SC_EAR,耳编码,是否异常【jhcv_abnormal】,1,,
,\x00\x2F,VBX0047,String字符串（变长）,,ST_EAR,耳名称,,32,,
,\x00\x30,VBX0048,String字符串（变长）,,EAR_ABNORMAL,耳其他异常,,32,,
,\x00\x31,VBX0049,String字符串（变长）,,SC_NOSE,鼻编码,是否异常【jhcv_abnormal】,1,,
,\x00\x32,VBX0050,String字符串（变长）,,ST_NOSE,鼻名称,,32,,
,\x00\x33,VBX0051,String字符串（变长）,,NOSE_ABNORMAL,鼻异常,,32,,
,\x00\x34,VBX0052,String字符串（变长）,,SC_MOUSE,口腔编码,是否异常【jhcv_abnormal】,2,,
,\x00\x35,VBX0053,String字符串（变长）,,ST_MOUSE,口腔名称,,32,,
,\x00\x36,VBX0054,String字符串（变长）,,MOUSE_ABNORMAL,口腔其他异常,,32,,
,\x00\x37,VBX0055,String字符串（变长）,,SC_THRUSH,鹅口疮编码,,1,,
,\x00\x38,VBX0056,String字符串（变长）,,ST_THRUSH,鹅口疮名称,,32,,
,\x00\x39,VBX0057,String字符串（变长）,,SC_HEART_LUNG,心肺编码,是否异常【jhcv_abnormal】,1,,
,\x00\x3A,VBX0058,String字符串（变长）,,ST_HEART_LUNG,心肺名称,,32,,
,\x00\x3B,VBX0059,String字符串（变长）,,HEART_LUNG_ABNORMAL,心肺异常,,32,,
,\x00\x3C,VBX0060,String字符串（变长）,,SC_CHEST,胸部编码,是否异常【jhcv_abnormal】,1,,
,\x00\x3D,VBX0061,String字符串（变长）,,ST_CHEST,胸部名称,,32,,
,\x00\x3E,VBX0062,String字符串（变长）,,CHEST_ABNORMAL,胸部异常,,32,,
,\x00\x3F,VBX0063,String字符串（变长）,,SC_ABDOMINAL,腹部编码,是否异常【jhcv_abnormal】,1,,
,\x00\x40,VBX0064,String字符串（变长）,,ST_ABDOMINAL,腹部名称,,32,,
,\x00\x41,VBX0065,String字符串（变长）,,ABDOMINAL_ABNORMAL,腹部其他异常,,32,,
,\x00\x42,VBX0066,String字符串（变长）,,SC_LIMBS,四肢活动编码,是否异常【jhcv_abnormal】,1,,
,\x00\x43,VBX0067,String字符串（变长）,,ST_LIMBS,四肢活动名称,,32,,
,\x00\x44,VBX0068,String字符串（变长）,,LIMBS_ABNORMAL,四肢活动异常,,32,,
,\x00\x45,VBX0069,String字符串（变长）,,SC_NECK,颈部包块编码,有无 【jhcv_yes_no】,1,,
,\x00\x46,VBX0070,String字符串（变长）,,ST_NECK,颈部包块名称,,32,,
,\x00\x47,VBX0071,String字符串（变长）,,NECK_ESC,颈部包块描述,,32,,
,\x00\x48,VBX0072,String字符串（变长）,,SC_SKIN_INFO,皮肤编码,是否异常【jhcv_abnormal】,2,,
,\x00\x49,VBX0073,String字符串（变长）,,ST_SKIN_INFO,皮肤名称,,32,,
,\x00\x4A,VBX0074,String字符串（变长）,,SKIN_ABNORMAL,皮肤其它症状,,32,,
,\x00\x4B,VBX0075,String字符串（变长）,,SC_ANAL,肛门编码,是否异常【jhcv_abnormal】,1,,
,\x00\x4C,VBX0076,String字符串（变长）,,ST_ANAL,肛门名称,,32,,
,\x00\x4D,VBX0077,String字符串（变长）,,ANAL_ABNORMAL,肛门异常,,32,,
,\x00\x4E,VBX0078,String字符串（变长）,,SC_GENITALIA,外生殖器编码,是否异常【jhcv_abnormal】,1,,
,\x00\x4F,VBX0079,String字符串（变长）,,ST_GENITALIA,外生殖器名称,,32,,
,\x00\x50,VBX0080,String字符串（变长）,,GENITALIA_ABNORMAL,外生殖器异常,,32,,
,\x00\x51,VBX0081,String字符串（变长）,,SC_SPINE,脊柱编码,是否异常【jhcv_abnormal】,1,,
,\x00\x52,VBX0082,String字符串（变长）,,ST_SPINE,脊柱名称,,32,,
,\x00\x53,VBX0083,String字符串（变长）,,SPINE_ABNORMAL,脊柱异常,,32,,
,\x00\x54,VBX0084,String字符串（变长）,,SC_UMBILICAL,脐带编码,脐带检查结果代码【cv04.10.019】,1,,
,\x00\x55,VBX0085,String字符串（变长）,,ST_UMBILICAL,脐带名称,,32,,
,\x00\x56,VBX0086,String字符串（变长）,,UMBILICAL_OTHER,脐带其它,,32,,
,\x00\x57,VBX0087,String字符串（变长）,,DEFECATE_TIMES,大便次数,,32,,
,\x00\x58,VBX0088,String字符串（变长）,,STOOL_COLOR,大便颜色,,32,,
,\x00\x59,VBX0089,String字符串（变长）,,SC_STOOL,大便性状编码,儿童大便性状代码【cv04.01.012】,2,,
,\x00\x5A,VBX0090,String字符串（变长）,,ST_STOOL,大便性状名称,,32,,
,\x00\x5B,VBX0091,String字符串（变长）,,STOOL_DESC,大便性状描述,,32,,
,\x00\x5C,VBX0092,String字符串（变长）,,SC_ICTERUS,黄疸部位编码,黄疸部位代码【cv04.10.009】,2,,
,\x00\x5D,VBX0093,String字符串（变长）,,ST_ICTERUS,黄疸部位名称,,64,,
,\x00\x5E,VBX0094,String字符串（变长）,,SC_IS_REFERRAL,转诊,有无 【jhcv_yes_no】,1,,
,\x00\x5F,VBX0095,String字符串（变长）,,REFERRAL_REASON,转诊原因,,64,,
,\x00\x60,VBX0096,String字符串（变长）,,SC_REFERRAL_ORG,转诊机构及科室编码,,64,,
,\x00\x61,VBX0097,String字符串（变长）,,ST_REFERRAL_ORG,转诊机构及科室名称,,128,,
,\x00\x62,VBX0098,String字符串（变长）,,SC_GUIDE,指导编码,儿童健康指导类别代码【cv06.00.217】,1,,
,\x00\x63,VBX0099,String字符串（变长）,,ST_GUIDE,指导名称,,32,,
,\x00\x64,VBX0100,String字符串（变长）,,GUIDE_DESC,指导描述,,32,,
,\x00\x65,VBX0101,Date日期型（yyyy-mm-dd）（10个字节）,,NEXT_VISIT_DATE,下次随访日期,,,,
,\x00\x66,VBX0102,String字符串（变长）,,NEXT_VISIT_ADDRESS,下次随访地点,,128,,
,\x00\x67,VBX0103,String字符串（变长）,,DAYS_INFO,/天数,,32,,
,\x00\x68,VBX0104,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x69,VBX0105,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x6A,VBX0106,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x6B,VBX0107,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x6C,VBX0108,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x6D,VBX0109,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x6E,VBX0110,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x6F,VBX0111,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x70,VBX0112,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x71,VBX0113,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x72,VBX0114,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
