索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_OLD_ARCHIVES,表全名,JHPDL:JH_RHHV_OLD_ARCHIVES,,,,,,
,表说明,老年人档案,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCH,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCH0001,String字符串（变长）,,OLD_ARCHIVES_SN,主键,,64,,
,\x00\x02,VCH0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCH0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCH0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCH0005,String字符串（变长）,,SC_DOCTOR,责任医生编码,,32,,
,\x00\x06,VCH0006,String字符串（变长）,,ST_DOCTOR,责任医生姓名,,32,,
,\x00\x07,VCH0007,String字符串（变长）,,SC_ORG,管辖机构编码,,16,,
,\x00\x08,VCH0008,String字符串（变长）,,ST_ORG,管辖机构名称,,32,,
,\x00\x09,VCH0009,String字符串（变长）,,LIFE_SUPPORT,生活赡养,,32,,
,\x00\x0A,VCH0010,String字符串（变长）,,ABILITY_GRADE,能力评定,,32,,
,\x00\x0B,VCH0011,String字符串（变长）,,NURSE_STATUS,护理情况,,32,,
,\x00\x0C,VCH0012,String字符串（变长）,,SIGHT_STATUS,视力情况,,32,,
,\x00\x0D,VCH0013,String字符串（变长）,,TOOTH_STATUS,牙齿状况,,32,,
,\x00\x0E,VCH0014,String字符串（变长）,,SC_SYMPTOMS,健康检查症状编码,,2,,
,\x00\x0F,VCH0015,String字符串（变长）,,ST_SYMPTOMS,健康检查症状名称,,32,,
,\x00\x10,VCH0016,String字符串（变长）,,SC_DRUG_COMPLIANCE,服药依从性编码,,1,,
,\x00\x11,VCH0017,String字符串（变长）,,ST_DRUG_COMPLIANCE,服药依从性名称,,32,,
,\x00\x12,VCH0018,String字符串（变长）,,SC_PSYCHOLOGY_STATUS,心理状态编码,,1,,
,\x00\x13,VCH0019,String字符串（变长）,,ST_PSYCHOLOGY_STATUS,心理状态名称,,32,,
,\x00\x14,VCH0020,String字符串（变长）,,SC_OBEY_DOCTOR,遵医行为编码,,1,,
,\x00\x15,VCH0021,String字符串（变长）,,ST_OBEY_DOCTOR,遵医行为名称,,32,,
,\x00\x16,VCH0022,String字符串（变长）,,SC_WORK_EXPOSE_FLAG,职业暴露标志编码,,1,,
,\x00\x17,VCH0023,String字符串（变长）,,ST_WORK_EXPOSE_FLAG,职业暴露标志名称,,32,,
,\x00\x18,VCH0024,String字符串（变长）,,WORK_EXPOSE_RISK,职业暴露因素,,64,,
,\x00\x19,VCH0025,String字符串（变长）,,SC_WORK_EXPOSE_RISK_TYPE,职业暴露种类编码,,1,,
,\x00\x1A,VCH0026,String字符串（变长）,,ST_WORK_EXPOSE_RISK_TYPE,职业暴露种类名称,,32,,
,\x00\x1B,VCH0027,String字符串（变长）,,WORK_NAME,有危害职业,,128,,
,\x00\x1C,VCH0028,String字符串（变长）,,WORK_YEAR,从事年限,,8,,
,\x00\x1D,VCH0029,String字符串（变长）,,SC_IS_PROTECT,是否防护,,1,,
,\x00\x1E,VCH0030,String字符串（变长）,,SC_FAMILY_SMOKE_FLAG,成员吸烟标志编码,,1,,
,\x00\x1F,VCH0031,String字符串（变长）,,ST_FAMILY_SMOKE_FLAG,成员吸烟标志名称,,8,,
,\x00\x20,VCH0032,String字符串（变长）,,SC_FAMILY_COLEWARM_FLAG,煤火取暖标志编码,,1,,
,\x00\x21,VCH0033,String字符串（变长）,,ST_FAMILY_COLEWARM_FLAG,煤火取暖标志名称,,8,,
,\x00\x22,VCH0034,String字符串（变长）,,FAMILY_COLEWARM_YEAR,取暖年限,,8,,
,\x00\x23,VCH0035,String字符串（变长）,,SC_CURRENT_ADDRESS,常住地址类别编码,,1,,
,\x00\x24,VCH0036,String字符串（变长）,,ST_CURRENT_ADDRESS,常住地址类别名称,,128,,
,\x00\x25,VCH0037,String字符串（变长）,,CURRENT_PROBLEM,主要健康问题,,64,,
,\x00\x26,VCH0038,String字符串（变长）,,SC_REGIST_DOCTOR,建档人员编码,,32,,
,\x00\x27,VCH0039,String字符串（变长）,,ST_REGIST_DOCTOR,建档人员名称,,32,,
,\x00\x28,VCH0040,Date日期型（yyyy-mm-dd）（10个字节）,,REGIST_CREATE_DATE,建档日期,,,,
,\x00\x29,VCH0041,String字符串（变长）,,SC_REGIST_ORG,建档机构编码,,16,,
,\x00\x2A,VCH0042,String字符串（变长）,,ST_REGIST_ORG,建档机构名称,,128,,
,\x00\x2B,VCH0043,String字符串（变长）,,SC_STATUS_INFO,档案状态编码,,1,,
,\x00\x2C,VCH0044,String字符串（变长）,,ST_STATUS_INFO,档案状态名称,,32,,
,\x00\x2D,VCH0045,String字符串（变长）,,SC_PLAN_TYPE,随访计划类型编码,,2,,
,\x00\x2E,VCH0046,String字符串（变长）,,ST_PLAN_TYPE,随访计划类型名称,,32,,
,\x00\x2F,VCH0047,String字符串（变长）,,SC_CANCELLATION_USER,注销人编码,,32,,
,\x00\x30,VCH0048,String字符串（变长）,,ST_CANCELLATION_USER,注销人名称,,32,,
,\x00\x31,VCH0049,Date日期型（yyyy-mm-dd）（10个字节）,,CANCELLATION_DATE,注销日期,,,,
,\x00\x32,VCH0050,String字符串（变长）,,CANCELLATION_UNIT,注销单位,,16,,
,\x00\x33,VCH0051,String字符串（变长）,,CANCELLATION_REASON,注销原因,,128,,
,\x00\x34,VCH0052,String字符串（变长）,,DEAD_REASON,死亡原因,,128,,
,\x00\x35,VCH0053,String字符串（变长）,,DINING_INFO,进餐,,10,,
,\x00\x36,VCH0054,String字符串（变长）,,FRESH_INFO,梳洗,,10,,
,\x00\x37,VCH0055,String字符串（变长）,,DRESSING_INFO,穿衣,,10,,
,\x00\x38,VCH0056,String字符串（变长）,,TOILET_INFO,如厕,,10,,
,\x00\x39,VCH0057,String字符串（变长）,,ACTIVITY_INFO,活动,,10,,
,\x00\x3A,VCH0058,String字符串（变长）,,APPRAISE_INFO,评估,,10,,
,\x00\x3B,VCH0059,String字符串（变长）,,EVALUATE_SCORE,评估总分,,32,,
,\x00\x3C,VCH0060,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x3D,VCH0061,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x3E,VCH0062,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x3F,VCH0063,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x40,VCH0064,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x41,VCH0065,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x42,VCH0066,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x43,VCH0067,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x44,VCH0068,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x45,VCH0069,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x46,VCH0070,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
