索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_OLD_FOLLOW_RECORD,表全名,JHPDL:JH_RHHV_OLD_FOLLOW_RECORD,,,,,,
,表说明,老年人随访记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCJ,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCJ0001,String字符串（变长）,,OLD_FOLLOW_RECORD_SN,主键,,64,,
,\x00\x02,VCJ0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCJ0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCJ0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VCJ0005,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x06,VCJ0006,String字符串（变长）,,SC_VISIT_WAY,随访方式编码,,1,,
,\x00\x07,VCJ0007,String字符串（变长）,,ST_VISIT_WAY,随访方式名称,,32,,
,\x00\x08,VCJ0008,String字符串（变长）,,SC_VESTING,转归编码,,1,,
,\x00\x09,VCJ0009,String字符串（变长）,,ST_VESTING,转归名称,,32,,
,\x00\x0A,VCJ0010,String字符串（变长）,,NO_VISIT_REASON,失访原因,,128,,
,\x00\x0B,VCJ0011,String字符串（变长）,,NEW_SYMPTOMS,新症状描述,,128,,
,\x00\x0C,VCJ0012,String字符串（变长）,,SMOKE_COUNT,日吸烟量(支),,32,,
,\x00\x0D,VCJ0013,String字符串（变长）,,DRINK_COUNT,日饮酒量(两),,32,,
,\x00\x0E,VCJ0014,String字符串（变长）,,TRAIN_TIMES_WEEK,周运动次数,,32,,
,\x00\x0F,VCJ0015,String字符串（变长）,,TRAIN_MINUTE,每次时长(分),,32,,
,\x00\x10,VCJ0016,String字符串（变长）,,EATE_SITU,饮食情况,,32,,
,\x00\x11,VCJ0017,String字符串（变长）,,PSYCHOLOGY_CHANGE,心理调整,,32,,
,\x00\x12,VCJ0018,String字符串（变长）,,OBEY_DOCTOR,遵医行为,,32,,
,\x00\x13,VCJ0019,String字符串（变长）,,SC_VISIT_ORG,随访机构编码,,16,,
,\x00\x14,VCJ0020,String字符串（变长）,,ST_VISIT_ORG,随访机构名称,,128,,
,\x00\x15,VCJ0021,Date日期型（yyyy-mm-dd）（10个字节）,,VISIT_DATE,随访日期,,,,
,\x00\x16,VCJ0022,String字符串（变长）,,SC_VISIT_DOCTOR,随访医生编码,,32,,
,\x00\x17,VCJ0023,String字符串（变长）,,ST_VISIT_DOCTOR,随访医生名称,,32,,
,\x00\x18,VCJ0024,String字符串（变长）,,SC_DRINK_TYPE,饮酒种类编码,,64,,
,\x00\x19,VCJ0025,String字符串（变长）,,ST_DRINK_TYPE,饮酒种类名称,,64,,
,\x00\x1A,VCJ0026,String字符串（变长）,,SC_DOCTOR,责任医生编码,,32,,
,\x00\x1B,VCJ0027,String字符串（变长）,,ST_DOCTOR,责任医生名称,,32,,
,\x00\x1C,VCJ0028,String字符串（变长）,,NOW_SYMPTOMS,目前症状,,32,,
,\x00\x1D,VCJ0029,String字符串（变长）,,SC_MOVE_TREAT,治疗转诊编码,,1,,
,\x00\x1E,VCJ0030,String字符串（变长）,,ST_MOVE_TREAT,治疗转诊名称,,32,,
,\x00\x1F,VCJ0031,String字符串（变长）,,WEIGHT_INFO,体重(KG),,32,,
,\x00\x20,VCJ0032,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x21,VCJ0033,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x22,VCJ0034,String字符串（变长）,,SC_ORG,管辖机构编码,,32,,
,\x00\x23,VCJ0035,String字符串（变长）,,ST_ORG,管辖机构名称,,128,,
,\x00\x24,VCJ0036,String字符串（变长）,,SC_TRAIN_FREQ,体育锻炼编码,,1,,
,\x00\x25,VCJ0037,String字符串（变长）,,ST_TRAIN_FREQ,体育锻炼名称,,64,,
,\x00\x26,VCJ0038,String字符串（变长）,,EATE_HABIT,饮食习惯,,64,,
,\x00\x27,VCJ0039,String字符串（变长）,,SC_IS_SMOKE,是否吸烟,,1,,
,\x00\x28,VCJ0040,String字符串（变长）,,SC_IS_DRINK,是否饮酒,,1,,
,\x00\x29,VCJ0041,String字符串（变长）,,PAST_HISTORY,既往病史,,128,,
,\x00\x2A,VCJ0042,String字符串（变长）,,TREATMENT_INFO,治疗情况,,512,,
,\x00\x2B,VCJ0043,String字符串（变长）,,MEDICATION_INFO,用药情况,,512,,
,\x00\x2C,VCJ0044,String字符串（变长）,,SC_HEALTH_ASSESSMENT,健康评价编码,,1,,
,\x00\x2D,VCJ0045,String字符串（变长）,,ST_HEALTH_ASSESSMENT,健康评价名称,,32,,
,\x00\x2E,VCJ0046,String字符串（变长）,,HEALTH_EXCEPTION,健康异常,,128,,
,\x00\x2F,VCJ0047,String字符串（变长）,,HEALTH_GUIDANCE,健康指导,,4000,,
,\x00\x30,VCJ0048,String字符串（变长）,,RISK_CONTROLL,危险因素控制,,10,,
,\x00\x31,VCJ0049,String字符串（变长）,,TARGET_WEIGHT,目标体重(KG),,32,,
,\x00\x32,VCJ0050,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x33,VCJ0051,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x34,VCJ0052,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x35,VCJ0053,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x36,VCJ0054,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x37,VCJ0055,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x38,VCJ0056,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x39,VCJ0057,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x3A,VCJ0058,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x3B,VCJ0059,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x3C,VCJ0060,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
