索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_PERINATAL_ARCHIVES,表全名,JHPDL:JH_RHHV_PERINATAL_ARCHIVES,,,,,,
,表说明,围产档案,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBB,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBB0001,String字符串（变长）,,ERINATAL_ARCHIVES_SN,主键,,64,,
,\x00\x02,VBB0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBB0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBB0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VBB0005,String字符串（变长）,,SC_ARCHIVE_TYPE,档案类别编码,,1,,
,\x00\x06,VBB0006,String字符串（变长）,,ST_ARCHIVE_TYPE,档案类别名称,,32,,
,\x00\x07,VBB0007,String字符串（变长）,,BAR_CODE_NO,条形码,,128,,
,\x00\x08,VBB0008,String字符串（变长）,,MATE_NAME,产妇姓名,,128,,
,\x00\x09,VBB0009,String字符串（变长）,,SC_SEX,性别编码,,16,,
,\x00\x0A,VBB0010,String字符串（变长）,,ST_SEX,性别名称,,128,,
,\x00\x0B,VBB0011,String字符串（变长）,,AGE_INFO,年龄,,32,,
,\x00\x0C,VBB0012,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTHDAY_INFO,出生日期,,,,
,\x00\x0D,VBB0013,String字符串（变长）,,SC_CERD_TYPE,证件类型编码,,2,,
,\x00\x0E,VBB0014,String字符串（变长）,,ST_CERD_TYPE,证件类型名称,,64,,
,\x00\x0F,VBB0015,String字符串（变长）,,CERD_NO,证件号码,,128,,
,\x00\x10,VBB0016,Date日期型（yyyy-mm-dd）（10个字节）,,REGIST_DATE,建册日期,,,,
,\x00\x11,VBB0017,String字符串（变长）,,SC_EDUCATION,文化程度编码,,16,,
,\x00\x12,VBB0018,String字符串（变长）,,ST_EDUCATION,文化程度名称,,128,,
,\x00\x13,VBB0019,String字符串（变长）,,OCCUPATION_INFO,职业,,128,,
,\x00\x14,VBB0020,String字符串（变长）,,SC_NATION,民族编码,,16,,
,\x00\x15,VBB0021,String字符串（变长）,,ST_NATION,民族名称,,64,,
,\x00\x16,VBB0022,String字符串（变长）,,NATION_CODE_OTHER,民族-其他,,128,,
,\x00\x17,VBB0023,String字符串（变长）,,SC_NATIONALITY,国籍编码,,16,,
,\x00\x18,VBB0024,String字符串（变长）,,ST_NATIONALITY,国籍名称,,128,,
,\x00\x19,VBB0025,String字符串（变长）,,PHONE_NO,联系电话,,128,,
,\x00\x1A,VBB0026,String字符串（变长）,,SC_MARITAL_STATUS,婚姻状况代码,,16,,
,\x00\x1B,VBB0027,String字符串（变长）,,ST_MARITAL_STATUS,婚姻状况名称,,128,,
,\x00\x1C,VBB0028,String字符串（变长）,,REGISTERED_PROVICE,户口所在地-省,,128,,
,\x00\x1D,VBB0029,String字符串（变长）,,REGISTERED_CITY,户口所在地-市,,128,,
,\x00\x1E,VBB0030,String字符串（变长）,,REGISTERED_LOCAT,户口所在地-详细,,128,,
,\x00\x1F,VBB0031,String字符串（变长）,,MANAGE_COMM,管理社区,,128,,
,\x00\x20,VBB0032,String字符串（变长）,,RESIDENCE_PROVICE,居住地-省,,128,,
,\x00\x21,VBB0033,String字符串（变长）,,RESIDENCE_CITY,居住地-市,,128,,
,\x00\x22,VBB0034,String字符串（变长）,,RESIDENCE_DETAIL,居住地-详细,,128,,
,\x00\x23,VBB0035,Date日期型（yyyy-mm-dd）（10个字节）,,LAST_MENSTRUAL_PERIOD,末次月经,,,,
,\x00\x24,VBB0036,Date日期型（yyyy-mm-dd）（10个字节）,,INITIAL_DIAG,初诊日期,,,,
,\x00\x25,VBB0037,String字符串（变长）,,INITIAL_GESTAGE,初检孕周,,32,,
,\x00\x26,VBB0038,String字符串（变长）,,BULTRASOUND_VERIFY,B超核实,,128,,
,\x00\x27,VBB0039,Date日期型（yyyy-mm-dd）（10个字节）,,VERIFIED_DUE,核实后预产期,,,,
,\x00\x28,VBB0040,Date日期型（yyyy-mm-dd）（10个字节）,,LAST_MENSTRUAL,核实后末次月经,,,,
,\x00\x29,VBB0041,String字符串（变长）,,GESTATIONAL_WEEKS,建册孕周,,32,,
,\x00\x2A,VBB0042,String字符串（变长）,,GRAVIDITY_INFO,孕次,,32,,
,\x00\x2B,VBB0043,String字符串（变长）,,PARITY_INFO,产次,,32,,
,\x00\x2C,VBB0044,String字符串（变长）,,NATURAL_ABORTION_NUM,自然流产次数,,32,,
,\x00\x2D,VBB0045,String字符串（变长）,,ABORTION_NUM,药物及人工流产次数,,32,,
,\x00\x2E,VBB0046,String字符串（变长）,,FOLIC_USAGE,叶酸使用情况,,128,,
,\x00\x2F,VBB0047,String字符串（变长）,,FAMILY_HISTORY,家族史,,128,,
,\x00\x30,VBB0048,String字符串（变长）,,FAMILY_HISTORY_DETAIL,家族史-详细,,128,,
,\x00\x31,VBB0049,String字符串（变长）,,PAST_HISTORY,既往病史,,128,,
,\x00\x32,VBB0050,String字符串（变长）,,PAST_HISTORY_DETAIL,既往史-详细,,128,,
,\x00\x33,VBB0051,String字符串（变长）,,DEAD_FETUS_NUM,死胎数,,32,,
,\x00\x34,VBB0052,String字符串（变长）,,DEAD_BIRTH_NUM,死产数,,32,,
,\x00\x35,VBB0053,String字符串（变长）,,NEWBRON_DEAD_NUM,新生儿死亡数,,32,,
,\x00\x36,VBB0054,Date日期型（yyyy-mm-dd）（10个字节）,,LAST_DELIVERY_DATE,上次分娩日期,,,,
,\x00\x37,VBB0055,String字符串（变长）,,SC_LAST_DELIVERY,上次分娩方式编码,,16,,
,\x00\x38,VBB0056,String字符串（变长）,,ST_LAST_DELIVERY,上次分娩方式名称,,64,,
,\x00\x39,VBB0057,String字符串（变长）,,COMPLICATION_COMS,妊娠期合并症、并发症,,128,,
,\x00\x3A,VBB0058,String字符串（变长）,,PERINATAL_HIGH_RISK,围产高危,,512,,
,\x00\x3B,VBB0059,String字符串（变长）,,HIGH_RISK_LEVEL,高危级别,,128,,
,\x00\x3C,VBB0060,String字符串（变长）,,HUSBAND_NAME,丈夫姓名,,128,,
,\x00\x3D,VBB0061,String字符串（变长）,,HUSBAND_IDCARD,丈夫证件号,,128,,
,\x00\x3E,VBB0062,String字符串（变长）,,HUSBAND_PHONE,丈夫联系电话,,128,,
,\x00\x3F,VBB0063,String字符串（变长）,,HUSBAND_REGIST_PROVINCE,丈夫户口地址-省,,128,,
,\x00\x40,VBB0064,String字符串（变长）,,HUSBAND_REGIST_CITY,丈夫户口地址-市,,128,,
,\x00\x41,VBB0065,String字符串（变长）,,HUSBAND_REGIST_DETAIL,丈夫户口地址-详细,,128,,
,\x00\x42,VBB0066,String字符串（变长）,,HUSBAND_HOUSEP_ROVINCE,丈夫居住地-省,,128,,
,\x00\x43,VBB0067,String字符串（变长）,,HUSBAND_HOUSE_CITY,丈夫居住地-市,,128,,
,\x00\x44,VBB0068,String字符串（变长）,,HUSBAND_HOUSE_DETAIL,丈夫居住地-详细,,128,,
,\x00\x45,VBB0069,String字符串（变长）,,PROXY_REGIST,代建册,,128,,
,\x00\x46,VBB0070,String字符串（变长）,,POSTNATAL_LOCAL,产检地点,,128,,
,\x00\x47,VBB0071,String字符串（变长）,,LOCAL_AGRICULTURE,本地农业户籍,,128,,
,\x00\x48,VBB0072,String字符串（变长）,,DELIVERY_SUBSIDY,农村孕产妇住院分娩补助,,128,,
,\x00\x49,VBB0073,String字符串（变长）,,POSTNATAL_COMM,产后休养社区,,128,,
,\x00\x4A,VBB0074,String字符串（变长）,,POSTNATAL_AREA,产后休养地,,128,,
,\x00\x4B,VBB0075,String字符串（变长）,,POSTNATAL_SUB,产前检查补助,,128,,
,\x00\x4C,VBB0076,String字符串（变长）,,SC_IS_BEIJING_OVER_SIX_MONTH,在京居住时间是否大于6个月2,,128,,
,\x00\x4D,VBB0077,String字符串（变长）,,GO_BEIJING_TIME,来京时间,,32,,
,\x00\x4E,VBB0078,String字符串（变长）,,HIGH_RISK,高危,,128,,
,\x00\x4F,VBB0079,String字符串（变长）,,DELIVERY_INFO,分娩,,128,,
,\x00\x50,VBB0080,String字符串（变长）,,POST_VISIT,产后访视,,128,,
,\x00\x51,VBB0081,String字符串（变长）,,VISIT_NUM,访视次数,,128,,
,\x00\x52,VBB0082,String字符串（变长）,,FIRST_INSPECTION_FLAG,首检标识,,128,,
,\x00\x53,VBB0083,String字符串（变长）,,SC_IS_OUTPATIENT,是否出院,,128,,
,\x00\x54,VBB0084,String字符串（变长）,,PRENATAL_DIAG,产前诊断,,128,,
,\x00\x55,VBB0085,String字符串（变长）,,ULTRASOUND_SCREEN,超声筛查,,128,,
,\x00\x56,VBB0086,String字符串（变长）,,BLOOD_BIOCH,血生化筛查,,128,,
,\x00\x57,VBB0087,String字符串（变长）,,PREGNANCY_STATUS,妊娠状态,,128,,
,\x00\x58,VBB0088,Date日期型（yyyy-mm-dd）（10个字节）,,DISCHARGED_DATE,出院日期,,,,
,\x00\x59,VBB0089,String字符串（变长）,,HIGH_RISK_FACTOR,当前高危因素,,512,,
,\x00\x5A,VBB0090,String字符串（变长）,,APPOINT_TIME,预约时间,,128,,
,\x00\x5B,VBB0091,Date日期型（yyyy-mm-dd）（10个字节）,,FOLLOWUP_DATE,追访日期,,,,
,\x00\x5C,VBB0092,String字符串（变长）,,FOLLOWUP_NUM,追访次数,,128,,
,\x00\x5D,VBB0093,String字符串（变长）,,HOME_ADDRESS,户籍地,,128,,
,\x00\x5E,VBB0094,String字符串（变长）,,SC_REGIST_DOCTOR,建册医生编码,,32,,
,\x00\x5F,VBB0095,String字符串（变长）,,ST_REGIST_DOCTOR,建册医生名称,,128,,
,\x00\x60,VBB0096,String字符串（变长）,,SC_ORG,机构编码,,128,,
,\x00\x61,VBB0097,String字符串（变长）,,ST_ORG,机构名称,,128,,
,\x00\x62,VBB0098,Date日期型（yyyy-mm-dd）（10个字节）,,INPUT_DATE,录入日期,,,,
,\x00\x63,VBB0099,String字符串（变长）,,SC_IS_BEIJING_OVER_ONE_YEAR,在京居住时间是否大于1年,,128,,
,\x00\x64,VBB0100,String字符串（变长）,,SC_IS_VIRUS_FREE_CARD,是否发放艾滋病病毒(HIV)抗体免费检测卡,,128,,
,\x00\x65,VBB0101,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x66,VBB0102,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x67,VBB0103,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x68,VBB0104,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x69,VBB0105,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x6A,VBB0106,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x6B,VBB0107,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x6C,VBB0108,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x6D,VBB0109,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x6E,VBB0110,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x6F,VBB0111,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
