索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_PERSON_BASE,表全名,JHPDL:JH_RHHV_PERSON_BASE,,,,,,
,表说明,个人基本信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAA0001,String字符串（变长）,,PERSON_BASE_SN,主键,,64,,
,\x00\x02,VAA0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAA0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAA0004,String字符串（变长）,,NAME_INFO,姓名,,64,,
,\x00\x05,VAA0005,String字符串（变长）,,SC_SEX,性别编码,生理性别代码【GB/T2261.1】,8,,
,\x00\x06,VAA0006,String字符串（变长）,,ST_SEX,性别名称,,64,,
,\x00\x07,VAA0007,String字符串（变长）,,PHOTO_INFO,照片,,128,,
,\x00\x08,VAA0008,String字符串（变长）,,CARD_NO,市民卡号,,64,,
,\x00\x09,VAA0009,String字符串（变长）,,INSURANCE_CODE,保险编码,,32,,
,\x00\x0A,VAA0010,String字符串（变长）,,ID_CARD,身份证号,,32,,
,\x00\x0B,VAA0011,String字符串（变长）,,SC_REGISTERED_PERMANENT_FLAG,户籍标志编码,常住类型【jhcv_residence_type】,2,,
,\x00\x0C,VAA0012,String字符串（变长）,,ST_REGISTERED_PERMANENT_FLAG,户籍标志名称,,64,,
,\x00\x0D,VAA0013,String字符串（变长）,,SC_BLOOD_TYPE,血型编码,ABO血型代码表 【CV04.50.005】,1,,
,\x00\x0E,VAA0014,String字符串（变长）,,ST_BLOOD_TYPE,血型名称,,64,,
,\x00\x0F,VAA0015,String字符串（变长）,,HOME_PLACE,出生地,,128,,
,\x00\x10,VAA0016,String字符串（变长）,,NAME_PY_CODE,姓名拼音,,32,,
,\x00\x11,VAA0017,String字符串（变长）,,ADDRESS_INFO,联系地址,,128,,
,\x00\x12,VAA0018,String字符串（变长）,,POST_CODE,邮政编码,,6,,
,\x00\x13,VAA0019,String字符串（变长）,,FAMILY_PHONE_NO,家庭电话,,32,,
,\x00\x14,VAA0020,String字符串（变长）,,PHONE_NO,本人电话,,32,,
,\x00\x15,VAA0021,String字符串（变长）,,EMAIL_INFO,电子邮件,,32,,
,\x00\x16,VAA0022,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTHDAY_INFO,出生日期,,,,
,\x00\x17,VAA0023,String字符串（变长）,,SC_NATIONALITY,国籍编码,,3,,
,\x00\x18,VAA0024,String字符串（变长）,,ST_NATIONALITY,国籍名称,,64,,
,\x00\x19,VAA0025,String字符串（变长）,,SC_NATION,民族编码,民族类别代码【GB/T3304-1991】,2,,
,\x00\x1A,VAA0026,String字符串（变长）,,ST_NATION,民族名称,,64,,
,\x00\x1B,VAA0027,String字符串（变长）,,SC_RH_BLOOD,RH血型编码,Rh(D)血型代码表【CV04.50.020】,1,,
,\x00\x1C,VAA0028,String字符串（变长）,,ST_RH_BLOOD,RH血型名称,,64,,
,\x00\x1D,VAA0029,String字符串（变长）,,SC_MARITAL_STATUS,婚姻状况编码,婚姻状况代码【GB/T2261.2】,16,,
,\x00\x1E,VAA0030,String字符串（变长）,,ST_MARITAL_STATUS,婚姻状况名称,,64,,
,\x00\x1F,VAA0031,Date日期型（yyyy-mm-dd）（10个字节）,,START_WORK_DATE,参加工作日期,,,,
,\x00\x20,VAA0032,String字符串（变长）,,SC_OCCUPATION,职业编码,职业分类与代码【jhcv_occupation】,3,,
,\x00\x21,VAA0033,String字符串（变长）,,ST_OCCUPATION,职业名称,,64,,
,\x00\x22,VAA0034,String字符串（变长）,,SC_EDUCATION,文化程度编码,文化程度【jhcv_educational_level】,2,,
,\x00\x23,VAA0035,String字符串（变长）,,ST_EDUCATION,文化程度名称,,64,,
,\x00\x24,VAA0036,String字符串（变长）,,SC_INSURANCECATE,保险类别编码,,2,,
,\x00\x25,VAA0037,String字符串（变长）,,ST_INSURANCECATE,保险类别名称,,64,,
,\x00\x26,VAA0038,String字符串（变长）,,SC_REGIST_ORG,建档机构编码,,16,,
,\x00\x27,VAA0039,String字符串（变长）,,ST_REGIST_ORG,建档机构名称,,128,,
,\x00\x28,VAA0040,String字符串（变长）,,REGIST_ORG_PHONE_NO,建档机构电话,,32,,
,\x00\x29,VAA0041,String字符串（变长）,,SC_REGIST_DOCTOR,建档人编码,,32,,
,\x00\x2A,VAA0042,String字符串（变长）,,ST_REGIST_DOCTOR,建档人名称,,64,,
,\x00\x2B,VAA0043,Date日期型（yyyy-mm-dd）（10个字节）,,REGIST_CREATE_DATE,建档日期,,,,
,\x00\x2C,VAA0044,String字符串（变长）,,GENETIC_HISTORY,遗传病史,,128,,
,\x00\x2D,VAA0045,String字符串（变长）,,SC_EXHAUST_FACILITY,家庭厨房排风设施类别代码,厨房排风设施【jhcv_kitchen_exhaust】,32,,
,\x00\x2E,VAA0046,String字符串（变长）,,ST_EXHAUST_FACILITY,家庭厨房排风设施类别名称,,64,,
,\x00\x2F,VAA0047,String字符串（变长）,,SC_FUEL,家庭燃料类型类别代码,燃料类型【jhcv_fuel_type】,32,,
,\x00\x30,VAA0048,String字符串（变长）,,ST_FUEL,家庭燃料类型类别名称,,64,,
,\x00\x31,VAA0049,String字符串（变长）,,SC_WATER,家庭饮水类别代码,饮水【jhcv_drink_water】,32,,
,\x00\x32,VAA0050,String字符串（变长）,,ST_WATER,家庭饮水类别名称,,64,,
,\x00\x33,VAA0051,String字符串（变长）,,SC_TOILET,家庭厕所类别代码,厕所【jhcv_toilet】,32,,
,\x00\x34,VAA0052,String字符串（变长）,,ST_TOILET,家庭厕所类别名称,,64,,
,\x00\x35,VAA0053,String字符串（变长）,,SC_LIVESTOCK,家庭禽畜栏类别代码,禽畜栏【jhcv_corral】,32,,
,\x00\x36,VAA0054,String字符串（变长）,,ST_LIVESTOCK,家庭禽畜栏类别名称,,64,,
,\x00\x37,VAA0055,String字符串（变长）,,SC_DOCTOR,责任医生编码,,32,,
,\x00\x38,VAA0056,String字符串（变长）,,ST_DOCTOR,责任医生名称,,64,,
,\x00\x39,VAA0057,String字符串（变长）,,DOCTOR_PHONE_NO,责任医生电话,,32,,
,\x00\x3A,VAA0058,String字符串（变长）,,SC_STATUS_INFO,状态编码,,1,,
,\x00\x3B,VAA0059,String字符串（变长）,,ST_STATUS_INFO,状态名称,,64,,
,\x00\x3C,VAA0060,String字符串（变长）,,WORK_PLACE,工作单位,,512,,
,\x00\x3D,VAA0061,String字符串（变长）,,CONTACT_INFO,联系人,,32,,
,\x00\x3E,VAA0062,String字符串（变长）,,CONTACT_PHONE,联系人电话,,32,,
,\x00\x3F,VAA0063,String字符串（变长）,,SC_INSURANCE_TYPE,医保类别编码,,32,,
,\x00\x40,VAA0064,String字符串（变长）,,ST_INSURANCE_TYPE,医保类别名称,,64,,
,\x00\x41,VAA0065,String字符串（变长）,,SC_PAY_TYPE,医疗费用支付方式代码,医疗费用来源类别代码【CV07.10.003】,32,,
,\x00\x42,VAA0066,String字符串（变长）,,ST_PAY_TYPE,医疗费用支付方式名称,,64,,
,\x00\x43,VAA0067,String字符串（变长）,,PAY_TYPE_DES,医疗费用支付方式描述,如果ST_PAY_TYPE为其他，则存储具体医疗费用支付方式名称,64,,
,\x00\x44,VAA0068,String字符串（变长）,,SC_REGION,网格地址编码,,25,,
,\x00\x45,VAA0069,String字符串（变长）,,SC_EXPOSE,暴露史代码,,64,,
,\x00\x46,VAA0070,String字符串（变长）,,ST_EXPOSE,暴露史名称,,64,,
,\x00\x47,VAA0071,String字符串（变长）,,ST_REGION,网格地址名称,,128,,
,\x00\x48,VAA0072,String字符串（变长）,,SC_IS_DIABETES,是否糖尿病,,4,,
,\x00\x49,VAA0073,String字符串（变长）,,SC_IS_HYPERTENSION,是否高血压,,4,,
,\x00\x4A,VAA0074,String字符串（变长）,,SOURCE_PHONE,原籍电话,,32,,
,\x00\x4B,VAA0075,String字符串（变长）,,SC_SECOND_WORK,第二职业编码,,4,,
,\x00\x4C,VAA0076,String字符串（变长）,,ST_SECOND_WORK,第二职业名称,,64,,
,\x00\x4D,VAA0077,String字符串（变长）,,BIRTH_PLACE,籍贯,,32,,
,\x00\x4E,VAA0078,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x4F,VAA0079,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x50,VAA0080,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x51,VAA0081,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x52,VAA0082,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x53,VAA0083,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x54,VAA0084,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x55,VAA0085,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x56,VAA0086,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x57,VAA0087,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x58,VAA0088,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
