索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_PERSON_PAST_HISTORY,表全名,JHPDL:JH_RHHV_PERSON_PAST_HISTORY,,,,,,
,表说明,个人既往史,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAE,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAE0001,String字符串（变长）,,PERSON_PAST_HISTORY_SN,主键,,64,,
,\x00\x02,VAE0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAE0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAE0004,String字符串（变长）,,SC_PAST_HISTORY_DISEASE,既往史疾病编码,疾病【jhcv_diseases】,32,,
,\x00\x05,VAE0005,String字符串（变长）,,ST_PAST_HISTORY_DISEASE,既往史疾病名称,,64,,
,\x00\x06,VAE0006,String字符串（变长）,,SC_IS_OPERATION,有无手术,有无【jhcv_yes_no】,4,,
,\x00\x07,VAE0007,String字符串（变长）,,SC_IS_TRAUMA,有无外伤,有无【jhcv_yes_no】,4,,
,\x00\x08,VAE0008,String字符串（变长）,,SC_IS_BLOOD,有无输血,有无【jhcv_yes_no】,4,,
,\x00\x09,VAE0009,String字符串（变长）,,OPERATION_NAME,手术名称,,64,,
,\x00\x0A,VAE0010,Date日期型（yyyy-mm-dd）（10个字节）,,OPERATION_TIME,手术时间,,,,
,\x00\x0B,VAE0011,String字符串（变长）,,TRAUMA_NAME,外伤名称,,64,,
,\x00\x0C,VAE0012,Date日期型（yyyy-mm-dd）（10个字节）,,TRAUMA_TIME,外伤时间,,,,
,\x00\x0D,VAE0013,String字符串（变长）,,BLOOD_NAME,输血原因,,64,,
,\x00\x0E,VAE0014,Date日期型（yyyy-mm-dd）（10个字节）,,BLOOD_TIME,输血时间,,,,
,\x00\x0F,VAE0015,String字符串（变长）,,PAST_HISTORY_DISEASE_DES,既往史疾病描述,如果ST_PAST_HISTORY_DISEASE为恶性肿瘤、职业病、其他，则存储具体既往史疾病名称,64,,
,\x00\x10,VAE0016,Date日期型（yyyy-mm-dd）（10个字节）,,PAST_HISTORY_CONFIRM_DATE,既往史确诊时间,,,,
,\x00\x11,VAE0017,String字符串（变长）,,SC_IS_MANAGE,是否在管,,4,,
,\x00\x12,VAE0018,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x13,VAE0019,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x14,VAE0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x15,VAE0021,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x16,VAE0022,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x17,VAE0023,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x18,VAE0024,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x19,VAE0025,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x1A,VAE0026,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x1B,VAE0027,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x1C,VAE0028,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
