索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_PERSON_PROBLEM,表全名,JHPDL:JH_RHHV_PERSON_PROBLEM,,,,,,
,表说明,个人主要问题,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAJ,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAJ0001,String字符串（变长）,,PERSON_PROBLEM_SN,主键,,64,,
,\x00\x02,VAJ0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAJ0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAJ0004,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x05,VAJ0005,String字符串（变长）,,CYCLE_ID,周期编号,,2,,
,\x00\x06,VAJ0006,String字符串（变长）,,PROBLEMS_INFO,主要问题,,80,,
,\x00\x07,VAJ0007,String字符串（变长）,,DESCRIPTION_INFO,问题描述,,512,,
,\x00\x08,VAJ0008,String字符串（变长）,,TRANS_ACT_DESC,处理情况,,512,,
,\x00\x09,VAJ0009,Date日期型（yyyy-mm-dd）（10个字节）,,OCCUR_DATE,发生日期,,,,
,\x00\x0A,VAJ0010,Date日期型（yyyy-mm-dd）（10个字节）,,SOLVE_DATE,解决日期,,,,
,\x00\x0B,VAJ0011,String字符串（变长）,,SC_RECORDUSER,记录医生编码,,32,,
,\x00\x0C,VAJ0012,String字符串（变长）,,ST_RECORD_USER,记录医生名称,,64,,
,\x00\x0D,VAJ0013,String字符串（变长）,,SC_RECORDORG,记录机构编码,,16,,
,\x00\x0E,VAJ0014,String字符串（变长）,,ST_RECORDORG,记录机构名称,,128,,
,\x00\x0F,VAJ0015,Date日期型（yyyy-mm-dd）（10个字节）,,RECORD_DATE,记录日期,,,,
,\x00\x10,VAJ0016,String字符串（变长）,,PAST_HISTORY_ID,既往史编号,,16,,
,\x00\x11,VAJ0017,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x12,VAJ0018,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x13,VAJ0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x14,VAJ0020,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x15,VAJ0021,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x16,VAJ0022,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x17,VAJ0023,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x18,VAJ0024,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x19,VAJ0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x1A,VAJ0026,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x1B,VAJ0027,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
