索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_PHYSICAL_RESULT,表全名,JHPDL:JH_RHHV_PHYSICAL_RESULT,,,,,,
,表说明,体质结果表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAU,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAU0001,String字符串（变长）,,PHYSICAL_RESULT_SN,主键,,64,,
,\x00\x02,VAU0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAU0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAU0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAU0005,String字符串（变长）,,RECORD_ID,记录编号,,32,,
,\x00\x06,VAU0006,String字符串（变长）,,PHZ_SCORE,平和质得分,"值域为1,2,3,4,5",32,,
,\x00\x07,VAU0007,String字符串（变长）,,SC_PHZ_RESULT,平和质结果编码,1是2基本是3倾向是,1,,
,\x00\x08,VAU0008,String字符串（变长）,,ST_PHZ_RESULT,平和质结果名称,,64,,
,\x00\x09,VAU0009,String字符串（变长）,,PHZ_RESULT_INFO,平和质结果说明,,64,,
,\x00\x0A,VAU0010,String字符串（变长）,,QXZ_SCORE,气虚质得分,,32,,
,\x00\x0B,VAU0011,String字符串（变长）,,SC_QXZ_RESULT,气虚质结果编码,1是2基本是3倾向是,1,,
,\x00\x0C,VAU0012,String字符串（变长）,,ST_QXZ_RESULT,气虚质结果名称,,64,,
,\x00\x0D,VAU0013,String字符串（变长）,,QXZ_RESULT_INFO,气虚质结果说明,,64,,
,\x00\x0E,VAU0014,String字符串（变长）,,YXZ_SCORE,阳虚质得分,,32,,
,\x00\x0F,VAU0015,String字符串（变长）,,SC_YXZ_RESULT,阳虚质结果编码,1是2基本是3倾向是,1,,
,\x00\x10,VAU0016,String字符串（变长）,,ST_YXZ_RESULT,阳虚质结果名称,,64,,
,\x00\x11,VAU0017,String字符串（变长）,,YXZ_RESULT_INFO,阳虚质结果说明,,64,,
,\x00\x12,VAU0018,String字符串（变长）,,YX_SCORE,阴虚得分,,32,,
,\x00\x13,VAU0019,String字符串（变长）,,SC_YX_RESULT,阴虚结果编码,1是2基本是3倾向是,1,,
,\x00\x14,VAU0020,String字符串（变长）,,ST_YX_RESULT,阴虚结果名称,,64,,
,\x00\x15,VAU0021,String字符串（变长）,,YX_RESULT_INFO,阴虚结果说明,,64,,
,\x00\x16,VAU0022,String字符串（变长）,,TSZ_SCORE,痰湿质得分,,32,,
,\x00\x17,VAU0023,String字符串（变长）,,SC_TSZ_RESULT,痰湿质结果编码,1是2基本是3倾向是,1,,
,\x00\x18,VAU0024,String字符串（变长）,,ST_TSZ_RESULT,痰湿质结果名称,,64,,
,\x00\x19,VAU0025,String字符串（变长）,,TSZ_RESULT_INFO,痰湿质结果说明,,64,,
,\x00\x1A,VAU0026,String字符串（变长）,,SRZ_SCORE,湿热质得分,,32,,
,\x00\x1B,VAU0027,String字符串（变长）,,SC_SRZ_RESULT,湿热质结果编码,1是2基本是3倾向是,1,,
,\x00\x1C,VAU0028,String字符串（变长）,,ST_SRZ_RESULT,湿热质结果名称,,64,,
,\x00\x1D,VAU0029,String字符串（变长）,,SRZ_RESULT_INFO,湿热质结果说明,,64,,
,\x00\x1E,VAU0030,String字符串（变长）,,BLOOD_QUALITY_SCORE,血瘀质得分,,32,,
,\x00\x1F,VAU0031,String字符串（变长）,,SC_BLOOD_QUALITY_RESULT,血瘀质结果编码,1是2基本是3倾向是,1,,
,\x00\x20,VAU0032,String字符串（变长）,,ST_BLOOD_QUALITY_RESULT,血瘀质结果名称,,64,,
,\x00\x21,VAU0033,String字符串（变长）,,BLOOD_QUALITY_RESULT_INFO,血瘀质结果说明,,64,,
,\x00\x22,VAU0034,String字符串（变长）,,QYZS_CORE,气郁质得分,,32,,
,\x00\x23,VAU0035,String字符串（变长）,,SC_QYZ_RESULT,气郁质结果编码,1是2基本是3倾向是,1,,
,\x00\x24,VAU0036,String字符串（变长）,,ST_QYZ_RESULT,气郁质结果名称,,64,,
,\x00\x25,VAU0037,String字符串（变长）,,QYZ_RESULT_INFO,气郁质结果说明,,64,,
,\x00\x26,VAU0038,String字符串（变长）,,TLZ_SCORE,特廪质得分,,32,,
,\x00\x27,VAU0039,String字符串（变长）,,SC_TLZ_RESULT,特廪质结果编码,1是2基本是3倾向是,1,,
,\x00\x28,VAU0040,String字符串（变长）,,ST_TLZ_RESULT,特廪质结果名称,,64,,
,\x00\x29,VAU0041,String字符串（变长）,,TLZ_RESULT_INFO,特廪质结果说明,,64,,
,\x00\x2A,VAU0042,String字符串（变长）,,QXZ_GUIDANCE,气虚质指导,"1情志调摄2饮食调养3起居调摄4运动保健5穴位保健6其他，使用逗号隔开例：6,药物调养",256,,
,\x00\x2B,VAU0043,String字符串（变长）,,YXZ_GUIDANCE,阳虚质指导,,256,,
,\x00\x2C,VAU0044,String字符串（变长）,,YX_GUIDANCE,阴虚质指导,,256,,
,\x00\x2D,VAU0045,String字符串（变长）,,TSZ_GUIDANCE,痰湿质指导,,256,,
,\x00\x2E,VAU0046,String字符串（变长）,,SRZ_GUIDANCE,湿热质指导,,256,,
,\x00\x2F,VAU0047,String字符串（变长）,,BLOOD_QUALITY_GUIDANCE,血瘀质指导,,256,,
,\x00\x30,VAU0048,String字符串（变长）,,QYZS_GUIDANCE,气郁质指导,,256,,
,\x00\x31,VAU0049,String字符串（变长）,,TLZ_GUIDANCE,特禀质指导,,256,,
,\x00\x32,VAU0050,String字符串（变长）,,PHZ_GUIDANCE,平和质指导,,256,,
,\x00\x33,VAU0051,String字符串（变长）,,SC_TOTAL_PHYSICAL_TYPE,总体质类型编码,,1,,
,\x00\x34,VAU0052,String字符串（变长）,,ST_TOTAL_PHYSICAL_TYPE,总体质类型名称,,64,,
,\x00\x35,VAU0053,String字符串（变长）,,EXPLAIN_INFO,体质总体说明,,332,,
,\x00\x36,VAU0054,String字符串（变长）,,PROPOSAL_INFO,建议,,332,,
,\x00\x37,VAU0055,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x38,VAU0056,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x39,VAU0057,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x3A,VAU0058,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x3B,VAU0059,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x3C,VAU0060,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x3D,VAU0061,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x3E,VAU0062,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x3F,VAU0063,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x40,VAU0064,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x41,VAU0065,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
