索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_POSTNATAL_42DAY_RECORD,表全名,JHPDL:JH_RHHV_POSTNATAL_42DAY_RECORD,,,,,,
,表说明,产后42天健康检查记录表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAM,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAM0001,String字符串（变长）,,POSTNATAL_42DAY_RECORD_SN,主键,,64,,
,\x00\x02,VAM0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAM0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAM0004,String字符串（变长）,,ARCHIVE_ID,孕妇档案号,,32,,
,\x00\x05,VAM0005,String字符串（变长）,,CHECK_ID,检查单号,,16,,
,\x00\x06,VAM0006,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHECK_TIME,检查时间,,,,
,\x00\x07,VAM0007,String字符串（变长）,,POSTNATAL_DAYS,产后天数,,32,,
,\x00\x08,VAM0008,String字符串（变长）,,HEALTH_STATE,一般健康情况描述,,512,,
,\x00\x09,VAM0009,String字符串（变长）,,PSYCHOLOGY_STATE,一般心理状况描述,,512,,
,\x00\x0A,VAM0010,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x0B,VAM0011,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x0C,VAM0012,String字符串（变长）,,TEMPERATURE_INFO,体温(℃),,32,,
,\x00\x0D,VAM0013,String字符串（变长）,,WEIGHT_INFO,体重(KG),,32,,
,\x00\x0E,VAM0014,String字符串（变长）,,PULSE_INFO,脉搏(次/分),,32,,
,\x00\x0F,VAM0015,String字符串（变长）,,SC_IS_BREAST,乳房是否正常,jhcv_abnormal,1,,
,\x00\x10,VAM0016,String字符串（变长）,,BREAST_TEXT,乳房异常描述,,512,,
,\x00\x11,VAM0017,String字符串（变长）,,SC_IS_VULVA,外阴是否正常,,1,,
,\x00\x12,VAM0018,String字符串（变长）,,VULVA_TEXT,外阴异常描述,,512,,
,\x00\x13,VAM0019,String字符串（变长）,,SC_IS_VAGINA,阴道是否正常,,1,,
,\x00\x14,VAM0020,String字符串（变长）,,VAGINA_TEXT,阴道异常描述,,512,,
,\x00\x15,VAM0021,String字符串（变长）,,SC_IS_UTERUS,子宫是否正常,jhcv_abnormal,1,,
,\x00\x16,VAM0022,String字符串（变长）,,UTERUS_TEXT,子宫异常描述,,512,,
,\x00\x17,VAM0023,String字符串（变长）,,SC_IS_APPENDAGES,附件是否正常,,1,,
,\x00\x18,VAM0024,String字符串（变长）,,APPENDAGES_TEXT,附件异常描述,,512,,
,\x00\x19,VAM0025,String字符串（变长）,,SC_IS_LOCHIA,恶露是否正常,jhcv_abnormal,1,,
,\x00\x1A,VAM0026,String字符串（变长）,,LOCHIA_TEXT,恶露异常描述,,512,,
,\x00\x1B,VAM0027,String字符串（变长）,,OTHER_INFO,其他异常描述,,512,,
,\x00\x1C,VAM0028,String字符串（变长）,,SC_CATEGORY,分类编码,jhcv_recovery_status,1,,
,\x00\x1D,VAM0029,String字符串（变长）,,ST_CATEGORY,分类名称,,64,,
,\x00\x1E,VAM0030,String字符串（变长）,,NOT_RECOVERED_TEXT,未恢复,,512,,
,\x00\x1F,VAM0031,String字符串（变长）,,SC_SUGGESTION,指导编码,jhcv_42exam_guide,1,,
,\x00\x20,VAM0032,String字符串（变长）,,ST_SUGGESTION,指导名称,,64,,
,\x00\x21,VAM0033,String字符串（变长）,,SUGGESTION_OTHER,指导其他描述,,512,,
,\x00\x22,VAM0034,String字符串（变长）,,SC_TREAT,处理编码,jhcv_42exam_result,1,,
,\x00\x23,VAM0035,String字符串（变长）,,ST_TREAT,处理名称,,64,,
,\x00\x24,VAM0036,String字符串（变长）,,REASON_INFO,原因,,512,,
,\x00\x25,VAM0037,String字符串（变长）,,SC_DEPT,科室编码,,64,,
,\x00\x26,VAM0038,String字符串（变长）,,ST_DEPT,科室名称,,64,,
,\x00\x27,VAM0039,String字符串（变长）,,REFERRAL_NUM,转诊单号,,16,,
,\x00\x28,VAM0040,String字符串（变长）,,SC_CHECK_ORG,检查机构编码,,16,,
,\x00\x29,VAM0041,String字符串（变长）,,ST_CHECK_ORG,检查机构名称,,128,,
,\x00\x2A,VAM0042,String字符串（变长）,,SC_CHECK_DOCTOR,检查医生编码,,32,,
,\x00\x2B,VAM0043,String字符串（变长）,,ST_CHECK_DOCTOR,检查医生名称,,64,,
,\x00\x2C,VAM0044,String字符串（变长）,,CHECK_MANA_UNIT,检查管理单元,,16,,
,\x00\x2D,VAM0045,String字符串（变长）,,SC_IS_CERVIX_FLAG,宫颈是否正常,,2,,
,\x00\x2E,VAM0046,String字符串（变长）,,CERVIX_TEXT,宫颈异常描述,,512,,
,\x00\x2F,VAM0047,String字符串（变长）,,SC_WOUND,伤口编码,jhcv_abnormal,1,,
,\x00\x30,VAM0048,String字符串（变长）,,ST_WOUND,伤口名称,,64,,
,\x00\x31,VAM0049,String字符串（变长）,,SC_HEALING,愈合情况编码,,1,,
,\x00\x32,VAM0050,String字符串（变长）,,ST_HEALING,愈合情况名称,,64,,
,\x00\x33,VAM0051,String字符串（变长）,,SC_INFECTANT,感染编码,,1,,
,\x00\x34,VAM0052,String字符串（变长）,,ST_INFECTANT,感染名称,,64,,
,\x00\x35,VAM0053,Date日期型（yyyy-mm-dd）（10个字节）,,DELIVERY_DATE,分娩日期,,,,
,\x00\x36,VAM0054,Date日期型（yyyy-mm-dd）（10个字节）,,DISCHARGED_DATE,出院日期,,,,
,\x00\x37,VAM0055,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x38,VAM0056,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x39,VAM0057,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x3A,VAM0058,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x3B,VAM0059,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x3C,VAM0060,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x3D,VAM0061,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x3E,VAM0062,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x3F,VAM0063,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x40,VAM0064,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x41,VAM0065,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
