索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_POSTNATAL_VISIT_INFO,表全名,JHPDL:JH_RHHV_POSTNATAL_VISIT_INFO,,,,,,
,表说明,产后访视信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAN,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAN0001,String字符串（变长）,,POSTNATAL_VISIT_INFO_SN,主键,,64,,
,\x00\x02,VAN0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAN0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAN0004,String字符串（变长）,,ARCHIVE_ID,孕妇档案号,,32,,
,\x00\x05,VAN0005,String字符串（变长）,,CHECK_ID,检查单号,,16,,
,\x00\x06,VAN0006,Date日期型（yyyy-mm-dd）（10个字节）,,VISIT_DATE,访视日期,,,,
,\x00\x07,VAN0007,String字符串（变长）,,POSTNATAL_DAYS,产后天数,,32,,
,\x00\x08,VAN0008,String字符串（变长）,,TEMPERATURE_INFO,体温(℃),,32,,
,\x00\x09,VAN0009,String字符串（变长）,,PULSE_INFO,脉搏(次/分),,32,,
,\x00\x0A,VAN0010,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x0B,VAN0011,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x0C,VAN0012,String字符串（变长）,,SC_IS_BREAST,乳房是否正常,jhcv_abnormal,1,,
,\x00\x0D,VAN0013,String字符串（变长）,,SC_BREASTBUMP,乳房有无肿块,,1,,
,\x00\x0E,VAN0014,String字符串（变长）,,SC_NIPPLE,乳头编码,,1,,
,\x00\x0F,VAN0015,String字符串（变长）,,ST_NIPPLE,乳头名称,,64,,
,\x00\x10,VAN0016,String字符串（变长）,,SC_LATEX,乳汁编码,,1,,
,\x00\x11,VAN0017,String字符串（变长）,,ST_LATEX,乳汁名称,,64,,
,\x00\x12,VAN0018,String字符串（变长）,,FLOOR_HEIGHT,宫底高度,,32,,
,\x00\x13,VAN0019,String字符串（变长）,,SC_IS_LOCHIAUN,恶露是否异常,jhcv_abnormal,1,,
,\x00\x14,VAN0020,String字符串（变长）,,SC_LOCHIA_COLOR,恶露色编码,,1,,
,\x00\x15,VAN0021,String字符串（变长）,,ST_LOCHIA_COLOR,恶露色名称,,64,,
,\x00\x16,VAN0022,String字符串（变长）,,SC_LOCHIA_STENCH,恶露臭编码,,1,,
,\x00\x17,VAN0023,String字符串（变长）,,ST_LOCHIA_STENCH,恶露臭名称,,64,,
,\x00\x18,VAN0024,String字符串（变长）,,SC_LOCHIA_VALUE,恶露量编码,,1,,
,\x00\x19,VAN0025,String字符串（变长）,,ST_LOCHIA_VALUE,恶露量名称,,64,,
,\x00\x1A,VAN0026,String字符串（变长）,,SC_EXCREMENT,大便编码,,1,,
,\x00\x1B,VAN0027,String字符串（变长）,,ST_EXCREMENT,大便名称,,64,,
,\x00\x1C,VAN0028,String字符串（变长）,,SC_PISS,小便编码,,1,,
,\x00\x1D,VAN0029,String字符串（变长）,,ST_PISS,小便名称,,64,,
,\x00\x1E,VAN0030,String字符串（变长）,,SC_CATEGORY,分类编码,jhcv_abnormal,1,,
,\x00\x1F,VAN0031,String字符串（变长）,,ST_CATEGORY,分类名称,,64,,
,\x00\x20,VAN0032,String字符串（变长）,,SPECIAL_CASES,特殊情况记录,,512,,
,\x00\x21,VAN0033,String字符串（变长）,,PROPAGANDA_INFO,宣教,,512,,
,\x00\x22,VAN0034,String字符串（变长）,,GUIDE_INFO,指导,cv06_00_219,512,,
,\x00\x23,VAN0035,String字符串（变长）,,SC_VISIT_DOCTOR,访视医生编码,,32,,
,\x00\x24,VAN0036,String字符串（变长）,,ST_VISIT_DOCTOR,访视医生名称,,64,,
,\x00\x25,VAN0037,String字符串（变长）,,SC_VISIT_ORG,访视机构编码,,16,,
,\x00\x26,VAN0038,String字符串（变长）,,ST_VISIT_ORG,访视机构名称,,128,,
,\x00\x27,VAN0039,String字符串（变长）,,SC_ORG,管辖单位编码,,16,,
,\x00\x28,VAN0040,String字符串（变长）,,ST_ORG,管辖单位名称,,128,,
,\x00\x29,VAN0041,String字符串（变长）,,SC_IS_REFERRAL,是否转诊,jhcv_yes_no,1,,
,\x00\x2A,VAN0042,String字符串（变长）,,REFERRAL_NUM,转诊单号,,16,,
,\x00\x2B,VAN0043,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTHDAY_INFO,出生日期,,,,
,\x00\x2C,VAN0044,String字符串（变长）,,SC_WOUND,伤口编码,jhcv_abnormal,1,,
,\x00\x2D,VAN0045,String字符串（变长）,,ST_WOUND,伤口名称,,64,,
,\x00\x2E,VAN0046,String字符串（变长）,,SC_HEALING,愈合情况编码,,1,,
,\x00\x2F,VAN0047,String字符串（变长）,,ST_HEALING,愈合情况名称,,1,,
,\x00\x30,VAN0048,String字符串（变长）,,SC_INFECTANT,感染编码,,1,,
,\x00\x31,VAN0049,String字符串（变长）,,ST_INFECTANT,感染名称,,64,,
,\x00\x32,VAN0050,Date日期型（yyyy-mm-dd）（10个字节）,,DISCHARGED_DATE,出院日期,,,,
,\x00\x33,VAN0051,String字符串（变长）,,HEALTH_STATE,一般健康情况描述,,512,,
,\x00\x34,VAN0052,String字符串（变长）,,PSYCHOLOGY_STATE,一般心理状况描述,,512,,
,\x00\x35,VAN0053,String字符串（变长）,,SC_IS_UTERUS,子宫是否正常,jhcv_abnormal,1,,
,\x00\x36,VAN0054,String字符串（变长）,,OTHER_INFO,其他异常描述,,512,,
,\x00\x37,VAN0055,Date日期型（yyyy-mm-dd）（10个字节）,,NEXT_FOLLOW_DATE,下次随访日期,,,,
,\x00\x38,VAN0056,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x39,VAN0057,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x3A,VAN0058,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x3B,VAN0059,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x3C,VAN0060,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x3D,VAN0061,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x3E,VAN0062,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x3F,VAN0063,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x40,VAN0064,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x41,VAN0065,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x42,VAN0066,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
