索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_REGION_INFO,表全名,JHPDL:JH_RHHV_REGION_INFO,,,,,,
,表说明,网格地址(行政辖区网格),,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCT,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCT0001,String字符串（变长）,,REGION_INFO_SN,主键,,64,,
,\x00\x02,VCT0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCT0003,String字符串（变长）,,SC_REGION,网格地址编码,,25,,
,\x00\x04,VCT0004,String字符串（变长）,,REGION_NO,网格地址编号,,50,,
,\x00\x05,VCT0005,String字符串（变长）,,ST_REGION,网格地址名称,,400,,
,\x00\x06,VCT0006,String字符串（变长）,,PY_CODE,拼音检索码,,50,,
,\x00\x07,VCT0007,String字符串（变长）,,LEVEL_PROP,层次属性,,100,,
,\x00\x08,VCT0008,String字符串（变长）,,MAP_SIGN,地图物理标识,,10,,
,\x00\x09,VCT0009,String字符串（变长）,,MANA_DOCTOR,责任人,,20,,
,\x00\x0A,VCT0010,String字符串（变长）,,MANA_NURSE,责任护士,,20,,
,\x00\x0B,VCT0011,String字符串（变长）,,HEALTH_DOCTOR,公卫医生,,20,,
,\x00\x0C,VCT0012,String字符串（变长）,,REGION_ALIAS,网格地址简称,,30,,
,\x00\x0D,VCT0013,String字符串（变长）,,CDH_DOCTOR,儿保医生,,20,,
,\x00\x0E,VCT0014,String字符串（变长）,,MHC_DOCTOR,妇保医生,,20,,
,\x00\x0F,VCT0015,String字符串（变长）,,ORDER_NO,排列序号,,32,,
,\x00\x10,VCT0016,String字符串（变长）,,IS_BOTTOM,是否底层,,1,,
,\x00\x11,VCT0017,String字符串（变长）,,IS_FAMILY,是否为户,,1,,
,\x00\x12,VCT0018,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CY_LAST_MODIFY,最后修改时间,,,,
,\x00\x13,VCT0019,String字符串（变长）,,CY_FULL_NAME,全名,,600,,
,\x00\x14,VCT0020,String字符串（变长）,,CY_FULL_PY,全拼音,,600,,
,\x00\x15,VCT0021,String字符串（变长）,,CY_FULL_DIRTY,全名是否失效,,1,,
,\x00\x16,VCT0022,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,KETTLE_LAST_MODIFY,KETTLE_LASTMODIFY,,,,
,\x00\x17,VCT0023,String字符串（变长）,,PARENT_CODE,PARENTCODE,,25,,
,\x00\x18,VCT0024,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,业务主键结构,200,,
,\x00\x19,VCT0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最,,,
