索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_SIGNING_INFO,表全名,JHPDL:JH_RHHV_SIGNING_INFO,,,,,,
,表说明,签约基本信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCR,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCR0001,String字符串（变长）,,SIGNING_INFO_SN,主键,,64,,
,\x00\x02,VCR0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCR0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCR0004,String字符串（变长）,,ST_FAMILY_DOCTOR,签约人姓名,签约的家庭医生的姓名,20,,
,\x00\x05,VCR0005,String字符串（变长）,,SC_SEX,签约人性别编码,签约的家庭医生的性别识别码,1,,
,\x00\x06,VCR0006,String字符串（变长）,,ST_SEX,签约人性别编码,签约的家庭医生的性别识别码,16,,
,\x00\x07,VCR0007,String字符串（变长）,,SC_CERD_TYPE,签约证件类型编码,,2,,
,\x00\x08,VCR0008,String字符串（变长）,,ST_CERD_TYPE,签约证件类型名称,能够有证明意义的签约文件类型,64,,
,\x00\x09,VCR0009,String字符串（变长）,,ID_CARD,身份证号,居民的身份证号码,18,,
,\x00\x0A,VCR0010,String字符串（变长）,,SC_IS_GUARDIAN,是否使用监护人身份证号码,是否使用负有监护责任的人的身份证号码,1,,
,\x00\x0B,VCR0011,String字符串（变长）,,GUARDIAN_ID_CARD,监护人身份证号,负有监护责任的人的身份证号码,18,,
,\x00\x0C,VCR0012,String字符串（变长）,,FAMILY_DOCTOR_PHONE,签约人联系电话,签约的家庭医生的联系电话,20,,
,\x00\x0D,VCR0013,String字符串（变长）,,SC_IS_FILE,是否建档,是否创建健康档案,1,,
,\x00\x0E,VCR0014,String字符串（变长）,,SC_IS_RELATED_HEALTH_RECORDS,是否关联健康档案,是否关联健康档案,1,,
,\x00\x0F,VCR0015,String字符串（变长）,,SC_IS_HOUSEHOLD,是否是户主,是否是户籍上的一家之主,1,,
,\x00\x10,VCR0016,String字符串（变长）,,HOUSEHOLD_PATIENT_ID,户主编号,户籍上的一家之主的编定的号码,128,,
,\x00\x11,VCR0017,String字符串（变长）,,AGR_COOPERATION_FAMILY_CODE,农合家庭编码,农村合作医疗家庭的编码,50,,
,\x00\x12,VCR0018,String字符串（变长）,,AGR_COOPERATION_SELF_CODE,农合人员编码,农村合作医疗人员的编码,50,,
,\x00\x13,VCR0019,String字符串（变长）,,SC_CHILDREN_FLAG,儿童标识,用来识别儿童的标志,1,,
,\x00\x14,VCR0020,String字符串（变长）,,SC_MATERNAL_FLAG,孕产妇标识,用来识别刚怀孕到孩子刚出生一个月的妇女的标识,1,,
,\x00\x15,VCR0021,String字符串（变长）,,SC_ELDER_FLAG,老年人标识,用来识别是否是老年人的标识,1,,
,\x00\x16,VCR0022,String字符串（变长）,,SC_HYPERTENSION_FLAG,高血压标识,用来识别是否是高血压的标识,1,,
,\x00\x17,VCR0023,String字符串（变长）,,SC_DIABETES_FLAG,糖尿病标识,用来识别是否是糖尿病的标识,1,,
,\x00\x18,VCR0024,String字符串（变长）,,SC_SMI_FLAG,重性精神病标识,用来识别是否是重性精神病患者的标识,1,,
,\x00\x19,VCR0025,String字符串（变长）,,SC_PHTHISIS_FLAG,肺结核标识,用来识别是否是肺结核患者的标识,1,,
,\x00\x1A,VCR0026,String字符串（变长）,,SC_DISTRESS_FLAG,贫困标识,用来识别经济上贫乏的标识,1,,
,\x00\x1B,VCR0027,String字符串（变长）,,OTHER_INFO,其他,其他的一些标识项说明,32,,
,\x00\x1C,VCR0028,String字符串（变长）,,SC_DEATH_STATUS,死亡状态编码,,1,,
,\x00\x1D,VCR0029,String字符串（变长）,,ST_DEATH_STATUS,死亡状态名称,丧失生命体征的状态,32,,
,\x00\x1E,VCR0030,String字符串（变长）,,SC_INPUT_MODE,录入方式编码,,1,,
,\x00\x1F,VCR0031,String字符串（变长）,,ST_INPUT_MODE,录入方式名称,指以什么证明方式存录进健康档案,32,,
,\x00\x20,VCR0032,String字符串（变长）,,SC_IS_STATUS,是否签约状态代码,家庭医生是否签约代码,1,,
,\x00\x21,VCR0033,String字符串（变长）,,SC_SERVICE_PACK_TYPE,服务包类型编码,,10,,
,\x00\x22,VCR0034,String字符串（变长）,,ST_SERVICE_PACK_TYPE,服务包类型名称,家庭签约医生服务提供的一系列产品和服务的组合,64,,
,\x00\x23,VCR0035,String字符串（变长）,,SC_SERVICE_PACK_CODE,服务包编码,,128,,
,\x00\x24,VCR0036,String字符串（变长）,,ST_SERVICE_PACK_NAME,服务包名称,家庭签约医生服务提供的一系列产品和服务的组合名称,128,,
,\x00\x25,VCR0037,String字符串（变长）,,SERVICE_PACK_CONTENT,服务包服务内容,家庭签约医生服务提供的一系列产品和服务的具体内容事项,128,,
,\x00\x26,VCR0038,String字符串（变长）,,SC_IS_SERVICE_PACK_REIM,服务包是否有偿,提供的一系列产品和服务的一方是否可从被服务方获取补偿,1,,
,\x00\x27,VCR0039,String字符串（变长）,,SC_IS_SERVICE_PACK_EXECUTE,服务包项目执行是否完成,服务包项目是否已经执行完毕,1,,
,\x00\x28,VCR0040,String字符串（变长）,,SIGNING_MODE,签约模式,家庭医生签约标准样式，“1+1”或“1+1+1”,128,,
,\x00\x29,VCR0041,String字符串（变长）,,SC_EXECUTE_STATUS,签约执行状态,家庭医生签约是否已提交或审核,1,,
,\x00\x2A,VCR0042,Date日期型（yyyy-mm-dd）（10个字节）,,SIGNING_TIME,签约时间,家庭医生签约的日期,,,
,\x00\x2B,VCR0043,Date日期型（yyyy-mm-dd）（10个字节）,,DISSOLUTION_TIME,解约时间,家庭医生解除合约的日期,,,
,\x00\x2C,VCR0044,String字符串（变长）,,SC_REGION,地区编码,行政划分单位编码,32,,
,\x00\x2D,VCR0045,String字符串（变长）,,ST_REGION,地区名称,行政化分单位名称,512,,
,\x00\x2E,VCR0046,String字符串（变长）,,SC_SIGNING_FORM,签约形式编码,,1,,
,\x00\x2F,VCR0047,String字符串（变长）,,ST_SIGNING_FORM,签约形式名称,以什么为单位进行签约,32,,
,\x00\x30,VCR0048,String字符串（变长）,,SC_IS_SERVICE_PACK_FINISH,服务包是否完成,提供一系列产品和服务的措施是否已完成,1,,
,\x00\x31,VCR0049,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x32,VCR0050,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x33,VCR0051,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x34,VCR0052,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x35,VCR0053,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x36,VCR0054,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x37,VCR0055,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x38,VCR0056,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x39,VCR0057,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x3A,VCR0058,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x3B,VCR0059,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
