索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_VACC_RECORD,表全名,JHPDL:JH_RHHV_VACC_RECORD,,,,,,
,表说明,接种记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBV,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBV0001,String字符串（变长）,,VACC_RECORD_SN,主键,,64,,
,\x00\x02,VBV0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBV0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBV0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VBV0005,String字符串（变长）,,RECORD_ID,记录编号,,16,,
,\x00\x06,VBV0006,String字符串（变长）,,SC_IMMUNE_TYPE,免疫类型编码,,1,,
,\x00\x07,VBV0007,String字符串（变长）,,ST_IMMUNE_TYPE,免疫类型名称,,64,,
,\x00\x08,VBV0008,String字符串（变长）,,SC_VACCINE,疫苗名称代码,,4,,
,\x00\x09,VBV0009,String字符串（变长）,,ST_VACCINE,疫苗名称,,64,,
,\x00\x0A,VBV0010,String字符串（变长）,,TIMES_INFO,针次,,10,,
,\x00\x0B,VBV0011,Date日期型（yyyy-mm-dd）（10个字节）,,PLAN_DATE,应接日期,,,,
,\x00\x0C,VBV0012,Date日期型（yyyy-mm-dd）（10个字节）,,VACCINATE_DATE,接种日期,,,,
,\x00\x0D,VBV0013,String字符串（变长）,,VACCINE_BN,疫苗-批号,,32,,
,\x00\x0E,VBV0014,String字符串（变长）,,SC_VACCINE_MANU,疫苗生产厂家代码,,2,,
,\x00\x0F,VBV0015,String字符串（变长）,,ST_VACCINE_MANU,疫苗生产厂家,,128,,
,\x00\x10,VBV0016,String字符串（变长）,,VACCINATE_USER,疫苗接种者姓名,,32,,
,\x00\x11,VBV0017,String字符串（变长）,,VACCINATE_UNIT,疫苗接种单位名称,,70,,
,\x00\x12,VBV0018,String字符串（变长）,,SC_REACTION,预防接种后不良反应症状编码,,2,,
,\x00\x13,VBV0019,String字符串（变长）,,ST_REACTION,预防接种后不良反应症状名称,,128,,
,\x00\x14,VBV0020,Date日期型（yyyy-mm-dd）（10个字节）,,REACTION_DATE,预防接种后不良反应发生日期,,,,
,\x00\x15,VBV0021,String字符串（变长）,,REACTION_TREAT,预防接种后不良反应处理结果,,512,,
,\x00\x16,VBV0022,String字符串（变长）,,VACCINATE_PLACE,接种地点,,128,,
,\x00\x17,VBV0023,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x18,VBV0024,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x19,VBV0025,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x1A,VBV0026,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x1B,VBV0027,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x1C,VBV0028,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x1D,VBV0029,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x1E,VBV0030,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x1F,VBV0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x20,VBV0032,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x21,VBV0033,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
