索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_WOMAN_PREFIRSTVISIT,表全名,JHPDL:JH_RHHV_WOMAN_PREFIRSTVISIT,,,,,,
,表说明,第一次产前随访服务信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCX,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCX0001,String字符串（变长）,,WOMAN_PREFIRSTVISIT_SN,主键,,64,,
,\x00\x02,VCX0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCX0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VCX0004,String字符串（变长）,,PREN_VISIT_FORM_NO,产前随访记录表单编号,,128,,
,\x00\x05,VCX0005,String字符串（变长）,,NAME,本人姓名,,64,,
,\x00\x06,VCX0006,String字符串（变长）,,AGE,年龄,,16,,
,\x00\x07,VCX0007,Date日期型（yyyy-mm-dd）（10个字节）,,FILL_IN_DATE,填写日期,,,,
,\x00\x08,VCX0008,String字符串（变长）,,GEST_WEEKS,孕周(周),,16,,
,\x00\x09,VCX0009,Date日期型（yyyy-mm-dd）（10个字节）,,BIRTH_DATE,出生日期,,,,
,\x00\x0A,VCX0010,String字符串（变长）,,HUSBAND_NAME,丈夫姓名,,128,,
,\x00\x0B,VCX0011,String字符串（变长）,,HUSBAND_TEL_NO,丈夫电话号码,,128,,
,\x00\x0C,VCX0012,Date日期型（yyyy-mm-dd）（10个字节）,,HUSBAND_BIRTH_DATE,丈夫出生日期,,,,
,\x00\x0D,VCX0013,String字符串（变长）,,GRAVIDITY,孕次,,16,,
,\x00\x0E,VCX0014,String字符串（变长）,,PARITY,产次,,16,,
,\x00\x0F,VCX0015,String字符串（变长）,,VAGINAL_DELIVERY_TIMES,阴道分娩次数(次),,16,,
,\x00\x10,VCX0016,String字符串（变长）,,C_SECT_DELIVERY_TIMES,剖宫产次数(次),,16,,
,\x00\x11,VCX0017,String字符串（变长）,,SC_LAST_MENSES,末次月经日期明确编码,jhcv_last_menses,1,,
,\x00\x12,VCX0018,String字符串（变长）,,ST_LAST_MENSES,末次月经日期明确名称,,32,,
,\x00\x13,VCX0019,Date日期型（yyyy-mm-dd）（10个字节）,,MENSES_LAST_DATE,末次月经日期,,,,
,\x00\x14,VCX0020,Date日期型（yyyy-mm-dd）（10个字节）,,EXPECTED_CHILDBIRTH_DATE,预产期,,,,
,\x00\x15,VCX0021,String字符串（变长）,,SC_GYN_OP_HISTORY,妇科手术史编码,jhcv_yes_no,1,,
,\x00\x16,VCX0022,String字符串（变长）,,ST_GYN_OP_HISTORY,妇科手术史名称,,16,,
,\x00\x17,VCX0023,String字符串（变长）,,GYN_OP_HISTORY,妇科手术史描述,,1000,,
,\x00\x18,VCX0024,String字符串（变长）,,SC_FAMILY_HISTORY,家族史编码,jhcv_home_history,1,,
,\x00\x19,VCX0025,String字符串（变长）,,ST_FAMILY_HISTORY,家族史名称,,16,,
,\x00\x1A,VCX0026,String字符串（变长）,,FAMILY_HISTORY,家族史描述,,64,,
,\x00\x1B,VCX0027,String字符串（变长）,,GEST_COMPLICATION,妊娠合并症/并发症史,,100,,
,\x00\x1C,VCX0028,String字符串（变长）,,PERSON_ABORTION_TIMES,人工流产次数,,16,,
,\x00\x1D,VCX0029,String字符串（变长）,,ABORTION_TIMES,自然流产次数(次),,16,,
,\x00\x1E,VCX0030,String字符串（变长）,,STILLBIRTH_NUM,死产例数,,16,,
,\x00\x1F,VCX0031,String字符串（变长）,,DEAD_FETUS_NUM,死胎例数,,16,,
,\x00\x20,VCX0032,String字符串（变长）,,NEWBORN_DEATH_NUM,新生儿死亡例数,,16,,
,\x00\x21,VCX0033,String字符串（变长）,,BIRTH_DEFECT_COUNT,出生缺陷儿例数,,16,,
,\x00\x22,VCX0034,String字符串（变长）,,HEIGHT,身高(cm),,16,,
,\x00\x23,VCX0035,String字符串（变长）,,WEIGHT,体重(kg),,16,,
,\x00\x24,VCX0036,String字符串（变长）,,BMI,体质指数,,16,,
,\x00\x25,VCX0037,String字符串（变长）,,SBP,收缩压(mmHg),,16,,
,\x00\x26,VCX0038,String字符串（变长）,,DBP,舒张压(mmHg),,16,,
,\x00\x27,VCX0039,String字符串（变长）,,CHIEF_COMPLAINT,主诉,,2000,,
,\x00\x28,VCX0040,String字符串（变长）,,SC_LUNG_ABNORM_MARK,肺部听诊异常编码,jhcv_abnormal,1,,
,\x00\x29,VCX0041,String字符串（变长）,,ST_LUNG_ABNORM_MARK,肺部听诊异常名称,,16,,
,\x00\x2A,VCX0042,String字符串（变长）,,LUNG_ABNORM_DESCR,肺部听诊异常结果描述,,100,,
,\x00\x2B,VCX0043,String字符串（变长）,,SC_HEART_ABNORM_MARK,心脏听诊异常编码,jhcv_abnormal,1,,
,\x00\x2C,VCX0044,String字符串（变长）,,ST_HEART_ABNORM_MARK,心脏听诊异常名称,,16,,
,\x00\x2D,VCX0045,String字符串（变长）,,HEART_ABNORM_DESCR,心脏听诊异常结果描述,,200,,
,\x00\x2E,VCX0046,String字符串（变长）,,SC_VULVA_ABNORM,外阴异常编码,jhcv_abnormal,1,,
,\x00\x2F,VCX0047,String字符串（变长）,,ST_VULVA_ABNORM,外阴异常名称,,16,,
,\x00\x30,VCX0048,String字符串（变长）,,VULVA_ABNORM_DESCR,外阴异常描述,,100,,
,\x00\x31,VCX0049,String字符串（变长）,,SC_VAGINA_ABNORM,阴道异常编码,jhcv_abnormal,1,,
,\x00\x32,VCX0050,String字符串（变长）,,ST_VAGINA_ABNORM,阴道异常名称,,16,,
,\x00\x33,VCX0051,String字符串（变长）,,VAGINA_ABNORM_DESCR,阴道异常描述,,100,,
,\x00\x34,VCX0052,String字符串（变长）,,SC_CERVIX_ABNORM,宫颈异常编码,jhcv_abnormal,1,,
,\x00\x35,VCX0053,String字符串（变长）,,ST_CERVIX_ABNORM,宫颈异常名称,,16,,
,\x00\x36,VCX0054,String字符串（变长）,,CERVIX_ABNORM_DESCR,宫颈异常描述,,100,,
,\x00\x37,VCX0055,String字符串（变长）,,SC_CORPUSUTERI_ABNORM,宫体异常编码,jhcv_abnormal,1,,
,\x00\x38,VCX0056,String字符串（变长）,,ST_CORPUSUTERI_ABNORM,宫体异常名称,,16,,
,\x00\x39,VCX0057,String字符串（变长）,,CORPUSUTERI_ABNORM_DESCR,宫体异常描述,,100,,
,\x00\x3A,VCX0058,String字符串（变长）,,SC_ADNEXA_ABNORM,附件异常编码,jhcv_abnormal,1,,
,\x00\x3B,VCX0059,String字符串（变长）,,ST_ADNEXA_ABNORM,附件异常名称,,16,,
,\x00\x3C,VCX0060,String字符串（变长）,,ADNEXA_ABNORM_DESCR,附件异常描述,,100,,
,\x00\x3D,VCX0061,String字符串（变长）,,HGB,血红蛋白值(g/L),,16,,
,\x00\x3E,VCX0062,String字符串（变长）,,WBC,白细胞计数值(G/L),,16,,
,\x00\x3F,VCX0063,String字符串（变长）,,PLT,血小板计数值(G/L),,16,,
,\x00\x40,VCX0064,String字符串（变长）,,PRO_QUAN_TEST_VALUE,尿蛋白定量检测值(mg/24h),,16,,
,\x00\x41,VCX0065,String字符串（变长）,,SC_PRO_QUAL_RESULT,尿蛋白定性检测结果代码,,2,,
,\x00\x42,VCX0066,String字符串（变长）,,ST_PRO_QUAL_RESULT,尿蛋白定性检测结果健名称,,16,,
,\x00\x43,VCX0067,String字符串（变长）,,SC_GLU_QUAL_RESULT,尿糖定性检测结果代码,,2,,
,\x00\x44,VCX0068,String字符串（变长）,,ST_GLU_QUAL_RESULT,尿糖定性检测结果名称,,16,,
,\x00\x45,VCX0069,String字符串（变长）,,GLU_QUAN_TEST_VALUE,尿糖定量检测(mmol/L),,16,,
,\x00\x46,VCX0070,String字符串（变长）,,SC_KET_QUAL_RESULT,尿酮体定性检测结果代码,,2,,
,\x00\x47,VCX0071,String字符串（变长）,,ST_KET_QUAL_RESULT,尿酮体定性检测结果名称,,16,,
,\x00\x48,VCX0072,String字符串（变长）,,SC_UOB_TEST_RESULT,尿潜血检测结果代码,,2,,
,\x00\x49,VCX0073,String字符串（变长）,,ST_UOB_TEST_RESULT,尿潜血检测结果名称,,16,,
,\x00\x4A,VCX0074,String字符串（变长）,,SC_ABO,ABO血型代码,,1,,
,\x00\x4B,VCX0075,String字符串（变长）,,ST_ABO,ABO血型名称,,16,,
,\x00\x4C,VCX0076,String字符串（变长）,,SC_RH,Rh血型代码,,1,,
,\x00\x4D,VCX0077,String字符串（变长）,,ST_RH,Rh血型名称,,16,,
,\x00\x4E,VCX0078,String字符串（变长）,,GLU,血糖检测值(mmol/L),,16,,
,\x00\x4F,VCX0079,String字符串（变长）,,SGPT,血清谷丙转氨酶值(U/L),,16,,
,\x00\x50,VCX0080,String字符串（变长）,,AST,血清谷草转氨酶值(U/L),,16,,
,\x00\x51,VCX0081,String字符串（变长）,,ALB,白蛋白浓度(g/L),,16,,
,\x00\x52,VCX0082,String字符串（变长）,,TBI,总胆红素值(μmol/L),,16,,
,\x00\x53,VCX0083,String字符串（变长）,,DBIL,结合胆红素值(μmol/L),,16,,
,\x00\x54,VCX0084,String字符串（变长）,,BUN,血尿素氮检测值(mmol/L),,16,,
,\x00\x55,VCX0085,String字符串（变长）,,SCR,血肌酐值(μmol/L),,16,,
,\x00\x56,VCX0086,String字符串（变长）,,SC_WVD_EXAM_RESULT,阴道分泌物检查结果代码,cv04_50_019,1,,
,\x00\x57,VCX0087,String字符串（变长）,,ST_WVD_EXAM_RESULT,阴道分泌物检查结果名称,,16,,
,\x00\x58,VCX0088,String字符串（变长）,,WVD_EXAM_DESC,阴道分泌物检查结果描述,,32,,
,\x00\x59,VCX0089,String字符串（变长）,,SC_WVD_CLEAN,阴道分泌物淸洁度代码,cv04_50_010,1,,
,\x00\x5A,VCX0090,String字符串（变长）,,ST_WVD_CLEAN,阴道分泌物淸洁度名称,,16,,
,\x00\x5B,VCX0091,String字符串（变长）,,SC_HBEAB_TEST_RESULT,乙型肝炎病毒e抗体检测结果代码,jhcv_yes_no,1,,
,\x00\x5C,VCX0092,String字符串（变长）,,SC_HBEAG_TEST_RESULT,乙型肝炎病毒e抗原检测结果代码,jhcv_yes_no,1,,
,\x00\x5D,VCX0093,String字符串（变长）,,SC_HBSAB_TEST_RESULT,乙型肝炎病毒表面抗体检测结果代码,jhcv_yes_no,1,,
,\x00\x5E,VCX0094,String字符串（变长）,,SC_HBSAG_TEST_RESULT,乙型肝炎病毒表面抗原检测结果代码,jhcv_yes_no,1,,
,\x00\x5F,VCX0095,String字符串（变长）,,SC_HBCAB_TEST_RESULT,乙型肝炎病毒核心抗体检测结果代码,jhcv_yes_no,1,,
,\x00\x60,VCX0096,String字符串（变长）,,SC_STS_RESULT,梅毒血清学试验结果代码,jhcv_negative_positive_result,1,,
,\x00\x61,VCX0097,String字符串（变长）,,ST_STS_RESULT,梅毒血清学试验结果名称,,16,,
,\x00\x62,VCX0098,String字符串（变长）,,SC_HIV_ANTI_RESULT,HIV抗体检测结果代码,jhcv_negative_positive_result,1,,
,\x00\x63,VCX0099,String字符串（变长）,,ST_HIV_ANTI_RESULT,HIV抗体检测结果名称,,16,,
,\x00\x64,VCX0100,String字符串（变长）,,BSCAN_RESULT_DESCR,B超检查结果,,200,,
,\x00\x65,VCX0101,String字符串（变长）,,SC_PREG_HEALTH_ABNORM,孕产妇健康评估异常编码,jhcv_abnormal,1,,
,\x00\x66,VCX0102,String字符串（变长）,,ST_PREG_HEALTH_ABNORM,孕产妇健康评估异常名称,,16,,
,\x00\x67,VCX0103,String字符串（变长）,,PREG_HEALTH_ABNORM_DESCR,孕产妇健康评估异常结果描述,,100,,
,\x00\x68,VCX0104,String字符串（变长）,,SC_GUIDE,保健指导编码,cv06_00_219,8,,
,\x00\x69,VCX0105,String字符串（变长）,,ST_GUIDE,保健指导名称,,16,,
,\x00\x6A,VCX0106,String字符串（变长）,,GUIDE_DESC,保健指导描述,,200,,
,\x00\x6B,VCX0107,String字符串（变长）,,SC_BUILD,建册情况编码,jhcv_create_document,8,,
,\x00\x6C,VCX0108,String字符串（变长）,,ST_BUILD,建册情况名称,,16,,
,\x00\x6D,VCX0109,String字符串（变长）,,SC_REFERRAL,转诊编码,jhcv_yes_no,1,,
,\x00\x6E,VCX0110,String字符串（变长）,,ST_REFERRAL,转诊名称,,16,,
,\x00\x6F,VCX0111,String字符串（变长）,,REFERTO_ORG_NAME,转入医疗机构名称,,70,,
,\x00\x70,VCX0112,String字符串（变长）,,REFERTO_DEPT_NAME,转入机构科室名称,,50,,
,\x00\x71,VCX0113,String字符串（变长）,,REFERRAL_REASON,转诊原因,,100,,
,\x00\x72,VCX0114,String字符串（变长）,,VISIT_DOCTOR_NAME,访视医师姓名,,128,,
