索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_WOMAN_PREFIRST_PERSONAL,表全名,JHPDL:JH_RHHV_WOMAN_PREFIRST_PERSONAL,,,,,,
,表说明,第一次产前随访服务信息_个人史,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VCY,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VCY0001,String字符串（变长）,,WOMAN_PREFIRST_PERSONAL_SN,主键,,64,,
,\x00\x02,VCY0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VCY0003,String字符串（变长）,,SC_ORG,组织机构代码,,32,,
,\x00\x04,VCY0004,String字符串（变长）,,ST_ORG,组织机构名称,,16,,
,\x00\x05,VCY0005,String字符串（变长）,,PREN_VISIT_FORM_NO,产前随访记录表单编号,,128,,
,\x00\x06,VCY0006,String字符串（变长）,,ID,序列号,,128,,
,\x00\x07,VCY0007,String字符串（变长）,,SC_HARM_FACTOR,接触有害因素类别编码,cv03_00_116,1,,
,\x00\x08,VCY0008,String字符串（变长）,,ST_HARM_FACTOR,接触有害因素类别名称,,32,,
,\x00\x09,VCY0009,String字符串（变长）,,HARM_FACTOR_DESC,接触有害因素类别描述,,32,,
,\x00\x0A,VCY0010,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x0B,VCY0011,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x0C,VCY0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x0D,VCY0013,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x0E,VCY0014,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x0F,VCY0015,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,255,,
,\x00\x10,VCY0016,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x11,VCY0017,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,255,,
,\x00\x12,VCY0018,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x13,VCY0019,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x14,VCY0020,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
