索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_WOMEN_ARCHIVES,表全名,JHPDL:JH_RHHV_WOMEN_ARCHIVES,,,,,,
,表说明,孕妇档案表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBG,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBG0001,String字符串（变长）,,WOMEN_ARCHIVES_SN,主键,,64,,
,\x00\x02,VBG0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBG0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBG0004,String字符串（变长）,,ARCHIVE_ID,孕妇档案号,,32,,
,\x00\x05,VBG0005,String字符串（变长）,,SC_REST_REGION,产休地编码,,25,,
,\x00\x06,VBG0006,String字符串（变长）,,ST_REST_REGION,产休地名称,,25,,
,\x00\x07,VBG0007,String字符串（变长）,,SC_HOME_REAL_REGION,居(暂)住地址编码,,25,,
,\x00\x08,VBG0008,String字符串（变长）,,ST_HOME_REAL_REGION,居(暂)住地址名称,,25,,
,\x00\x09,VBG0009,String字符串（变长）,,OWNER_AREA,孕妇归属地,,16,,
,\x00\x0A,VBG0010,Date日期型（yyyy-mm-dd）（10个字节）,,RESIDENCE_PERMIT,办居住证日期,,,,
,\x00\x0B,VBG0011,String字符串（变长）,,CYCLE_INFO,周期,,32,,
,\x00\x0C,VBG0012,String字符串（变长）,,MENSTRUAL_BLOOD,月经量,,32,,
,\x00\x0D,VBG0013,String字符串（变长）,,DYSMENORRHEA_INFO,痛经,,32,,
,\x00\x0E,VBG0014,Date日期型（yyyy-mm-dd）（10个字节）,,LAST_MENSTRUAL_PERIOD,末次月经时间,,,,
,\x00\x0F,VBG0015,Date日期型（yyyy-mm-dd）（10个字节）,,EXPECTED_DATE,预产期,,,,
,\x00\x10,VBG0016,String字符串（变长）,,GRAVIDITY_INFO,孕次,,32,,
,\x00\x11,VBG0017,String字符串（变长）,,PARITY_INFO,产次,,32,,
,\x00\x12,VBG0018,String字符串（变长）,,TRAFFICFLOW_NUM,人工流产次数,,32,,
,\x00\x13,VBG0019,String字符串（变长）,,NATURAL_ABORTION_NUM,自然流产次数,,32,,
,\x00\x14,VBG0020,String字符串（变长）,,ODINOPOEIA_NUM,中期引产次数,,32,,
,\x00\x15,VBG0021,String字符串（变长）,,PRETERM_NUM,早产次数,,32,,
,\x00\x16,VBG0022,String字符串（变长）,,DYSTOCIA_NUM,难产次数,,32,,
,\x00\x17,VBG0023,String字符串（变长）,,DIED_NUM,死胎死产次数,,32,,
,\x00\x18,VBG0024,String字符串（变长）,,ABNORMALITY_NUM,畸形儿次数,,32,,
,\x00\x19,VBG0025,String字符串（变长）,,NEWBRON_DIED_NUM,死亡儿次数,,32,,
,\x00\x1A,VBG0026,String字符串（变长）,,DRUG_ABORTION_NUM,药物流产次数,,32,,
,\x00\x1B,VBG0027,String字符串（变长）,,ECTOPIC_PREGNANCY_NUM,宫外孕次数,,32,,
,\x00\x1C,VBG0028,String字符串（变长）,,VESICULAR_MOLE_NUM,葡萄胎次数,,32,,
,\x00\x1D,VBG0029,String字符串（变长）,,ABNORMAL_PREGNANCY_CHILDBIRTH,异常孕产史,,128,,
,\x00\x1E,VBG0030,Date日期型（yyyy-mm-dd）（10个字节）,,PREVIOUS_PREGNANCY_DATE,前妊娠终止日,,,,
,\x00\x1F,VBG0031,String字符串（变长）,,PREGNANCY_TERMINATION_MODE,终止方式,,32,,
,\x00\x20,VBG0032,Date日期型（yyyy-mm-dd）（10个字节）,,PRE_DELIVERY_DATE,前次分娩日期,,,,
,\x00\x21,VBG0033,String字符串（变长）,,SC_DELIVERY_MODE,分娩方式编码,,32,,
,\x00\x22,VBG0034,String字符串（变长）,,ST_DELIVERY_MODE,分娩方式名称,,32,,
,\x00\x23,VBG0035,String字符串（变长）,,GESTATION_HISTORY,妊娠并发症史,,32,,
,\x00\x24,VBG0036,String字符串（变长）,,PAST_HISTORY,既往病史,,512,,
,\x00\x25,VBG0037,String字符串（变长）,,FAMILY_HISTORY,家族史,,512,,
,\x00\x26,VBG0038,String字符串（变长）,,SURGICAL_HISTORY,手术史,,512,,
,\x00\x27,VBG0039,String字符串（变长）,,GYNECOLOGYOPS_HISTORY,妇科手术史,,512,,
,\x00\x28,VBG0040,String字符串（变长）,,ALLERGIC_HISTORY,过敏史,,512,,
,\x00\x29,VBG0041,String字符串（变长）,,POISON_TOUCH_HISTORY,毒物接触史,,512,,
,\x00\x2A,VBG0042,String字符串（变长）,,WEIGHT_INFO,基础体重(KG),,32,,
,\x00\x2B,VBG0043,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x2C,VBG0044,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x2D,VBG0045,String字符串（变长）,,HEIGHT_INFO,身高(CM),,32,,
,\x00\x2E,VBG0046,String字符串（变长）,,HEREDITY_FAMILY_HISTORY,遗传家族史,,128,,
,\x00\x2F,VBG0047,String字符串（变长）,,HUSBAND_ARCHIVE_ID,丈夫健康档案,,32,,
,\x00\x30,VBG0048,String字符串（变长）,,HUSBAND_FAMILY_HISTORY,丈夫家族史,,128,,
,\x00\x31,VBG0049,String字符串（变长）,,SC_REGIST_ORG,建册单位编号,,16,,
,\x00\x32,VBG0050,String字符串（变长）,,ST_REGIST_ORG,建册单位名称,,16,,
,\x00\x33,VBG0051,String字符串（变长）,,SC_REGIST_DOCTOR,建册医生编码,,32,,
,\x00\x34,VBG0052,String字符串（变长）,,ST_REGISTD_OCTOR,建册医生名称,,32,,
,\x00\x35,VBG0053,Date日期型（yyyy-mm-dd）（10个字节）,,REGIST_DATE,建册日期,,,,
,\x00\x36,VBG0054,String字符串（变长）,,GESTATIONAL_WEEKS,建册孕周,,32,,
,\x00\x37,VBG0055,String字符串（变长）,,STATUS_INFO,监测状态,,1,,
,\x00\x38,VBG0056,String字符串（变长）,,PREGNANT_BOOK_ID,孕册号,,64,,
,\x00\x39,VBG0057,String字符串（变长）,,MENARCHE_AGE,初潮年龄,,32,,
,\x00\x3A,VBG0058,String字符串（变长）,,SC_ORG,管辖机构编码,,16,,
,\x00\x3B,VBG0059,String字符串（变长）,,ST_ORG,管辖机构名称,,16,,
,\x00\x3C,VBG0060,String字符串（变长）,,SC_MHC_DOCTOR,妇保医生编码,,32,,
,\x00\x3D,VBG0061,String字符串（变长）,,ST_MHC_DOCTOR,妇保医生名称,,32,,
,\x00\x3E,VBG0062,String字符串（变长）,,SC_DOCTOR,责任医生编码,,32,,
,\x00\x3F,VBG0063,String字符串（变长）,,ST_DOCTOR,责任医生名称,,32,,
,\x00\x40,VBG0064,String字符串（变长）,,MENSTRUAL_PERIOD,经期(天),,32,,
,\x00\x41,VBG0065,String字符串（变长）,,REGIST_HOME_ADDRESS,户籍地址,,25,,
,\x00\x42,VBG0066,String字符串（变长）,,SC_RESIDENCE,居(暂)住证号码,,32,,
,\x00\x43,VBG0067,String字符串（变长）,,ST_RESIDENCE,居(暂)住证号码,,32,,
,\x00\x44,VBG0068,String字符串（变长）,,CANCELLATION_USER,注销人,,32,,
,\x00\x45,VBG0069,Date日期型（yyyy-mm-dd）（10个字节）,,CANCELLATION_DATE,注销日期,,,,
,\x00\x46,VBG0070,String字符串（变长）,,SC_CANCELLATION_ORG,注销机构编码,,16,,
,\x00\x47,VBG0071,String字符串（变长）,,ST_CANCELLATION_ORG,注销机构名称,,16,,
,\x00\x48,VBG0072,String字符串（变长）,,CANCELLATION_REASON,注销原因,,32,,
,\x00\x49,VBG0073,String字符串（变长）,,DEAD_REASON,死亡原因,,128,,
,\x00\x4A,VBG0074,String字符串（变长）,,SC_OTHER_REGION,其他地区编码,,32,,
,\x00\x4B,VBG0075,String字符串（变长）,,ST_OTHER_REGION,其他地区名称,,512,,
,\x00\x4C,VBG0076,String字符串（变长）,,HOME_ADDRESS,家庭地址,,512,,
,\x00\x4D,VBG0077,String字符串（变长）,,SC_REAL_REGION,真实区域编码,,32,,
,\x00\x4E,VBG0078,String字符串（变长）,,ST_REAL_REGION,真实区域名称,,512,,
,\x00\x4F,VBG0079,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x50,VBG0080,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x51,VBG0081,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x52,VBG0082,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x53,VBG0083,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,64,,
,\x00\x54,VBG0084,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x55,VBG0085,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x56,VBG0086,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x57,VBG0087,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x58,VBG0088,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x59,VBG0089,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
