索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_WOMEN_BASE,表全名,JHPDL:JH_RHHV_WOMEN_BASE,,,,,,
,表说明,妇女基本信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBD,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBD0001,String字符串（变长）,,WOMEN_BASE_SN,主键,,64,,
,\x00\x02,VBD0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBD0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBD0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VBD0005,String字符串（变长）,,MENARCHE_AGE,初潮年龄,,32,,
,\x00\x06,VBD0006,String字符串（变长）,,CYCLE_INFO,周期,,32,,
,\x00\x07,VBD0007,String字符串（变长）,,MENSTRUAL_BLOOD,月经量,,32,,
,\x00\x08,VBD0008,String字符串（变长）,,DYSMENORRHEA_INFO,痛经,,32,,
,\x00\x09,VBD0009,String字符串（变长）,,GRAVIDITY_INFO,孕次,,32,,
,\x00\x0A,VBD0010,String字符串（变长）,,PARITY_INFO,产次,,32,,
,\x00\x0B,VBD0011,String字符串（变长）,,TRAFFICFLOW_NUM,人工流产次数,,32,,
,\x00\x0C,VBD0012,String字符串（变长）,,NATURAL_ABORTION_NUM,自然流产次数,,32,,
,\x00\x0D,VBD0013,String字符串（变长）,,ODINOPOEIA_NUM,中期引产次数,,32,,
,\x00\x0E,VBD0014,String字符串（变长）,,PRETERM_NUM,早产次数,,32,,
,\x00\x0F,VBD0015,String字符串（变长）,,DYSTOCIA_NUM,难产次数,,32,,
,\x00\x10,VBD0016,String字符串（变长）,,DIED_NUM,死胎死产次数,,32,,
,\x00\x11,VBD0017,String字符串（变长）,,ABNORMALITY_NUM,生育畸形儿次数,,32,,
,\x00\x12,VBD0018,String字符串（变长）,,NEWBRON_DEAD_NUM,新生儿死亡次数,,32,,
,\x00\x13,VBD0019,String字符串（变长）,,DRUG_ABORTION_NUM,药物流产次数,,32,,
,\x00\x14,VBD0020,String字符串（变长）,,ECTOPIC_PREGNANCY_NUM,宫外孕次数,,32,,
,\x00\x15,VBD0021,String字符串（变长）,,VESICULAR_MOLE_NUM,葡萄胎次数,,32,,
,\x00\x16,VBD0022,String字符串（变长）,,GYNECOLOGICAL_HISTORY,妇科手术史,,128,,
,\x00\x17,VBD0023,String字符串（变长）,,SC_ORG,管辖机构编码,,16,,
,\x00\x18,VBD0024,String字符串（变长）,,ST_ORG,管辖机构名称,,16,,
,\x00\x19,VBD0025,String字符串（变长）,,SC_MHC_DOCTOR,妇保医生编码,,32,,
,\x00\x1A,VBD0026,String字符串（变长）,,ST_MHC_DOCTOR,妇保医生名称,,32,,
,\x00\x1B,VBD0027,String字符串（变长）,,SC_DOCTOR,责任医生编码,,32,,
,\x00\x1C,VBD0028,String字符串（变长）,,ST_DOCTOR,责任医生名称,,32,,
,\x00\x1D,VBD0029,String字符串（变长）,,MENSTRUAL_PERIOD,经期(天),,32,,
,\x00\x1E,VBD0030,String字符串（变长）,,OWNER_AREA,孕妇归属地,,16,,
,\x00\x1F,VBD0031,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x20,VBD0032,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x21,VBD0033,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x22,VBD0034,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x23,VBD0035,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,64,,
,\x00\x24,VBD0036,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x25,VBD0037,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x26,VBD0038,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x27,VBD0039,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x28,VBD0040,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x29,VBD0041,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
