索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_WOMEN_FIRST_FOLLOW,表全名,JHPDL:JH_RHHV_WOMEN_FIRST_FOLLOW,,,,,,
,表说明,孕妇首次随访表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBK,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBK0001,String字符串（变长）,,WOMEN_FIRST_FOLLOW_SN,主键,,64,,
,\x00\x02,VBK0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBK0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBK0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VBK0005,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x06,VBK0006,String字符串（变长）,,SC_DIAGNOSIS_METHOD,妊娠确诊方法编码,,1,,
,\x00\x07,VBK0007,String字符串（变长）,,ST_DIAGNOSIS_METHOD,妊娠确诊方法名称,,32,,
,\x00\x08,VBK0008,String字符串（变长）,,SC_MORNING_SICKNESS,早孕反应编码,,32,,
,\x00\x09,VBK0009,String字符串（变长）,,ST_MORNING_SICKNESS,早孕反应名称,,32,,
,\x00\x0A,VBK0010,String字符串（变长）,,MORNING_SICKNESS_WEEK,早孕反应孕周,,32,,
,\x00\x0B,VBK0011,String字符串（变长）,,SELF_FEEL_SYMPTOM,自觉症状,,64,,
,\x00\x0C,VBK0012,String字符串（变长）,,BODY_MASS_INDEX,体质指数,,10,,
,\x00\x0D,VBK0013,String字符串（变长）,,WEIGHT_INFO,体重(KG),,32,,
,\x00\x0E,VBK0014,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x0F,VBK0015,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x10,VBK0016,String字符串（变长）,,QUICKENING_WEEK,胎动孕周,,32,,
,\x00\x11,VBK0017,String字符串（变长）,,SC_IS_HEADACHE,是否头痛,,1,,
,\x00\x12,VBK0018,String字符串（变长）,,HEADACHE_WEEK,头痛孕周,,32,,
,\x00\x13,VBK0019,String字符串（变长）,,SC_IS_SWELLING,是否浮肿,,1,,
,\x00\x14,VBK0020,String字符串（变长）,,SWELLING_WEEK,浮肿孕周,,32,,
,\x00\x15,VBK0021,String字符串（变长）,,SC_IS_BLEED,是否出血,,1,,
,\x00\x16,VBK0022,String字符串（变长）,,BLEED_WEEK,出血孕周,,32,,
,\x00\x17,VBK0023,String字符串（变长）,,SC_IS_FEVER,是否发热,,1,,
,\x00\x18,VBK0024,String字符串（变长）,,FEVER_WEEK,发热孕周,,32,,
,\x00\x19,VBK0025,String字符串（变长）,,OTHER_SYMPTON,其他症状描述,,128,,
,\x00\x1A,VBK0026,String字符串（变长）,,GESTATIONAL_WEEKS,发生孕周,,32,,
,\x00\x1B,VBK0027,String字符串（变长）,,SCREENING_INFO,产前筛查结果,,64,,
,\x00\x1C,VBK0028,String字符串（变长）,,GENERAL_COMMENT,总体评估,,128,,
,\x00\x1D,VBK0029,String字符串（变长）,,HIGH_RISK_REASON,高危因素,,10,,
,\x00\x1E,VBK0030,String字符串（变长）,,HIGH_RISK_LEVEL,高危评级,,64,,
,\x00\x1F,VBK0031,String字符串（变长）,,HIGH_RISK_SCORE,高危评分,,32,,
,\x00\x20,VBK0032,Date日期型（yyyy-mm-dd）（10个字节）,,VISIT_PRECONTRAC_TTIME,下次预约日期,,,,
,\x00\x21,VBK0033,String字符串（变长）,,SC_VISIT_DOCTOR,随访医生编码,,32,,
,\x00\x22,VBK0034,String字符串（变长）,,ST_VISIT_DOCTOR,随访医生名称,,32,,
,\x00\x23,VBK0035,String字符串（变长）,,SC_VISIT_ORG,随访机构编码,,16,,
,\x00\x24,VBK0036,String字符串（变长）,,ST_VISIT_ORG,随访机构名称,,16,,
,\x00\x25,VBK0037,String字符串（变长）,,CATEGORY_INFO,分类,,2,,
,\x00\x26,VBK0038,String字符串（变长）,,SYMPTOM_DESC,症状描述,,128,,
,\x00\x27,VBK0039,Date日期型（yyyy-mm-dd）（10个字节）,,SCREENING_DATE,产前筛查日期,,,,
,\x00\x28,VBK0040,String字符串（变长）,,ABDOMEN_CIRCUMFERENCE,腹围(CM),,32,,
,\x00\x29,VBK0041,String字符串（变长）,,UTERINE_HEIGHT,宫高(CM),,32,,
,\x00\x2A,VBK0042,Date日期型（yyyy-mm-dd）（10个字节）,,PREGNANCY_DIAGNOSIS_DATE,妊娠确诊时间,,,,
,\x00\x2B,VBK0043,String字符串（变长）,,PRENATAL_DIAGNOSE_RESULT,产前诊断结果,,64,,
,\x00\x2C,VBK0044,Date日期型（yyyy-mm-dd）（10个字节）,,PRENATAL_DIAGNOSE_DATE,产前诊断日期,,,,
,\x00\x2D,VBK0045,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x2E,VBK0046,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x2F,VBK0047,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x30,VBK0048,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x31,VBK0049,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x32,VBK0050,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x33,VBK0051,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x34,VBK0052,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x35,VBK0053,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x36,VBK0054,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x37,VBK0055,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
