索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_WOMEN_FOLLOW_RECORD,表全名,JHPDL:JH_RHHV_WOMEN_FOLLOW_RECORD,,,,,,
,表说明,孕妇随访记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBJ,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBJ0001,String字符串（变长）,,WOMEN_FOLLOW_RECORD_SN,主键,,64,,
,\x00\x02,VBJ0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBJ0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBJ0004,String字符串（变长）,,ARCHIVE_ID,孕妇档案号,,32,,
,\x00\x05,VBJ0005,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x06,VBJ0006,String字符串（变长）,,CHECK_WEEK,检查孕周,,2,,
,\x00\x07,VBJ0007,String字符串（变长）,,CHECK_NO,检查序号,,32,,
,\x00\x08,VBJ0008,String字符串（变长）,,SELF_FEEL_SYMPTOM_DESC,自觉症状描述,,128,,
,\x00\x09,VBJ0009,String字符串（变长）,,SELF_FEEL_SYMPTOM_FLAG,自觉症状异常,,1,,
,\x00\x0A,VBJ0010,String字符串（变长）,,QUICKENING_TIMES,胎动次数,,32,,
,\x00\x0B,VBJ0011,String字符串（变长）,,WEIGHT_INFO,体重(KG),,32,,
,\x00\x0C,VBJ0012,String字符串（变长）,,WEIGHT_FLAG,体重异常,,1,,
,\x00\x0D,VBJ0013,String字符串（变长）,,DIASTOLIC_PRESSURE,舒张压(MMHG),,32,,
,\x00\x0E,VBJ0014,String字符串（变长）,,SYSTOLIC_PRESSURE,收缩压(MMHG),,32,,
,\x00\x0F,VBJ0015,String字符串（变长）,,BLOOD_PRESSURE_FLAG,血压异常,,1,,
,\x00\x10,VBJ0016,String字符串（变长）,,UTERINE_HEIGHT,宫高(CM),,32,,
,\x00\x11,VBJ0017,String字符串（变长）,,UTERINE_HEIGHT_FLAG,宫高异常,,1,,
,\x00\x12,VBJ0018,String字符串（变长）,,ABDOMEN_CIRCUMFERENCE,腹围(CM),,32,,
,\x00\x13,VBJ0019,String字符串（变长）,,FETAL_POSITION,胎方位,,3,,
,\x00\x14,VBJ0020,String字符串（变长）,,FETAL_POSITION_FLAG,胎位异常,,1,,
,\x00\x15,VBJ0021,String字符串（变长）,,FETAL_HEART_RATE,胎心率(次/分）,,32,,
,\x00\x16,VBJ0022,String字符串（变长）,,FETAL_HEART_FLAG,胎心异常,,1,,
,\x00\x17,VBJ0023,String字符串（变长）,,PRESENTPOSITION_INFO,先露,,10,,
,\x00\x18,VBJ0024,String字符串（变长）,,CONNECTION_INFO,衔接,,10,,
,\x00\x19,VBJ0025,String字符串（变长）,,EDEMA_STATUS,浮肿,,10,,
,\x00\x1A,VBJ0026,String字符串（变长）,,HAEMOGLOBIN_INFO,血红蛋白,,10,,
,\x00\x1B,VBJ0027,String字符串（变长）,,ALBUMINURIA_INFO,尿蛋白,,10,,
,\x00\x1C,VBJ0028,String字符串（变长）,,BLOOD_SUGAR,血糖,,10,,
,\x00\x1D,VBJ0029,String字符串（变长）,,OTHER_EXAM,其他化验描述,,128,,
,\x00\x1E,VBJ0030,String字符串（变长）,,BULTRASONICI_DIAGNOSIS,B超诊断,,128,,
,\x00\x1F,VBJ0031,String字符串（变长）,,AMNIOTIC_FLUID_DEPTH,羊水垂直深度,,10,,
,\x00\x20,VBJ0032,String字符串（变长）,,AMNIOTIC_FLUID_INDEX,羊水指数,,10,,
,\x00\x21,VBJ0033,Date日期型（yyyy-mm-dd）（10个字节）,,BULTRASONIC_DATE,B超诊断日期,,,,
,\x00\x22,VBJ0034,String字符串（变长）,,BULTRASONIC_ID,B超检查单号,,32,,
,\x00\x23,VBJ0035,String字符串（变长）,,HIGH_RISK_SCORE,高危评分,,32,,
,\x00\x24,VBJ0036,String字符串（变长）,,HIGH_RISK_LEVEL,高危评级,,10,,
,\x00\x25,VBJ0037,String字符串（变长）,,CATEGORY_INFO,分类,,2,,
,\x00\x26,VBJ0038,String字符串（变长）,,SUGGESTION_INFO,处理建议,,128,,
,\x00\x27,VBJ0039,Date日期型（yyyy-mm-dd）（10个字节）,,VISIT_PRECONTRACT_TIME,随访预约时间,,,,
,\x00\x28,VBJ0040,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CHECK_TIME,检查时间,,,,
,\x00\x29,VBJ0041,String字符串（变长）,,SC_CHECK_DOCTOR,检查医生编码,,32,,
,\x00\x2A,VBJ0042,String字符串（变长）,,ST_CHECK_DOCTOR,检查医生名称,,32,,
,\x00\x2B,VBJ0043,String字符串（变长）,,SC_CHECK_ORG,检查机构编码,,16,,
,\x00\x2C,VBJ0044,String字符串（变长）,,ST_CHECK_ORG,检查机构名称,,16,,
,\x00\x2D,VBJ0045,String字符串（变长）,,END_REASON,终止管理原因,,10,,
,\x00\x2E,VBJ0046,String字符串（变长）,,HIGH_RISK_REASON,高危因素,,10,,
,\x00\x2F,VBJ0047,String字符串（变长）,,OTHER_HIGH_REASON,其他危险因素,,512,,
,\x00\x30,VBJ0048,String字符串（变长）,,SC_VISIT_WAY,随访方式编码,,1,,
,\x00\x31,VBJ0049,String字符串（变长）,,ST_VISIT_WAY,随访方式名称,,32,,
,\x00\x32,VBJ0050,String字符串（变长）,,SC_IS_LOST,是否失访,,1,,
,\x00\x33,VBJ0051,String字符串（变长）,,LOST_REASON,失访原因,,128,,
,\x00\x34,VBJ0052,String字符串（变长）,,VISIT_RESULT,随访结果,,128,,
,\x00\x35,VBJ0053,String字符串（变长）,,EXCEPTION_DESC,异常描述,,512,,
,\x00\x36,VBJ0054,String字符串（变长）,,GUIDE_INFO,指导,,128,,
,\x00\x37,VBJ0055,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x38,VBJ0056,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x39,VBJ0057,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x3A,VBJ0058,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x3B,VBJ0059,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,64,,
,\x00\x3C,VBJ0060,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x3D,VBJ0061,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x3E,VBJ0062,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x3F,VBJ0063,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x40,VBJ0064,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x41,VBJ0065,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
