索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_WOMEN_MIGRATION_RECORD,表全名,JHPDL:JH_RHHV_WOMEN_MIGRATION_RECORD,,,,,,
,表说明,妇保迁移记录表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBC,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBC0001,String字符串（变长）,,WOMEN_MIGRATION_RECORD_SN,主键,,64,,
,\x00\x02,VBC0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBC0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBC0004,String字符串（变长）,,ARCHIVE_ID,孕妇档案号,,32,,
,\x00\x05,VBC0005,String字符串（变长）,,RECORD_NO,记录序号,,16,,
,\x00\x06,VBC0006,String字符串（变长）,,STATUS_INFO,迁移状态,,1,,
,\x00\x07,VBC0007,String字符串（变长）,,MOVE_TYPE,迁移类别,,1,,
,\x00\x08,VBC0008,String字符串（变长）,,PREGNANT_NAME,孕妇姓名,,32,,
,\x00\x09,VBC0009,String字符串（变长）,,SOURCE_REST_REGION,原产休地,,25,,
,\x00\x0A,VBC0010,String字符串（变长）,,SC_SOURCE_RESIDENCE,原居住证号码编码,,32,,
,\x00\x0B,VBC0011,String字符串（变长）,,ST_SOURCE_RESIDENCE,原居住证号码名称,,32,,
,\x00\x0C,VBC0012,String字符串（变长）,,SOURCE_OWNER_AREA,原归属地,,32,,
,\x00\x0D,VBC0013,String字符串（变长）,,SOURCE_HOME_ADDRESS,原户籍地址,,25,,
,\x00\x0E,VBC0014,String字符串（变长）,,SC_SOURCE_ORG,原管理单位编码,,16,,
,\x00\x0F,VBC0015,String字符串（变长）,,ST_SOURCE_ORG,原管理单位名称,,16,,
,\x00\x10,VBC0016,String字符串（变长）,,SC_SOURCE_MHC_DOCTOR,原妇保医生编码,,32,,
,\x00\x11,VBC0017,String字符串（变长）,,ST_SOURCE_MHC_DOCTOR,原妇保医生名称,,32,,
,\x00\x12,VBC0018,String字符串（变长）,,TARGET_REST_REGION,现产休地,,25,,
,\x00\x13,VBC0019,String字符串（变长）,,SC_TARGET_RESIDENCE,现居住证号码编码,,32,,
,\x00\x14,VBC0020,String字符串（变长）,,ST_TARGET_RESIDENCE,现居住证号码名称,,32,,
,\x00\x15,VBC0021,String字符串（变长）,,TARGET_OWNER_AREA,现归属地,,32,,
,\x00\x16,VBC0022,String字符串（变长）,,TARGET_HOME_ADDRESS,现户籍地址,,25,,
,\x00\x17,VBC0023,String字符串（变长）,,SC_TARGET_ORG,现管理单位编码,,16,,
,\x00\x18,VBC0024,String字符串（变长）,,ST_TARGET_ORG,现管理单位名称,,32,,
,\x00\x19,VBC0025,String字符串（变长）,,SC_TARGET_MHC_DOCTOR,现妇保医生编码,,32,,
,\x00\x1A,VBC0026,String字符串（变长）,,ST_TARGET_MHC_DOCTOR,现妇保医生名称,,32,,
,\x00\x1B,VBC0027,String字符串（变长）,,SC_APPLY_ORG,申请机构编码,,32,,
,\x00\x1C,VBC0028,String字符串（变长）,,ST_APPLY_ORG,申请机构名称,,32,,
,\x00\x1D,VBC0029,String字符串（变长）,,SC_APPLY_USER,申请人编码,,32,,
,\x00\x1E,VBC0030,String字符串（变长）,,ST_APPLY_USER,申请人名称,,32,,
,\x00\x1F,VBC0031,Date日期型（yyyy-mm-dd）（10个字节）,,APPLY_DATE,申请日期,,,,
,\x00\x20,VBC0032,String字符串（变长）,,APPLY_REASON,申请原因,,512,,
,\x00\x21,VBC0033,String字符串（变长）,,SC_AFFIRM_ORG,确认机构编码,,32,,
,\x00\x22,VBC0034,String字符串（变长）,,ST_AFFIRM_ORG,确认机构名称,,32,,
,\x00\x23,VBC0035,String字符串（变长）,,SC_AFFIRM_USER,确认人编码,,32,,
,\x00\x24,VBC0036,String字符串（变长）,,ST_AFFIRM_USER,确认人名称,,32,,
,\x00\x25,VBC0037,Date日期型（yyyy-mm-dd）（10个字节）,,AFFIRM_DATE,确认日期,,,,
,\x00\x26,VBC0038,String字符串（变长）,,AFFIRM_TYPE,确认类别,,1,,
,\x00\x27,VBC0039,String字符串（变长）,,AFFIRM_VIEW,确认人意见,,512,,
,\x00\x28,VBC0040,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x29,VBC0041,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x2A,VBC0042,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x2B,VBC0043,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x2C,VBC0044,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,64,,
,\x00\x2D,VBC0045,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x2E,VBC0046,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x2F,VBC0047,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x30,VBC0048,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x31,VBC0049,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x32,VBC0050,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
