索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_WOMEN_PRENATAL_SCREEN,表全名,JHPDL:JH_RHHV_WOMEN_PRENATAL_SCREEN,,,,,,
,表说明,孕妇产前筛查,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBE,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBE0001,String字符串（变长）,,WOMEN_PRENATAL_SCREEN_SN,主键,,64,,
,\x00\x02,VBE0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBE0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBE0004,String字符串（变长）,,ARCHIVE_ID,孕妇档案号,,32,,
,\x00\x05,VBE0005,Date日期型（yyyy-mm-dd）（10个字节）,,DIAGNOSE_DATE,产前诊断日期,,,,
,\x00\x06,VBE0006,String字符串（变长）,,SC_DIAGNOSE_RESULT,产前诊断结果编码,,1,,
,\x00\x07,VBE0007,String字符串（变长）,,ST_DIAGNOSE_RESULT,产前诊断结果名称,,64,,
,\x00\x08,VBE0008,Date日期型（yyyy-mm-dd）（10个字节）,,SCREENING_DATE,产前筛查日期,,,,
,\x00\x09,VBE0009,String字符串（变长）,,SC_SCREENING_RESULT,产前筛查结果编码,,1,,
,\x00\x0A,VBE0010,String字符串（变长）,,ST_SCREENING_RESULT,产前筛查结果名称,,64,,
,\x00\x0B,VBE0011,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x0C,VBE0012,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x0D,VBE0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x0E,VBE0014,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x0F,VBE0015,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,64,,
,\x00\x10,VBE0016,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x11,VBE0017,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x12,VBE0018,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x13,VBE0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x14,VBE0020,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x15,VBE0021,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
