索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_WOMEN_QUOTA,表全名,JHPDL:JH_RHHV_WOMEN_QUOTA,,,,,,
,表说明,孕妇指标,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBF,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBF0001,String字符串（变长）,,WOMEN_QUOTA_SN,主键,,64,,
,\x00\x02,VBF0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBF0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBF0004,String字符串（变长）,,ARCHIVE_ID,孕妇档案号,,32,,
,\x00\x05,VBF0005,String字符串（变长）,,INDEX_TYPE,指标类型,,10,,
,\x00\x06,VBF0006,String字符串（变长）,,INDICATOR_NAME,指标名称,,128,,
,\x00\x07,VBF0007,String字符串（变长）,,EXCEPTION_DESC,异常描述,,512,,
,\x00\x08,VBF0008,String字符串（变长）,,INDEX_VALUE,指标值,,128,,
,\x00\x09,VBF0009,String字符串（变长）,,REFERENCE_VALUE,参考值,,128,,
,\x00\x0A,VBF0010,String字符串（变长）,,INDEX_SOURCE_ID,指标来源单号,,64,,
,\x00\x0B,VBF0011,String字符串（变长）,,INDEX_SOURCE_TYPE,指标来源类型,,128,,
,\x00\x0C,VBF0012,String字符串（变长）,,SC_INDEX,指标编码,,64,,
,\x00\x0D,VBF0013,String字符串（变长）,,ST_INDEX,指标名称,,64,,
,\x00\x0E,VBF0014,Date日期型（yyyy-mm-dd）（10个字节）,,INDEX_CREATE_DATE,指标产生日期,,,,
,\x00\x0F,VBF0015,String字符串（变长）,,SC_CREATE_ORG,产生机构编码,,16,,
,\x00\x10,VBF0016,String字符串（变长）,,ST_CREATE_ORG,产生机构名称,,16,,
,\x00\x11,VBF0017,String字符串（变长）,,INDEX_UNIT,指标单位,,16,,
,\x00\x12,VBF0018,String字符串（变长）,,SC_IS_EXCEPTION,是否异常,,1,,
,\x00\x13,VBF0019,String字符串（变长）,,VISIT_NO,随访编号,,16,,
,\x00\x14,VBF0020,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x15,VBF0021,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x16,VBF0022,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x17,VBF0023,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x18,VBF0024,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,64,,
,\x00\x19,VBF0025,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x1A,VBF0026,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x1B,VBF0027,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x1C,VBF0028,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x1D,VBF0029,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x1E,VBF0030,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
