索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RIS_APY,表全名,JHPDL:JH_RIS_APY,,,,,,
,表说明,放疗申请单,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,RAA,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,RAA0001,String字符串（变长）,,RIS_APY_SN,放疗申请单编号,内部三级编码RA0.000.000.001,20,是,是
,\x00\x02,RAA0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,RAA0003,String字符串（变长）,,RIS_PAT_ID,放疗系统患者编号,放疗系统患者唯一ID,100,是,是
,\x00\x04,RAA0004,String字符串（变长）,,PAT_NAME,患者姓名,患者姓名,40,,
,\x00\x05,RAA0005,String字符串（变长）,,SC_VISIT_TYPE,就诊类型编码,就诊类型编码,20,,
,\x00\x06,RAA0006,String字符串（变长）,,ST_VISIT_TYPE,就诊类型说明,就诊类型描述,40,,
,\x00\x07,RAA0007,String字符串（变长）,,PAT_VISIT_SN,就诊流水号,来源JH_PAT_VISIT的PAV0001,20,,
,\x00\x08,RAA0008,String字符串（变长）,,HIS_PAT_ID,HIS患者编码,对应患者HIS病人编号,40,,
,\x00\x09,RAA0009,String字符串（变长）,,HIS_VIS_ID,HIS就诊流水号,HIS就诊流水号,20,,
,\x00\x0A,RAA0010,String字符串（变长）,,INP_NO,住院号,院内住院号,20,,
,\x00\x0B,RAA0011,String字符串（变长）,,SC_INS_TYPE,医保类型编码,源业务系统的医保类型编码,20,,
,\x00\x0C,RAA0012,String字符串（变长）,,ST_INS_TYPE,医保类型说明,源业务系统的医保类型描述,20,,
,\x00\x0D,RAA0013,String字符串（变长）,,ID_CARD_NO,身份证号,身份证件号码,40,,
,\x00\x0E,RAA0014,String字符串（变长）,,SC_SEX,患者性别,患者性别,20,,
,\x00\x0F,RAA0015,String字符串（变长）,,ST_SEX,患者性别,患者性别,20,,
,\x00\x10,RAA0016,String字符串（变长）,,MOBILE,手机,手机,40,,
,\x00\x11,RAA0017,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,BIRTHDAY,出生日期,出生日期,31,,
,\x00\x12,RAA0018,String字符串（变长）,,SC_NATIONALITY,民族,民族,20,,
,\x00\x13,RAA0019,String字符串（变长）,,ST_NATIONALITY,民族,民族,20,,
,\x00\x14,RAA0020,String字符串（变长）,,SC_NATION,国籍,国籍,20,,
,\x00\x15,RAA0021,String字符串（变长）,,ST_NATION,国籍,国籍,40,,
,\x00\x16,RAA0022,String字符串（变长）,,SC_MARITAL,婚姻状态,婚姻状态,20,,
,\x00\x17,RAA0023,String字符串（变长）,,ST_MARITAL,婚姻状态,婚姻状态,20,,
,\x00\x18,RAA0024,String字符串（变长）,,ADDRESS,联系地址,联系地址,200,,
,\x00\x19,RAA0025,String字符串（变长）,,WEIGHT,体重,单位KG,20,,
,\x00\x1A,RAA0026,String字符串（变长）,,HEIGHT,身高,单位CM,20,,
,\x00\x1B,RAA0027,String字符串（变长）,,SC_DEPT,科室,科室,20,,
,\x00\x1C,RAA0028,String字符串（变长）,,ST_DEPT,科室,科室,20,,
,\x00\x1D,RAA0029,String字符串（变长）,,SC_DOCTOR,放疗医生,放疗医生,20,,
,\x00\x1E,RAA0030,String字符串（变长）,,ST_DOCTOR,放疗医生,放疗医生,20,,
,\x00\x1F,RAA0031,String字符串（变长）,,SC_APY_DOC,申请医生,申请医生,20,,
,\x00\x20,RAA0032,String字符串（变长）,,ST_APY_DOC,申请医生,申请医生,20,,
,\x00\x21,RAA0033,String字符串（变长）,,SC_HEAD_DOC,上级医生,上级医生,20,,
,\x00\x22,RAA0034,String字符串（变长）,,ST_HEAD_DOC,上级医生,上级医生,20,,
,\x00\x23,RAA0035,String字符串（变长）,,MEDICALHISTORY,既往史,既往史,1000,,
,\x00\x24,RAA0036,String字符串（变长）,,DISEASEINFO,特殊疾病,特殊疾病,200,,
,\x00\x25,RAA0037,String字符串（变长）,,SC_DIAG,诊断编码,源业务系统的诊断编码，可能存在无编码的情况,20,,
,\x00\x26,RAA0038,String字符串（变长）,,ST_DIAG,诊断名称,源业务系统的诊断名称,100,,
,\x00\x27,RAA0039,String字符串（变长）,,SC_ SCANLESIO,病灶部位编码,病灶部位编码,20,,
,\x00\x28,RAA0040,String字符串（变长）,,ST_ SCANLESIO,病灶部位描述,病灶部位描述,60,,
,\x00\x29,RAA0041,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FIRST_VIS_DATE,首诊日期,首诊日期,31,,
,\x00\x2A,RAA0042,String字符串（变长）,,SC_ITEM,申请项目编码,申请项目编码,20,,
,\x00\x2B,RAA0043,String字符串（变长）,,ST_ITEM,申请项目名称,申请项目名称,100,,
,\x00\x2C,RAA0044,String字符串（变长）,,TREAT_TOTAL,治疗总次数,治疗总次数,20,,
,\x00\x2D,RAA0045,String字符串（变长）,,TREAT_NUM,当前治疗次数,当前治疗次数,20,,
,\x00\x2E,RAA0046,String字符串（变长）,,SC_PRO_STATUS,流程状态,流程状态,20,,
,\x00\x2F,RAA0047,String字符串（变长）,,ST_PRO_STATUS,流程状态,流程状态,20,,
,\x00\x30,RAA0048,String字符串（变长）,,SC_SPRO_STATUS,分流程状态,分流程状态,20,,
,\x00\x31,RAA0049,String字符串（变长）,,ST_SPRO_STATUS,分流程状态,分流程状态,20,,
,\x00\x32,RAA0050,String字符串（变长）,,TMN_T,TMN的T值,TMN的T值,20,,
,\x00\x33,RAA0051,String字符串（变长）,,TMN_M,TMN的M值,TMN的M值,20,,
,\x00\x34,RAA0052,String字符串（变长）,,TMN_N,TMN的N值,TMN的N值,20,,
,\x00\x35,RAA0053,String字符串（变长）,,SC_TREAT_TYPE,治疗类型,治疗类型例如1三维、2二维,20,,
,\x00\x36,RAA0054,String字符串（变长）,,ST_TREAT_TYPE,治疗类型,治疗类型例如1三维、2二维,20,,
,\x00\x37,RAA0055,String字符串（变长）,,TREAT_GOAL,治疗目的,治疗目的,20,,
,\x00\x38,RAA0056,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,TREAT_DATE,计划治疗日期,计划治疗日期,20,,
,\x00\x39,RAA0057,String字符串（变长）,,RIS_COMMENT,备注,备注,500,,
,\x00\x3A,RAA0058,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x3B,RAA0059,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,,31,是,是
,\x00\x3C,RAA0060,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
