索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RIS_REC,表全名,JHPDL:JH_RIS_REC,,,,,,
,表说明,放疗记录,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,RAB,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,RAB0001,String字符串（变长）,,PROCESS_SN,放疗记录唯一号,内部三级编码RB0.000.000.001,20,是,是
,\x00\x02,RAB0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,RAB0003,String字符串（变长）,,RIS_APY_SN,放疗申请单号,来源JH_RIS_APY的PAV0001，无则空,100,,
,\x00\x04,RAB0004,String字符串（变长）,,ID_CARD_NO,身份证号,患者身份证号,40,是,
,\x00\x05,RAB0005,String字符串（变长）,,RIS_PAT_ID,放疗系统患者编号,放疗系统患者唯一ID或者放疗号,100,,
,\x00\x06,RAB0006,String字符串（变长）,,HIS_PAT_ID,HIS患者编码,对应患者HIS病人编号,100,,
,\x00\x07,RAB0007,String字符串（变长）,,HIS_VIS_ID,HIS就诊流水号,HIS就诊流水号,20,,
,\x00\x08,RAB0008,String字符串（变长）,,INP_NO,住院号,院内住院号,20,,
,\x00\x09,RAB0009,String字符串（变长）,,PAT_NAME,患者姓名,患者姓名,40,,
,\x00\x0A,RAB0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,TREAT_DATE,放疗日期,放疗日期,31,,
,\x00\x0B,RAB0011,String字符串（变长）,,SC_SEX,患者性别,患者性别,20,,
,\x00\x0C,RAB0012,String字符串（变长）,,ST_SEX,患者性别,患者性别,20,,
,\x00\x0D,RAB0013,String字符串（变长）,,MOBILE,手机,手机,20,,
,\x00\x0E,RAB0014,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,BIRTHDAY,出生日期,出生日期,31,,
,\x00\x0F,RAB0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,SC_NATIONALITY,民族,民族,20,,
,\x00\x10,RAB0016,String字符串（变长）,,ST_NATIONALITY,民族,民族,20,,
,\x00\x11,RAB0017,String字符串（变长）,,SC_NATION,国籍,国籍,20,,
,\x00\x12,RAB0018,String字符串（变长）,,ST_NATION,国籍,国籍,20,,
,\x00\x13,RAB0019,String字符串（变长）,,SC_MARITAL,婚姻状态,婚姻状态,20,,
,\x00\x14,RAB0020,String字符串（变长）,,ST_MARITAL,婚姻状态,婚姻状态,20,,
,\x00\x15,RAB0021,String字符串（变长）,,ADDRESS,联系地址,联系地址,20,,
,\x00\x16,RAB0022,String字符串（变长）,,WEIGHT,体重,单位KG,20,,
,\x00\x17,RAB0023,String字符串（变长）,,HEIGHT,身高,单位CM,20,,
,\x00\x18,RAB0024,String字符串（变长）,,SC_DEPT,科室,科室,20,,
,\x00\x19,RAB0025,String字符串（变长）,,ST_DEPT,科室,科室,20,,
,\x00\x1A,RAB0026,String字符串（变长）,,CT_NO,放射号,放射号,20,,
,\x00\x1B,RAB0027,String字符串（变长）,,CT_CODE,影像编码,影像编码通过DICOM获取上传后得到编码,20,,
,\x00\x1C,RAB0028,String字符串（变长）,,SC_DIAGNOSIS,诊断,诊断,20,,
,\x00\x1D,RAB0029,String字符串（变长）,,ST_DIAGNOSIS,诊断,诊断,100,,
,\x00\x1E,RAB0030,String字符串（变长）,,MEDICAL_HISTORY,病史,病史,1000,,
,\x00\x1F,RAB0031,String字符串（变长）,,PATIENT_SELF_INFO,主诉,主诉,1000,,
,\x00\x20,RAB0032,String字符串（变长）,,MEDICAL_CHECKUP,病史及体检,病史及体检,1000,,
,\x00\x21,RAB0033,String字符串（变长）,,SC_SCAN_LESION,扫描部位,扫描部位,100,,
,\x00\x22,RAB0034,String字符串（变长）,,ST_SCAN_LESION,扫描部位,扫描部位,100,,
,\x00\x23,RAB0035,String字符串（变长）,,SC_TREAT_TYPE,治疗技术,治疗技术,20,,
,\x00\x24,RAB0036,String字符串（变长）,,ST_TREAT_TYPE,治疗技术,治疗技术,20,,
,\x00\x25,RAB0037,String字符串（变长）,,TREAT_TOTAL,治疗总次数,治疗总次数,20,,
,\x00\x26,RAB0038,String字符串（变长）,,TREAT_NUM,治疗次数,治疗次数,20,,
,\x00\x27,RAB0039,String字符串（变长）,,SC_COURSE,疗程编码,疗程编码,20,,
,\x00\x28,RAB0040,String字符串（变长）,,ST_COURSE,疗程描述,疗程描述,200,,
,\x00\x29,RAB0041,String字符串（变长）,,SC_COU_PARTS,治疗部位,治疗部位,20,,
,\x00\x2A,RAB0042,String字符串（变长）,,ST_COU_PARTS,治疗部位,治疗部位,20,,
,\x00\x2B,RAB0043,String字符串（变长）,,SC_PRO_STATUS,流程状态,流程状态,20,,
,\x00\x2C,RAB0044,String字符串（变长）,,ST_PRO_STATUS,流程状态,流程状态,20,,
,\x00\x2D,RAB0045,String字符串（变长）,,SC_SPRO_STATUS,分流程状态,分流程状态,20,,
,\x00\x2E,RAB0046,String字符串（变长）,,ST_SPRO_STATUS,分流程状态,分流程状态,20,,
,\x00\x2F,RAB0047,String字符串（变长）,,SC_QA_STATUS,病人QA状态,病人QA状态，例如已完成病人、未完成,20,,
,\x00\x30,RAB0048,String字符串（变长）,,ST_QA_STATUS,病人QA状态,病人QA状态，例如已完成病人、未完成,20,,
,\x00\x31,RAB0049,简化字典（Integer整型，4个字节）,379,SD_TOME,是否为二维普放,是否为二维普放,20,,
,\x00\x32,RAB0050,简化字典（Integer整型，4个字节）,379,SD_RESET,是否需要复位,是否需要复位,20,,
,\x00\x33,RAB0051,简化字典（Integer整型，4个字节）,379,SD_REVIEW,是否复查,是否复查,20,,
,\x00\x34,RAB0052,简化字典（Integer整型，4个字节）,379,SD_CHANGE,是否为野,是否为野,20,,
,\x00\x35,RAB0053,简化字典（Integer整型，4个字节）,379,SD_PLAN,是否为初算,是否为初算,20,,
,\x00\x36,RAB0054,简化字典（Integer整型，4个字节）,379,SD_ADD,是否为增加治疗次数,是否为增加治疗次数,20,,
,\x00\x37,RAB0055,String字符串（变长）,,LAST_INFO,最后一次操作描述,最后一次操作描述,500,,
,\x00\x38,RAB0056,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_TIME,最后一次操作时间,最后一次操作时间,31,,
,\x00\x39,RAB0057,String字符串（变长）,,SC_LAST_OPERA,最后一次操作人,最后一次操作人,40,,
,\x00\x3A,RAB0058,String字符串（变长）,,ST_LAST_OPERA,最后一次操作人,最后一次操作人,40,,
,\x00\x3B,RAB0059,String字符串（变长）,,CHANGE_NUM,改野后的治疗次数,改野后的治疗次数,20,,
,\x00\x3C,RAB0060,简化字典（Integer整型，4个字节）,379,SD_PLAN_REV,是否已经计划复核,是否已经计划复核,20,,
,\x00\x3D,RAB0061,简化字典（Integer整型，4个字节）,379,SD_PLAN_CON,是否已经计划确认,是否已经计划确认,20,,
,\x00\x3E,RAB0062,String字符串（变长）,,SC_REC_OPERA,记录人,记录人,40,,
,\x00\x3F,RAB0063,String字符串（变长）,,ST_REC_OPERA,记录人,记录人,40,,
,\x00\x40,RAB0064,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REC_DATE,登记时间,登记时间,31,,
,\x00\x41,RAB0065,String字符串（变长）,,RIS_COMMENT,备注,备注,500,,
,\x00\x42,RAB0066,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x43,RAB0067,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,,31,是,是
,\x00\x44,RAB0068,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
