索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RIS_REC_DETAIL,表全名,JHPDL:JH_RIS_REC_DETAIL,,,,,,
,表说明,放疗记录明细,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,RAC,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,RAC0001,String字符串（变长）,,TREAT_SN,放疗记录唯一号,内部三级编码RC0.000.000.001,20,是,是
,\x00\x02,RAC0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,RAC0003,String字符串（变长）,,PROCESS_SN,放疗主记录号,来源JH_RIS_REC的PAV0001，无则空,100,,
,\x00\x04,RAC0004,String字符串（变长）,,ID_CARD_NO,身份证号,患者身份证号,40,是,
,\x00\x05,RAC0005,String字符串（变长）,,RIS_PAT_ID,放疗系统患者编号,放疗系统患者唯一ID或者放疗号,100,,
,\x00\x06,RAC0006,String字符串（变长）,,HIS_PAT_ID,HIS患者编码,对应患者HIS病人编号,100,,
,\x00\x07,RAC0007,String字符串（变长）,,HIS_VIS_ID,HIS就诊流水号,HIS就诊流水号,20,,
,\x00\x08,RAC0008,String字符串（变长）,,INP_NO,住院号,院内住院号,20,,
,\x00\x09,RAC0009,String字符串（变长）,,PAT_NAME,患者姓名,患者姓名,40,,
,\x00\x0A,RAC0010,String字符串（变长）,,PROCESS_ID,流程编码,流程编码,20,,
,\x00\x0B,RAC0011,String字符串（变长）,,SC_FIRST_DOC,首次摆位医生,首次摆位医生,40,,
,\x00\x0C,RAC0012,String字符串（变长）,,ST_FIRST_DOC,首次摆位医生,首次摆位医生,40,,
,\x00\x0D,RAC0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,TREAT_START_DATE,放疗开始时间,放疗开始时间,31,,
,\x00\x0E,RAC0014,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,TREAT_END_DATE,放疗结束时间,放疗结束时间,31,,
,\x00\x0F,RAC0015,String字符串（变长）,,TREAT_TOTAL,治疗总次数,治疗总次数,20,,
,\x00\x10,RAC0016,String字符串（变长）,,TREAT_NUM,治疗次数,治疗次数,20,,
,\x00\x11,RAC0017,String字符串（变长）,,TOTALDR,累计DR,累计DR,20,,
,\x00\x12,RAC0018,String字符串（变长）,,VOLUME_TOTAL,累计剂量（GY）,累计剂量（GY）,20,,
,\x00\x13,RAC0019,String字符串（变长）,,TREAT_NO,分次数,分次数,20,,
,\x00\x14,RAC0020,String字符串（变长）,,NUMBERMU,每次MU,每次MU,20,,
,\x00\x15,RAC0021,String字符串（变长）,,ELECTRON_ENERGY,计划-电子线能量,计划-电子线能量,20,,
,\x00\x16,RAC0022,String字符串（变长）,,PHOTON_ENERGY,计划-光子线能量,计划-光子线能量,20,,
,\x00\x17,RAC0023,String字符串（变长）,,PRE_DOSE,计划-处方剂量,计划-处方剂量,20,,
,\x00\x18,RAC0024,String字符串（变长）,,PLAN_EVERYDAY_NUM,计划-分次每天次数,计划-分次每天次数,20,,
,\x00\x19,RAC0025,String字符串（变长）,,PLAN_WEEKS_NUM,计划-分次每周天数,计划-分次每周天数,20,,
,\x00\x1A,RAC0026,String字符串（变长）,,MU_EVERYTIME,计划-单次MU,计划-单次MU,20,,
,\x00\x1B,RAC0027,String字符串（变长）,,POSITION,体位,体位,20,,
,\x00\x1C,RAC0028,String字符串（变长）,,SC_TREAT_ST,治疗状态,治疗状态,20,,
,\x00\x1D,RAC0029,String字符串（变长）,,ST_TREAT_ST,治疗状态,治疗状态,20,,
,\x00\x1E,RAC0030,String字符串（变长）,,REJECTED_NOTE,驳回操作原因,驳回操作原因,500,,
,\x00\x1F,RAC0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REJECTED_TIME,最后一次驳回操作时间,最后一次驳回操作时间,31,,
,\x00\x20,RAC0032,String字符串（变长）,,SC_REC_OPERA,记录人,记录人,40,,
,\x00\x21,RAC0033,String字符串（变长）,,ST_REC_OPERA,记录人,记录人,40,,
,\x00\x22,RAC0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REC_DATE,记录时间,登记时间,31,,
,\x00\x23,RAC0035,String字符串（变长）,,TREAT_HOP,跳数MU,跳数MU,20,,
,\x00\x24,RAC0036,String字符串（变长）,,TREAT_VOLUME,计划单次量GY,计划单次量GY,20,,
,\x00\x25,RAC0037,String字符串（变长）,,TREAT_UNIT,配准结果：单位,配准结果：单位,20,,
,\x00\x26,RAC0038,String字符串（变长）,,TREAT_DEVICE,治疗设备,治疗设备,20,,
,\x00\x27,RAC0039,String字符串（变长）,,IRRADIATION_TEC,照射技术,照射技术,20,,
,\x00\x28,RAC0040,String字符串（变长）,,SC_ SCANLESIO,病灶部位编码,病灶部位编码,20,,
,\x00\x29,RAC0041,String字符串（变长）,,ST_ SCANLESIO,病灶部位描述,病灶部位描述,20,,
,\x00\x2A,RAC0042,String字符串（变长）,,RESULTS_LEN,配准结果-长度,配准结果-长度,20,,
,\x00\x2B,RAC0043,String字符串（变长）,,RESULTS_TYPE,配准结果类型,配准结果类型（选项：自动、手动）,20,,
,\x00\x2C,RAC0044,String字符串（变长）,,RESULTS_X,配准结果 左右X,配准结果 左右X,20,,
,\x00\x2D,RAC0045,String字符串（变长）,,RESULTS_Y,配准结果-纵向Y,配准结果-纵向Y,20,,
,\x00\x2E,RAC0046,String字符串（变长）,,RESULTS_Z,配准结果-垂直Z,配准结果-垂直Z,20,,
,\x00\x2F,RAC0047,String字符串（变长）,,TREAT_NOTE,治疗备注,治疗备注,500,,
,\x00\x30,RAC0048,String字符串（变长）,,TREAT_INDEX,录入顺序号,录入顺序号,20,,
,\x00\x31,RAC0049,String字符串（变长）,,SC_TREAT_TYPE,治疗类型,治疗类型,20,,
,\x00\x32,RAC0050,String字符串（变长）,,ST_TREAT_TYPE,治疗类型,治疗类型,20,,
,\x00\x33,RAC0051,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x34,RAC0052,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,PDL最新更新时间,,31,是,是
,\x00\x35,RAC0053,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
