索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_R_A_CAVITARY_REPAIR,表全名,JHPDL:JH_R_A_CAVITARY_REPAIR,,,,,,
,表说明,主动脉腔内修复术统计表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,SUE,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,SUE0001,String字符串（变长）,,CAVITARY_SN,主动脉腔内修复术编号,SE0.000.000.001,50,,
,\x00\x02,SUE0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,50,,
,\x00\x03,SUE0003,String字符串（变长）,,HOSPITAL_CODE,院区编码,院区编码,20,,
,\x00\x04,SUE0004,String字符串（变长）,,DEPT_CODE,科室编码,,20,,
,\x00\x05,SUE0005,String字符串（变长）,,PATIENT_ID,患者ID,,30,,
,\x00\x06,SUE0006,String字符串（变长）,,CASE_NO,病案号,,30,,
,\x00\x07,SUE0007,String字符串（变长）,,VISIT_ID,就诊号,,30,,
,\x00\x08,SUE0008,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DISCHARGE_TIME,出院时间,,19,,
,\x00\x09,SUE0009,String字符串（变长）,,SC_OPERATION,主要手术编码,,30,,
,\x00\x0A,SUE0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DATA_DATE,统计时间,,19,,
,\x00\x0B,SUE0011,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPER_START_TIME,手术开始结束时间,,19,,
,\x00\x0C,SUE0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OPER_END_TIME,手术时间,,19,,
,\x00\x0D,SUE0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,CTAFC_TIME,主动脉 CTA 复查时间,,19,,
,\x00\x0E,SUE0014,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,FOLLOW_UP_TIME,随访时间,,19,,
,\x00\x0F,SUE0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PRALYSOR_TIME,使用Β受体阻滞剂时间,,19,,
,\x00\x10,SUE0016,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,STATIN_TIME,使用他汀类药物时间,,19,,
,\x00\x11,SUE0017,String字符串（变长）,,ZDMQNXFSHZ_FLAG,主动脉腔内修复术患者标识,,2,,
,\x00\x12,SUE0018,String字符串（变长）,,DEATH_FLAG,主动脉腔内修复术住院期间死亡标识,,2,,
,\x00\x13,SUE0019,String字符串（变长）,,ENDOLEAK_FLAG,主动脉腔内修复术后住院期间检查发现内漏标识,,2,,
,\x00\x14,SUE0020,String字符串（变长）,,STROKE_FLAG,主动脉腔内修复术后发生脑卒中标识,,2,,
,\x00\x15,SUE0021,String字符串（变长）,,RENAL_FAILURE_FLAG,主动脉腔内修复术后发生急性肾衰竭标识,,2,,
,\x00\x16,SUE0022,String字符串（变长）,,SPINAL_CORD_FLAG,主动脉腔内修复术后发生脊髓损伤标识,,2,,
,\x00\x17,SUE0023,String字符串（变长）,,MY_INFAR_FLAG,主动脉腔内修复术后发生心肌梗死标识,,2,,
,\x00\x18,SUE0024,String字符串（变长）,,CTAFC_FLAG,主动脉腔内修复术30天内进行主动脉CTA复查标识,,2,,
,\x00\x19,SUE0025,String字符串（变长）,,FOLLOW_UP_FLAG,主动脉腔内修复术后30天进行随访标识,,2,,
,\x00\x1A,SUE0026,String字符串（变长）,,PRALYSOR_FLAG,主动脉腔内修复术前使用受体阻滞剂标识,,2,,
,\x00\x1B,SUE0027,String字符串（变长）,,STATIN_FLAG,主动脉腔内修复术前使用他汀类药物标识,,2,,
,\x00\x1C,SUE0028,String字符串（变长）,,MV24_FLAG,主动脉腔内修复术后机械通气时间大于等于24小时发生标识,,2,,
,\x00\x1D,SUE0029,String字符串（变长）,,UNP_BACK_FLAG,主动脉腔内修复术非计划二次手术标识,,2,,
,\x00\x1E,SUE0030,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,业务主键结构,200,,
,\x00\x1F,SUE0031,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,系统更新时间,,,
,\x00\x20,SUE0032,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
