索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_R_BID_QUA,表全名,JHPDL:JH_R_BID_QUA,,,,,,
,表说明,三级绩效：临床用血专业医疗质量控制汇总表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAC,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAC0001,String字符串（变长）,,R_BID_QUA_SN,临床用血专业医疗质量控制汇总表编号,"临床用血专业医疗质量控制汇总表编号,系统生成三级编码，如“MC0.000.000.001”",20,是,是
,\x00\x02,MAC0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MAC0003,String字符串（变长）,,MED_ORG_SN,医疗机构编号,本次就诊的医疗机构唯一编号；用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,20,是,是
,\x00\x04,MAC0004,Date日期型（yyyy-mm-dd）（10个字节）,,CENSUS_DATE,统计年月,统计年月，最小单位月.出院日期,50,,
,\x00\x05,MAC0005,Double双精度浮点型（8个字节）,,BLD_UNITS_SUM,医疗机构年度用血总单位数,医疗机构年度用血总单位数,20,,
,\x00\x06,MAC0006,Double双精度浮点型（8个字节）,,PLASMA_BLD_UNITS_SUM,年度血浆用血总单位数,年度血浆用血总单位数,20,,
,\x00\x07,MAC0007,Double双精度浮点型（8个字节）,,RED_BLD_UNITS_SUM,年度红细胞用血总单位数,年度红细胞用血总单位数,20,,
,\x00\x08,MAC0008,Integer整型（4个字节）,,REGULAR_APPLY_SUM,填写规范且符合用血条件的申请单数,填写规范且符合用血条件的申请单数,20,,
,\x00\x09,MAC0009,Integer整型（4个字节）,,RECEIVED_APPLY_SUM,输血科（血库）接收的申请单总数,输血科（血库）接收的申请单总数.满足三级评审指标：《临床输血申请单》合格率   计算公式;填写规范且符合用血条件的申请单数/同期输血科（血库）接收的申请单总数×100%,20,,
,\x00\x0A,MAC0010,Integer整型（4个字节）,,BLD_SAMPLES_RECHECK_SUM,受血者血液标本复查血型数,受血者血液标本复查血型数,20,,
,\x00\x0B,MAC0011,Integer整型（4个字节）,,RECEIVED_BLD_SAMPLES_SUM,接收的受血者血液标本总数,接收的受血者血液标本总数.满足三级评审指标：受血者标本血型复查率。计算公式：受血者血液标本复查血型数 /同期接收的受血者血液标本总数×100%,20,,
,\x00\x0C,MAC0012,Integer整型（4个字节）,,INDOOR_BLD_COM_SUM,开展室内质控的输血相容性检测项目数,开展室内质控的输血相容性检测项目数,20,,
,\x00\x0D,MAC0013,Integer整型（4个字节）,,MED_ORG_BLD_COM_SUM,医疗机构开展的输血相容性检测项目总数,医疗机构开展的输血相容性检测项目总数。满足三级评审指标：输血相容性检测项目室内质控率。N计算公式：开展室内质控的输血相容性检测项目数 /医疗机构开展的输血相容性检测项目总数×100%,20,,
,\x00\x0E,MAC0014,Integer整型（4个字节）,,IN_ROOM_BLD_COM_SUM,参加室间质评的输血相容性检测项目数,参加室间质评的输血相容性检测项目数,20,,
,\x00\x0F,MAC0015,Integer整型（4个字节）,,IN_ROOM_BLD_COM_TOTAL_SUM,所参加的室间质评机构输血相容性检测室间质评项目总数,所参加的室间质评机构输血相容性检测室间质评项目总数。满足三级评审指标输血相容性检测室间质评项目参加率。计算公式：输血相容性检测室间质评项目参加率= 参加室间质评的输血相容性检测项目数 /所参加的室间质评机构输血相容性检测室间质评项目总数  ×100%,20,,
,\x00\x10,MAC0016,Integer整型（4个字节）,,IN_ROOM_BLD_QUA_SUM,室间质评合格项目数,室间质评合格项目数,20,,
,\x00\x11,MAC0017,Integer整型（4个字节）,,IN_ROOM_LAB_COM_SUM,参加室间质评检验项目总数,参加室间质评检验项目总数,20,,
,\x00\x12,MAC0018,Integer整型（4个字节）,,BLD_ADVERSE_REACT_SUM,输血不良反应例数,输血不良反应例数,20,,
,\x00\x13,MAC0019,Integer整型（4个字节）,,BLD_USER_SUM,输血人数,输血人数,20,,
,\x00\x14,MAC0020,Double双精度浮点型（8个字节）,,OUT_BLD_UNITS_SUM,出院患者用血总单位数,出院患者用血总单位数,20,,
,\x00\x15,MAC0021,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,,200,,
,\x00\x16,MAC0022,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,,,
