索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_R_HR,表全名,JHPDL:JH_R_HR,,,,,,
,表说明,人事主题统计表规范,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAQ,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAQ0001,String字符串（变长）,,R_HR_SN,统计数据唯一号,内部三级编码MQ0.000.000.001,20,是,是
,\x00\x02,MAQ0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MAQ0003,String字符串（变长）,,SC_HOSPITAL,院区编码,院区编码,40,是,是
,\x00\x04,MAQ0004,String字符串（变长）,,ST_HOSPITAL,院区名称,院区名称,40,,
,\x00\x05,MAQ0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DATA_DATE,数据时间,数据时间,31,,
,\x00\x06,MAQ0006,String字符串（变长）,,JZGDYSRS,急诊固定医师人数,急诊固定医师人数,100,,
,\x00\x07,MAQ0007,String字符串（变长）,,JZZGYSRS,急诊在岗医师人数,急诊在岗医师人数,100,,
,\x00\x08,MAQ0008,String字符串（变长）,,JZGDHSRS,急诊固定护士人数,急诊固定护士人数,100,,
,\x00\x09,MAQ0009,String字符串（变长）,,JZZGHSRS,急诊在岗护士人数,急诊在岗护士人数,100,,
,\x00\x0A,MAQ0010,String字符串（变长）,,MZYSS,麻醉医师数,麻醉医师数,100,,
,\x00\x0B,MAQ0011,String字符串（变长）,,MZKGDZGYSS,麻醉科固定在岗医师数,麻醉科固定在岗医师数,100,,
,\x00\x0C,MAQ0012,String字符串（变长）,,MZKHSGDZGHSZS,麻醉科护士固定在岗护士总数,麻醉科护士固定在岗护士总数,100,,
,\x00\x0D,MAQ0013,String字符串（变长）,,SSKSGDZGYSZS,手术科室固定在岗医师总数,手术科室固定在岗医师总数,100,,
,\x00\x0E,MAQ0014,String字符串（变长）,,EKYSS,儿科医师数,儿科医师数,100,,
,\x00\x0F,MAQ0015,String字符串（变长）,,ZZYSS,重症医师数,重症医师数,100,,
,\x00\x10,MAQ0016,String字符串（变长）,,ZZHSS,重症护士数,重症护士数,100,,
,\x00\x11,MAQ0017,String字符串（变长）,,BLYSS,病理医师数,病理医师数,100,,
,\x00\x12,MAQ0018,String字符串（变长）,,ZYYSS,中医医师数,中医医师数,100,,
,\x00\x13,MAQ0019,String字符串（变长）,,ZYKZYLBYSRS,中医科中医类别医师人数,中医科中医类别医师人数,100,,
,\x00\x14,MAQ0020,String字符串（变长）,,ZYKHSS,中医科护士数,中医科护士数,100,,
,\x00\x15,MAQ0021,String字符串（变长）,,GRKYSS,感染科医师数,感染科医师数,100,,
,\x00\x16,MAQ0022,String字符串（变长）,,GRKGDYSS,感染科固定医师数,感染科固定医师数,100,,
,\x00\x17,MAQ0023,String字符串（变长）,,GRKZGYSS,感染科在岗医师数,感染科在岗医师数,100,,
,\x00\x18,MAQ0024,String字符串（变长）,,GRKGDHSS,感染科固定护士数,感染科固定护士数,100,,
,\x00\x19,MAQ0025,String字符串（变长）,,GRKZGHSS,感染科在岗护士数,感染科在岗护士数,100,,
,\x00\x1A,MAQ0026,String字符串（变长）,,YYGRGLZZRYS,医院感染管理专职人员数,医院感染管理专职人员数,100,,
,\x00\x1B,MAQ0027,String字符串（变长）,,JSKYSS,精神科医师数,精神科医师数,100,,
,\x00\x1C,MAQ0028,String字符串（变长）,,KFKYSS,康复科医师数,康复科医师数,100,,
,\x00\x1D,MAQ0029,String字符串（变长）,,KFKKFSRS,康复科康复师人数,康复科康复师人数,100,,
,\x00\x1E,MAQ0030,String字符串（变长）,,KFKHSRS,康复科护士人数,康复科护士人数,100,,
,\x00\x1F,MAQ0031,String字符串（变长）,,QYHSRS,全院护士人数,全院护士人数,100,,
,\x00\x20,MAQ0032,String字符串（变长）,,BQHSRS,病区护士人数,病区护士人数,100,,
,\x00\x21,MAQ0033,String字符串（变长）,,ZCYSS,注册医师数,注册医师数,100,,
,\x00\x22,MAQ0034,String字符串（变长）,,ZCHSS,注册护士数,注册护士数,100,,
,\x00\x23,MAQ0035,String字符串（变长）,,MZZYYSS,门诊执业医师数,门诊执业医师数,100,,
,\x00\x24,MAQ0036,String字符串（变长）,,ZYZYYSS,住院执业医师数,住院执业医师数,100,,
,\x00\x25,MAQ0037,String字符串（变长）,,LCYSRS,临床药师人数,临床药师人数,100,,
,\x00\x26,MAQ0038,String字符串（变长）,,YSZRS,药师（包括药剂师和临床药师）总人数,药师（包括药剂师和临床药师）总人数,100,,
,\x00\x27,MAQ0039,String字符串（变长）,,JYGJZCDYWRYS,具有高级职称的医务人员数,具有高级职称的医务人员数,100,,
,\x00\x28,MAQ0040,String字符串（变长）,,BZRS,编制人数,编制人数,100,,
,\x00\x29,MAQ0041,String字符串（变长）,,HTZRS,合同制人数,合同制人数,100,,
,\x00\x2A,MAQ0042,String字符串（变长）,,WSJSRYS,卫生技术人员数,卫生技术人员数,100,,
,\x00\x2B,MAQ0043,String字符串（变长）,,YXZYJSRYS,药学专业技术人员数,药学专业技术人员数,100,,
,\x00\x2C,MAQ0044,String字符串（变长）,,SXKZYJSRYS,输血科（血库）专职专业技术人员数,输血科（血库）专职专业技术人员数,100,,
,\x00\x2D,MAQ0045,String字符串（变长）,,YYKSYSRS,营养科室医师人数,营养科室医师人数,100,,
,\x00\x2E,MAQ0046,String字符串（变长）,,YYKSHSRS,营养科室护士人数,营养科室护士人数,100,,
,\x00\x2F,MAQ0047,String字符串（变长）,,YYKSJSRS,营养科室技师人数,营养科室技师人数,100,,
,\x00\x30,MAQ0048,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,,,,
,\x00\x31,MAQ0049,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,,,
,\x00\x32,MAQ0050,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
