索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_R_IN_PHA_QUA,表全名,JHPDL:JH_R_IN_PHA_QUA,,,,,,
,表说明,三级绩效：出院患者药事统计表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAB,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAB0001,String字符串（变长）,,R_IN_PHA_QUA_SN,出院患者药事统计表编号,"出院患者药事统计表编号,系统生成三级编码，如“MB0.000.000.001”",20,是,是
,\x00\x02,MAB0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,MAB0003,String字符串（变长）,,MED_ORG_SN,医疗机构编号,本次就诊的医疗机构唯一编号；用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,20,是,是
,\x00\x04,MAB0004,Date日期型（yyyy-mm-dd）（10个字节）,,CENSUS_DATE,统计年月,统计年月，最小单位月,7,,
,\x00\x05,MAB0005,简化字典（Integer整型，4个字节）,379,VERIFY_SUM,药品调配前药师审核住院患者用药医嘱条目数,药品调配前药师审核住院患者用药医嘱条目数,4,,
,\x00\x06,MAB0006,简化字典（Integer整型，4个字节）,379,USE_SUM,住院患者用药医嘱总条目数,住院患者用药医嘱总条目数,4,,
,\x00\x07,MAB0007,简化字典（Integer整型，4个字节）,379,USE_VEIN_SUM,医师同意修改的不适宜静脉用药集中调配医嘱条目数,医师同意修改的不适宜静脉用药集中调配医嘱条目数,4,,
,\x00\x08,MAB0008,简化字典（Integer整型，4个字节）,379,FOCUS_VEIN_SUM,静脉用药集中调配医嘱总条目数,静脉用药集中调配医嘱总条目数,4,,
,\x00\x09,MAB0009,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,,200,,
,\x00\x0A,MAB0010,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,,,
