索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_R_LAB_QUALITY,表全名,JHPDL:JH_R_LAB_QUALITY,,,,,,
,表说明,临床检验专业医疗质量控制汇总表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,MAH,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,MAH0001,String字符串（变长）,,R_LABQUAL_SN,统计数据唯一号,内部三级编码MH0.000.000.001,20,,
,\x00\x02,MAH0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,,20,,
,\x00\x03,MAH0003,String字符串（变长）,,HOSPITAL_CODE,院区编码,,20,,
,\x00\x04,MAH0004,String字符串（变长）,,DEPT_CODE,科室编码,,20,,
,\x00\x05,MAH0005,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DATA_TIME,统计时间,,19,,
,\x00\x06,MAH0006,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,DATA_DATE,统计日期,,19,,
,\x00\x07,MAH0007,Integer整型（4个字节）,,CJSJZPJYXM_NUM,参加室间质评检验项目数,,4,,
,\x00\x08,MAH0008,Integer整型（4个字节）,,TDJGYKZDSJZPXM_NUM,特定机构已开展的室间质评项目数,,4,,
,\x00\x09,MAH0009,Integer整型（4个字节）,,SYSJBDDJYXM_NUM,实验室间比对的检验项目数,,4,,
,\x00\x0A,MAH0010,Integer整型（4个字节）,,WSJZPJHJYXM_NUM,无室间质评计划检验项目数,,4,,
,\x00\x0B,MAH0011,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,,200,,
,\x00\x0C,MAH0012,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,,,,
,\x00\x0D,MAH0013,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
